timestamp;obj_regio1;obj_heatingType;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_usableArea;obj_telekomInternetTechnology;obj_yearConstructed;obj_telekomInternetType;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_rentSubsidy;obj_houseNumber;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_assistedLiving;obj_lastRefurbish;obj_groupnumber;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_floor;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_numberOfFloors;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;evt_count_pm_sig;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_energyType;obj_thermalChar;obj_noParkSpaces;obj_project_id;obj_nbp;obj_energyEfficiencyClass;obj_telekomHybridUploadSpeed;obj_telekomHybridDownloadSpeed
2020-05-11 12:10:01.665227;Berlin;self_contained_central_heating;ONE_YEAR_FREE;527905;n;y;https://pictures.immobilienscout24.de/listings/700882f3-fc07-4383-b7e6-16ab23179074-1368192020.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;6;12.19;40 MBit/s;telekom_layer_magenta_l;156;über VDSL;2009;REGULAR;12.19;118203985;gas;y;false;MagentaZuhause L;y;Berlin;y;10;7;390;no_information;7.44;140;Berlin;10999;first_time_use_after_refurbishment;sophisticated;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;ground_floor;10999;5;n;2019;1;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;0;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.527905;903000;profile0;5;5;true;y;showqualicontactform;y;n;Kreuzberg_Kreuzberg;118203985;6;Berlin;/expose/118203985;['Occassion...schöne Familienwohnung im Erdgeschoss, mit Süd-West Garten zum Ufer und im Innenhof ebenfalls.', 'Fußbodenheizung, Eiche-Fischgrät...elektrische Jalusien Einbauküche Bad mit badewanne und Dusche Gäste WC', 'Berlin-Kreuzberg - Paul-Lincke-Ufer', 'Besichtigungen sofort möglich'];;;;;;;;
2020-05-11 12:10:02.051958;Berlin;district_heating;;17675262;n;n;https://pictures.immobilienscout24.de/listings/8de7341b-a323-46e1-a11e-6a97c5f7d30b-1368179103.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;20;11.37;;;99.34;;1984;;11.37;118198783;district_heating;y;false;;n;Berlin;y;9;4;404;xxx;5.8;99.34;Berlin;10709;first_time_use_after_refurbishment;sophisticated;false;;garage;Ravensberger Str.;y;;;Ravensberger_Str.;apartment;10709;4;n;2019;;2,active;;Deutschland;top;;wohnung_kauf;n;3;;;009.4bc97e18-48a7-4f3b-8e05-d6d4c5f50648;670000;profile0;4;4;true;n;showqualicontactform;n;n;Wilmersdorf_Wilmersdorf;118198783;4;Berlin;/expose/118198783;['Diese sonnenhelle, Südwest ausgerichtete Vierzimmerwohnung befindet sich im dritten Obergeschoss eines architektonisch außergewöhnlich individuell gestalteten Komfortneubaus und bietet Ihnen die nachfolgend genannten Ausstattungsmerkmale:', '- Vier sonnenhelle Zimmer mit besten \n  Stellflächen\n- vollständige Sanierung in 2019\n- hochwertige Einbauküche mit Elektrogeräten \n  von Siemens, Arbeitsplatte aus Quarzstein\n- Echtholzparkett, Eiche\n- Badezimmer mit ebenerdiger Dusche\n- Badmöbel von Keuco und Sanitär von Villeroy \n  & Boch und Grohe\n- Einbauschrank (3,5 Meter Breite mit sehr viel \n  Stauraum)\n- Gemeinschaftsterrasse\n- Keller\n\nTiefgaragenstellplatz (EUR 80,00/mtl.)', 'Diese repräsentative Vierzimmerwohnung befindet sich in absoluter Bestlage in der City-West, nur 5 Gehminuten vom Kurfürstendamm und dem Adenauerplatz entfernt. Die Wohnung liegt in einer ruhigen Seitenstraße und bietet somit ein idyllisches Wohnen inmitten der Stadt! \nDie Nahversorgung ist ausgezeichnet und bietet allerlei Angebote. In unmittelbarer Umgebung befinden sich viele Restaurants, Bars und Geschäfte. Einkaufsmöglichkeiten sowie ein Fitnessstudio befinden sich fußläufig.\nZu den Sehenswürdigkeiten wie Gedächtniskirche oder Zoologischer Garten gibt es direkte Busverbindungen vom Adenauerplatz sowie zum Flughafen Berlin-Tegel. \nVon hier aus erreichen Sie jeden Kiez in Berlin innerhalb kürzester Zeit mit U-Bahnen oder Bussen und auch ins Grüne haben Sie es nicht weit: Denn der Tiergarten oder Grunewald befindet sich in unmittelbarer Nähe.'];;;;;;;;
2020-05-11 12:10:02.373348;Berlin;central_heating;ONE_YEAR_FREE;22282;n;y;https://pictures.immobilienscout24.de/listings/d6b1897b-81be-4653-b4b0-574cf71c7ee5-1368176352.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;13;7.89;40 MBit/s;telekom_layer_magenta_l;;über VDSL;1966;REGULAR;7.89;118197690;gas;y;false;MagentaZuhause L;y;Berlin;y;7;2;482;no_information;3.38;79;Berlin;14193;need_of_renovation;no_information;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;roof_storey;14193;3;n;;;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.22282;399000;profile0;2;3;true;y;showqualicontactform;n;n;Grunewald_Wilmersdorf;118197690;3;Berlin;/expose/118197690;['- WOHNEN AM HAGENPLATZ\n- MODERNE NEUBAUANLAGE\n- DACHGESCHOSS 2.OG\n- TERRASSE MIT GRÜNBLICK\n- PANORAMAVERGLASUNG ZUR TERRASSE\n- PARKÄHNLICHES GARTENGRUNDSTÜCK\n- SWIMMINGPOOL- & GARTENNUTZUNG\n\n- EXKLUSIV VERTRIEB / ALLEINAUFTRAG\n\nINDIVIDUELLE BESICHTIGUNGEN JEDERZEIT\nGERN UNTER TEL:  0172 / 726 11 00', '- PARKETTBODEN\n- DUSCHBAD MIT FENSTER\n- EINBAUKÜCHE MIT GERÄTEN UND FENSTER\n- KEIN DURCHGANGSZIMMER\n\n\n- MODERNISIERUNG EMPFEHLENSWERT\n- KÜCHE + BAD NICHT MEHR ZEITGEMÄSS', '- ERSTKLASSIGE LAGE AM HAGENPLATZ\n- GRUNEWALD & DIANASEE VOR DER TÜR\n- EINKAUFSMÖGLICHKEITEN FUSSLÄUFIG\n- S-BAHN & BUSVERBINDUNG IN DIE CITY\n- 5 MINUTEN ZUM KURFÜRSTEDAMM\n- WIENER CAFÈ VOR DER TÜR\n- SICHERHEITSSTUFE 1', 'INDIVIDUELLE BESICHTIGUNGEN JEDERZEIT UNTER TEL. 0172 / 726 11 00\n\nSERVICE FÜR EIGENTÜMER\n\nBeim Verkauf Ihrer Immobilie ist es wichtig sich auf einen erfahrenen Partner verlassen zu können der Sie vom Anfang bis zum Notartermin diskret und kompetent betreut.\nWir verfügen seit 30 Jahren über fundierte Kenntnisse des Berliner Immobilienmarktes und entwickeln gerne mit Ihnen eine individuelle Verkaufsstrategie.\nAlle einzelnen Schritte der Vermarktung werden mit Ihnen abgestimmt, um Sie mit potenziellen Käufern aus aller Welt zusammen zu bringen. \nNutzen Sie auch unseren diskreten Exklusivservice um ohne jeglichen Marktkontakt Höchstpreise zu erzielen. Gern beraten wir Sie kostenlos und würden uns freuen von Ihnen zu hören.'];energy_consumption;203;;;;;;
2020-05-11 12:10:02.702982;Berlin;self_contained_central_heating;ONE_YEAR_FREE;527905;n;y;https://pictures.immobilienscout24.de/listings/97a298c9-0e1e-4278-aaa3-bc340784292d-1368195500.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;3;11.14;40 MBit/s;telekom_layer_magenta_l;;über VDSL;;REGULAR;11.14;118204931;gas;n;false;MagentaZuhause L;y;Berlin;n;4;;;no_information;6.17;47.55;Berlin;10409;no_information;normal;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10409;1;n;;1;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.527905;190200;profile0;;1;true;n;showqualicontactform;n;n;Prenzlauer_Berg_Prenzlauer_Berg;118204931;2;Berlin;/expose/118204931;['Schöne Altbauwohnung in guter Prenzlauer-Berg-Lage, ruhig, super Infrastruktur\n\nSüd-West Balkon, große Wohnküche, großes Schlafzimmer mit Wohnen und Süd-West Balkon\n\nMieterin zahlt rund 8 € Miete netto kalt\n\nEigenbedarfskündigung nicht ausgeschlossen', 'Balkon, Keller,', 'Nördlicher Prenzlauer Berg'];;;;;;;;
2020-05-11 12:10:03.126088;Berlin;gas_heating;ONE_YEAR_FREE;15824119;n;y;https://pictures.immobilienscout24.de/listings/31af1a1c-93f0-4d79-a850-64629d77efb0-1368190983.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;5;10.62;40 MBit/s;telekom_layer_magenta_l;160;über VDSL;2017;REGULAR;10.62;118203305;gas;y;false;MagentaZuhause L;y;Berlin;y;11;9;;no_information;5.96;161;Berlin;13187;no_information;sophisticated;false;100 MBit/s;outside;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;penthouse;13187;5;n;2017;;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;5;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01004261345;1100000;profile0;;5;true;y;showqualicontactform;y;n;Pankow_Pankow;118203305;7;Berlin;/expose/118203305;['Es handelt sich um eine Penthouse-Wohnung mit 5 Zimmer, 2 Bäder und 2 Terrassen in Pankow Florakiez in Laufnähe zu der S-Bahn Berlin Pankow: \n\nPenthouse mit unverbaubarem Blick \nKeine Dachschrägen\nAlles auf einer Ebene\nPersonenaufzug\n5 Zimmer\nZwei Tageslichtbäder\nZwei große Dachterrassen mit Weitblick\n1 Terrasse nach Osten / 1 Terrasse nach Süd-Westen\nBodentiefe Fenster\nEinbauküche mit E-Geräten im Preis enthalten\nGroßzügiger Stellplatz \ngroßzügige Innenhofanlage\ngeräumiger Keller\n\nPreis inkl. Stellplatz: 1.100.000 € zgl. eine Provision in Höhe 5,95% des Kaufpreises inklusive  MwSt. \n\nFür weitere Fragen oder Besichtigungen rufen Sie uns unter +491632511055 an oder schreiben Sie uns eine Email an vertrieb@dcasa.de', 'Holzparkett\nEinbauküche\nModerne Bäder\n2 große Terrassen', 'Für Fragen schicken Sie uns eine  Email an vertrieb@dcasa.de oder Rufen Sie mich an unter +491632511055.\nWeitere Informationen unter: www.dcasa.de', 'Preis inkl. Stellplatz: 1.100.000 € zgl. eine Provision in Höhe 5,95% des Kaufpreises inklusive  MwSt. \n\nDie Inhalte wurden mit größter Sorgfalt erstellt. Wir übernehmen keine Gewährleistung und keine Haftung für die Richtigkeit und Vollständigkeit der Angaben in unseren Exposés.'];;;1;;;;;
2020-05-11 12:10:03.465072;Berlin;no_information;ONE_YEAR_FREE;18591667;n;n;https://pictures.immobilienscout24.de/listings/a63d4e12-f05b-4a5e-9f2b-3e9f8b51e62e-1368177370.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;5;16.54;40 MBit/s;telekom_layer_magenta_l;105;über VDSL;;REGULAR;16.54;118197684;;n;false;MagentaZuhause L;y;Berlin;y;9;;250;no_information;8.84;105;Berlin;12049;no_information;normal;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;no_information;12049;4;n;;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;0;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.03f8f11d-4e59-457f-aa44-e36dcbd35d51;530000;profile0;5;4;true;n;showqualicontactform;n;n;Neukölln_Neukölln;118197684;5;Berlin;/expose/118197684;['Die hier angebotene 4 Zimmer Wohnung befindet sich im Erdgeschoss eines 5-stöckigen Vorderhaus in den ca. 1910er Jahren errichteten Mehrfamilienhaus und wird aktuell als Geschäftsräumlichkeit vermietet.\n\nEs gibt für die Wohnung 2 Eingänge - im Haus und straßenseitig. 2 Zimmer fungieren als Durchgangszimmer.', 'Dieser charmante Altbau beherbergt neben Dielenböden auch Stuckelemente und einen Keller.', 'Direkt im Schillerkiez am Herrfurthplatz und an der beliebten Schillerpromenade, die im 19. Jahrhundert mit prachtvollen Hausfassaden für gutsituierte Bürger errichtet wurde, befindet sich dieses charmante Eckgebäude. Der Kiez befindet sich in einem positiven strukturellen Wandel und ist im Begriff, vor allem für jüngere Generationen und Familien ein noch attraktiverer Stadtteil zu werden, als er sowieso schon ist.\n\nGleich vor der Tür finden Kiezbewohner diverse Restaurants, Cafés und Bars, die mit verschiedensten kulinarischen Spezialitäten locken, einen kühlen Drink für warme Sommertage anbieten oder nettes Ambiente für einen guten Kaffee bereit stellen. Und dank der unmittelbaren Nähe zum Tempelhofer Feld sind nicht nur entspannte Freizeitaktivitäten wie Urban Gardening oder Barbecue möglich, sondern kann auch jede Menge Sport getrieben werden.\n\nMit dieser „größten Sonnenterrasse Berlins“ punktet der Schillerkiez genauso wie mit einer urban vielseitigen Infrastruktur. Kinderläden & Schulen, Bio- und Supermärkte, Bäcker, Späti, Vintage-Klamotten und –Möbel sowie viele Dienstleistungsbetriebe gehören hier ganz selbstverständlich zum Stadtbild. \n\nDie Anbindung der öffentlichen Verkehrsmittel ist durch die U-Bahn Boddinstraße und Leinestraße ebenso gewährleistet.', 'Die Erdgeschosswohnung wird aktuell als Geschäftsräume nachhaltig vermietet. Die Jahresnettokaltmiete beträgt aktuell 21.600€. Der Mietvertrag läuft noch bis zum 31.05.2024.\n\nAufgrund der Vermietung sind leider keine innenliegenden Fotos vorhanden.'];;;;;;;;
2020-05-11 12:10:03.877188;Berlin;gas_heating;ONE_YEAR_FREE;15824119;y;y;https://pictures.immobilienscout24.de/listings/76336807-c163-46f7-8ba6-99eeff31313b-1368192813.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;8;10.06;40 MBit/s;telekom_layer_magenta_l;96;über VDSL;2019;REGULAR;10.06;118204345;natural_gas_light;y;false;MagentaZuhause L;n;Berlin;y;9;9;;9;5.29;101;Berlin;13156;first_time_use;sophisticated;false;100 MBit/s;underground_garage;Waldowstr;y;https://padlock.link/ioml;https://padlock.link/ml;Waldowstr;penthouse;13156;3;n;;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01004261345;635000;profile0;;3;true;n;showqualicontactform;y;n;Niederschönhausen_Pankow;118204345;5;Berlin;/expose/118204345;['Neubau in der Waldowstrasse 9 in Pankow: \n\nInsgesamt 5 familienfreundliche Wohnungen und 7 Tiefgaragenstellplätze verfügbar:\n\nMaisonette Wohnung WE01: 4 Zimmer-145 m² + 100 m² Privatgarten\nMaisonette Wohnung WE02: 4 Zimmer-132 m² + 76 m² Privatgarten\nWohnung im 2. OG WE03: 5 Zimmer-117 m² + 2 Terrassen\nPenthouse: WE04: 3 Zimmer-83 m²+ 2 Terrassen\nEinfamilienhaus WE05:  5-6 Zimmer-199 m² + 200 m² Privatgarten\n\nBaubeginn erfolgt. Die voraussichtliche Fertigstellung: Ende 2020\n\nWeitere Informationen finden Sie unter: https://www.dcasa.de/wal9info.html', 'Insgesamt fünf familienfreundliche Wohnungen in renommierter Lage von Berlin-Niederschönhausen\nruhige grüne Straße\nkleine Wohngemeinschaft mit nur 5 Einheiten\n5 Minuten Fußweg zur Tramlinie M1.\ngroßzügige Grundrisse\nbodentiefe Fenster \nFahrstuhl von der Tiefgarage bis ins Dachgeschoss\ndie Maisonette-Wohnungen und der Einfamilienhaus mit direktem Zugang zu großzügigen Privatgärten\nKeller für jede Wohnung\noptionaler Tiefgaragenplatz für jede Wohnung\nBalkone oder Terrassen mit Süd-West-Ausrichtung\nFußbodenheizung in allen Räumen\nmoderne Bäder und Sanitärausstattung\nHolzparkett', 'in allerbesten Wohnlage das Neubauprojekt mit vier Eigentumswohnungen, einem Einfamilienhaus und einer Tiefgarage. Die Wohnungen bieten gehobenes Wohnen in einem stadtnahen Umfeld und mitten im Grünen. Die zwei Maisonette-Wohnungen und das Einfamilienhaus haben einen eigenen Garten.', 'Die Wohnungen sind für den Erwerber provisionsfrei.\n\nFür Fragen schicken Sie uns eine  Email an vertrieb@dcasa.de oder Rufen Sie mich an unter +491632511055.\nWeitere Informationen unter: www.dcasa.de'];;;1;84415;true;;;
2020-05-11 12:10:04.243742;Berlin;central_heating;ONE_YEAR_FREE;17576674;n;y;https://pictures.immobilienscout24.de/listings/d00119b1-986d-4740-bc36-2e60ab5a598e-1368184856.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;11;11.3;40 MBit/s;telekom_layer_magenta_l;42;über VDSL;1956;REGULAR;11.3;118199875;gas;y;false;MagentaZuhause L;n;Berlin;y;4;2;220;36;5.73;42;Berlin;14057;fully_renovated;sophisticated;false;100 MBit/s;outside;Kaiserdamm;y;https://padlock.link/ioml;https://padlock.link/ml;Kaiserdamm;raised_ground_floor;14057;1;n;2017;;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.f22cdcd4-a268-48d7-9db8-7856769644ba;191000;profile0;;1;true;y;showqualicontactform;n;n;Charlottenburg_Charlottenburg;118199875;2;Berlin;/expose/118199875;['Diese wunderschön geschnittene 1 Zimmerwohnung ist lichtdurchflutet und strahlt im Inneren eine entspannte Ruhe aus.  Die Wohnung ist gerade frisch saniert worden. Es erwarten Sie eine zeitgemäße Einrichtung der Fußboden ist mit Laminat belegt.\n\n\nFür die Modernisierung würden nur hochwertige Materialien verwendet.\nDie Zimmer sind sehr angenehm und praktikabel geschnitten. Die Wohnzimmer und der Balkon sind nach Süden ausgerichtet. Die Küche und das Bad nach Norden. \n \nDer Blick aus den großzügigen Fenstern wandert in den Berliner Himmel, wo einem der Funkturm entgegen strahlt. \n \nDie Wohnung mit Ihren ca. 42m² liegt im Hochparterre .\n \nDas gesamte Haus wurde vor einigen Jahren in Eigentumswohnungen aufgeteilt und während dieser Zeit fortlaufend modernisiert. Im Jahr 2001 wurde auf das vorhandene Gebäude ein weiteres Geschoss gesetzt in diesem Zusammenhang wurden unter anderem die Heizungsanlage sowie die Aufzüge und der Hauseingangsbereich erneuert.\n\n\n\n\nDas Haus befindet sich in einem technisch gutem Zustand . Die modernen neuen Holzfenster haben eine Sicherheitsverglasung und einen sehr hohen Schallschutzfaktor.\nDie Wohnung kann auch gewerblich genutzt werden.', 'Ihre Wohnung mitten im Herzen von Berlin\n\nin Berlin Charlottenburg nur wenige Minuten zum Kurfürstendamm im Ortsteil Westend befindet sich das in den 50er Jahren in Anlehnung an die Bauhausarchitektur errichtete Wohnhaus. Das vornehme Villenviertel war früher bevorzugtes Wohnquartier von Filmstars der ersten Garnitur. Es bietet alle Annehmlichkeiten gehobener Wohnkultur. Der Theodor-Heuss-Platz ist seit vielen Jahren eine gute Adresse für Firmen aus den Bereichen Medien, Film und Fernsehen. Südlich vom Theodor-Heuss-Platz erstreckt sich das Messegelände. Die Messe expandiert weiter. Ideale Verkehrsanbindungen sind vorhanden nach wenigen Metern erreicht man den U-Bahnhof Theodor-Heuss-Platz. Zur Autobahnauffahrt sind es nur ca. 500 Meter.'];energy_consumption;223;;;;;;
2020-05-11 12:10:04.588887;Berlin;district_heating;ONE_YEAR_FREE;18651316;n;y;https://pictures.immobilienscout24.de/listings/b0db1bbf-a1dc-4337-a96e-8025e60dfc50-1368180709.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;17;12.78;40 MBit/s;telekom_layer_magenta_l;;über VDSL;1890;REGULAR;12.78;118198935;district_heating;y;false;MagentaZuhause L;n;Berlin;y;11;1;550;2;7.25;228;Berlin;10557;mint_condition;sophisticated;false;100 MBit/s;no_information;Werftstrasse;y;https://padlock.link/ioml;https://padlock.link/ml;Werftstrasse;apartment;10557;7;n;2011;;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;4;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.23fca6aa-bcdf-4a24-b80a-a13e3e5524d0;1800000;profile1_listingtype;5;5;true;n;showqualicontactform;n;n;Tiergarten_Tiergarten;cbb95c4a-d190-4da2-8903-f5060918e34d;7;Berlin;/expose/118198935;"['Diese ansprechende, wunderschöne, neuwertige Wohnung, die in der vierten Etage liegt, steht zum Verkauf. Das Apartment bietet neben sieben attraktiven Zimmern nicht nur ein ensuite Masterbad, sondern auch ein separates Gästebad. Das Objekt ist bequem über einen Fahrstuhl zu erreichen. Die Eigentumswohnung befindet sich in einem 1890 erbauten Haus und wird per Fernwärme beheizt. Der Energieausweis der Immobilie ist aktuell und liegt vor. Das monatliche Hausgeld beträgt 550,00\xa0€. Zum Apartment gehören auch 3 Balkonen und 1 Loggia (insgesamt ca. 36 m2), auf denen  sich wunderbar vom Alltag erholen lässt. Ein seperater Kellerraum steht Ihnen außerdem zur Verfügung. Die Wohnung ist mit einer hochwertigen MArkenküche sowie Einbaugeräten der Premiumklasse ausgesttatet. ', '•\t7 Zimmer\n•\t4 Schlaffzimmer (große Schlaffzimmer ist mit Garderobezimmer ca. 10 m2)\n•\tWohnraum + Küche \n•\tMassivparkett Eiche lackiert \n•\tRaumhöhen ca. 3,25 bis 3,60 m\n•\tEinbauküche mit mit Siemens- und Neff-geräten\n•\tEn Suite Vollbad mit große Waschtisch, Dusche, Bidet, WC. Vollgefliest\n•\tGäste-WC plus Dusche. Vollgefliest\n•\tIn Badezimmern gibt es Fußbodenheizung\n•\tElektrische Innenjalousien\n•\tAlarmanlage \n•\tSchließ- und Sprechanlage\n•\tHolzisolierglasfenster mit Isolierverglasung mit Edelstahloliven\n•\t1 Balkon mit Holzdielen (ca. 6m2) und 1 Lodgia mit Holzdielen (ca. 8,5 m2) an die Straßenfassade\n•\t1 Balkon mit Holzdielen im Innenhof (ca. 11,5 m2)\n•\t1 Balkon mit Holzdielen (ca. 9 m2) im Hinterhof\n•\tZentrale Beheizung via Fernwärmeversorgung\n•\tZentrale Warmwasserbereitung via Fernwärme\n•\tPersonenaufzug\n•\tKeller / Fahrradabstellraum\n•\tMüllplatz in einem speziellen Raum im Tordurchgang\n•\tStellplätze in Nähe der Werftstraße könnenz. B. Tiefgaragenstellplätze angemietet werden; Angaben ohne Gewähr\n', 'Diese Wohnung liegt in Berlin Mitte in einer ruhigen aber dennoch äußerst zentralen Lage direkt hinter dem Kanzleramt. Reichstagsgebäude sowie Brandenburger Tor sind in 5-10 Minuten fußläufig erreichbar. Die Infrastruktur sowie Anbindung lässt keine Wünsche offen.', 'BITTE KEINE ANFRAGEN VON MAKLERN ODER SONSTIGEN IMMOBILENVERMITTLERN. AUF DAS UAWG IST HINGEWEISEN.']";;;;;;;;
2020-05-11 12:10:04.957301;Berlin;gas_heating;ONE_YEAR_FREE;15824119;y;n;https://pictures.immobilienscout24.de/listings/1386c172-2aec-45f6-b757-0e604b88d526-1368193108.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;11;10.06;40 MBit/s;telekom_layer_magenta_l;201;über VDSL;2020;REGULAR;10.06;118204452;gas;n;false;MagentaZuhause L;n;Berlin;y;11;9;;no_information;5.29;201;Berlin;13156;first_time_use;sophisticated;false;100 MBit/s;underground_garage;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;no_information;13156;6;n;2020;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01004261345;1128000;profile0;;5;true;n;showqualicontactform;y;n;Niederschönhausen_Pankow;118204452;7;Berlin;/expose/118204452;['Es handelt sich um ein Einfamilienhaus mit ca. 200 qm Wohnfläche und einem ca. 230 qm großem Garten.\nFür weitere Fragen rufen Sie uns unter +491632511055 an. \nWeitere Grundrisse und Wohnungen im Objekt verfügbar.', 'Projektübersicht:\n\nInsgesamt fünf familienfreundliche Wohnungen in renommierter Lage von Berlin-Niederschönhausen\nruhige grüne Straße\nkleine Wohngemeinschaft mit nur 5 Einheiten\n5 Minuten Fußweg zur Tramlinie M1.\ngroßzügige Grundrisse\nbodentiefe Fenster \nFahrstuhl von der Tiefgarage bis ins Dachgeschoss\ndie Maisonette-Wohnungen und der Einfamilienhaus mit direktem Zugang zu großzügigen Privatgärten\nKeller für jede Wohnung\noptionaler Tiefgaragenplatz für jede Wohnung\nBalkone oder Terrassen mit Süd-West-Ausrichtung\nFußbodenheizung in allen Räumen\nmoderne Bäder und Sanitärausstattung\nHolzparkett', 'In einer ruhigen Seitenstrasse, der Waldowstrasse 9a in Berlin-Niederschönhausen entsteht in allerbesten Wohnlage das Neubauprojekt mit vier Eigentumswohnungen, einem Einfamilienhaus und einer Tiefgarage. Die Wohnungen bieten gehobenes Wohnen in einem stadtnahen Umfeld und mitten im Grünen. Die zwei Maisonette-Wohnungen und das Einfamilienhaus haben einen eigenen Garten.', 'Die Wohnungen sind für den Erwerber provisionsfrei.\n\nFür Fragen schicken Sie uns eine  Email an vertrieb@dcasa.de oder Rufen Sie mich an unter +491632511055.\nWeitere Informationen unter: www.dcasa.de'];;;2;84415;true;;;
