timestamp;obj_regio1;obj_heatingType;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_yearConstructed;obj_telekomInternetType;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_floor;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_numberOfFloors;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;evt_count_pm_sig;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_usableArea;obj_galleryAd;obj_energyEfficiencyClass;obj_lastRefurbish;obj_rentSubsidy;obj_noParkSpaces;obj_telekomHybridUploadSpeed;obj_telekomHybridDownloadSpeed;obj_groupnumber
2020-05-11 12:13:59.380632;Berlin;district_heating;ONE_YEAR_FREE;18492745;n;n;https://pictures.immobilienscout24.de/listings/266f3504-56f7-497d-81b1-6d1716ac331e-1366907575.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;11.37;40 MBit/s;telekom_layer_magenta_l;über VDSL;1908;REGULAR;11.37;117998747;district_heating;y;false;MagentaZuhause L;y;Berlin;y;5;1;no_information;energy_consumption;5.8;40;Berlin;10629;well_kept;normal;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10629;1;83;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01009366216;229000;profile0;6;1;true;n;showqualicontactform;n;n;Wilmersdorf_Wilmersdorf;117998747;1;Berlin;/expose/117998747;['Gehobener Altbau mit hohen Decken. Elegantes Treppenhaus. City West! Gartenhaus.', 'Großzügiger Grundriss, mit Einbau-Küche mit Fenster, Wannen-Bad mit Fenster. Nebengelass und Kellerraum sind inklusive.', '1A-City-West-Lage nahe Adenauer Platz, Boutiquen, Bars und Restaurants, Sport und Theater, ÖPNV, S-Bahn und Bus- alles in unmittelbarer Nähe.', 'DieMietrendite liegt bei 2,5 %,  Die Eigennutzung ist nach Absprache möglich. Auch kurzfristige Besichtigungen (immer individuell) sind möglich.'];;;;;;;;;
2020-05-11 12:13:59.711976;Berlin;central_heating;;216206;n;n;https://pictures.immobilienscout24.de/listings/48273afc-a2d2-47c3-bf1a-101ed26bd214-1366889037.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;15;11.48;;;;1956;;11.48;117995394;district_heating;n;false;;y;Berlin;y;6;2;no_information;energy_required;7.14;54.16;Berlin;10247;refurbished;simple;false;;no_information;no_information;n;;;no_information;apartment;10247;2;97.5;n;2,active;;Deutschland;standard;;wohnung_kauf;n;;;;001.216206;279000;profile0;5;2;true;n;showqualicontactform;n;n;Friedrichshain_Friedrichshain;117995394;2;Berlin;/expose/117995394;['Der in den 1950er Jahren errichtete Altbau liegt in einer ruhigen Wohnstraße nahe dem belebten Boxhagener Platz und wurde umfassend saniert. \n\nDas Dachgeschoß, welches einen tollen Ausblick über Berlin ermöglicht, ist ausgebaut und kann leer oder vermietet übergeben werden. \n\nInsgesamt haben wir 33 Wohneinheiten, 29 Einheiten als Bestand und 4 Einheiten neu (Dachgeschoß), welche über 3 Hauseingänge erschlossen werden. \n\nZu den ausgeführten Sanierungsarbeiten zählen unter anderem alle Stränge, Treppenhäuser, sowie die Fassade.\n\nVereinbaren Sie einen Termin mit uns und überzeugen Sie sich selbst von dem schönen Haus, sowie der tollen Umgebung.', '- Etagenwohnung \n- 4.OG\n- 2 Zimmer\n- Küche, Bad, Flur\n- Bad 2002 renoviert, \n- Fenster und Stränge erneuert\n\n- kein Aufzug\n\nIn den Wohnungen sind die Böden, Wände und Decken renovierungsbedürftig. In diesem Zusammenhang sollte auch die Elektrik mit erneuert werden.', 'Sehr zentrale ruhige Lage nahe der Boxhagener Straße im Simon - Dach - Kiez. Nur wenige Gehminuten zur U-Bahn Samariterstraße, sowie zu Restaurants/Bars.', 'Für Rückfragen erreichen Sie uns auch unter der Rufnummer 0172-3261193.'];3;disabled;C;2018;;;;;
2020-05-11 12:14:00.172475;Berlin;;ONE_YEAR_FREE;18627875;n;y;https://pictures.immobilienscout24.de/listings/27a87ad7-8709-4383-a6e7-a11932331767-1366901447.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;11;11.3;40 MBit/s;telekom_layer_magenta_l;über VDSL;1900;REGULAR;11.3;117994946;no_information;y;false;MagentaZuhause L;n;Berlin;y;11;1;10/11;energy_consumption;5.73;144;Berlin;10623;modernized;sophisticated;false;100 MBit/s;no_information;bleibtreustrasse;y;https://padlock.link/ioml;https://padlock.link/ml;bleibtreustrasse;apartment;10623;4;;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.e97c5e91-bb50-4e09-a87e-542a06eed80a;1150000;profile0;4;4;true;y;showqualicontactform;n;n;Charlottenburg_Charlottenburg;beb4c91b-1c1d-4c3a-b91b-ceb0e33e660b;6;Berlin;/expose/117994946;['Spitzenlage in Charlottenburg mit bester Anbindung an öffentliche Verkehrsmittel (S-Bahn/U-Bahn). Restaurant, Geschäfte, Kindertagesstätten in unmittelbarer Nähe. \n\nEin Badezimmer und ein separates Gäste-WC. Neben der Küche gibt es noch einen separaten 5. Raum, den wir als Vorratsraum verwenden, der aber auch normal genutzt werden könnte. \n\n3 Zimmer zur lebhaften aber ruhigen Bleibtreustrasse.\n\nHohe Rücklagen und unkomplizierte WEG.\n\nKnapp 4 Meter Deckenhöhe.\n\nNeue Elektrik und Versorgungsleitungen.\n\nBitte KEINE Makleranfragen! Auch nicht bzgl. konkreter Kaufinteressenten. '];;;NO_INFORMATION;2019;;;;;
2020-05-11 12:14:00.523012;Berlin;floor_heating;ONE_YEAR_FREE;216206;n;y;https://pictures.immobilienscout24.de/listings/0911944e-3ef5-4d7f-8d00-afb2c4716aec-1366888772.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;16;10.64;40 MBit/s;telekom_layer_magenta_l;über VDSL;2018;REGULAR;10.64;117995061;district_heating;y;false;MagentaZuhause L;y;Berlin;y;11;9;no_information;energy_required;6.15;298;Berlin;13086;mint_condition;luxury;false;100 MBit/s;underground_garage;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;roof_storey;13086;8;76;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;5;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.216206;1990000;profile0;5;5;true;n;showqualicontactform;y;n;Weißensee_Weißensee;117995061;7;Berlin;/expose/117995061;['Dieses elegant geschnittene Penthouse befindet sich in einem modernen und hochwertigen Mehrfamilienhaus in ruhiger Lage. \n\nMit dem geräumigen Fahrstuhl gelangen Sie direkt zur privaten Eingangstür des Appartements.\n\nGroßflächig installierte und bodentiefe Fenster mit Thermoverglasung, versprechen lichtdurchflutete Räume.\n\nNeben der ausgiebigen Balkonfläche bietet die Dachterrasse einen tollen 360-Grad-Blick über Berlin, inklusive Sicht auf den Fernsehturm.\n\nDas Wohnhaus verfügt insgesamt über fünf Etagen plus Dachgeschoß und bietet neben optional erwerbbarem Tiefgaragenstellplatz, eine Gemeinschaftssauna zum Entspannen im Keller.', 'Aufdachterrasse\nLift\nhohe Räume\nTiefgarage möglich\nFußbodenheizung\nDeckenkühlung\n3 Bäder\nsehr hochw. Einbauküche', 'Berlin-Weißensee an der Grenze zu Pankow und dem Prenzlauer Berg', 'Für Rückfragen erreichen Sie uns unter 0172-3261193.'];;disabled;C;;;;;;
2020-05-11 12:14:00.941760;Berlin;central_heating;ONE_YEAR_FREE;216206;n;n;https://pictures.immobilienscout24.de/listings/efbdc51c-a44c-460a-ada4-8facf69bb86c-1366889030.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;13;11.48;40 MBit/s;telekom_layer_magenta_l;über VDSL;1956;REGULAR;11.48;117995385;district_heating;n;false;MagentaZuhause L;y;Berlin;y;7;2;no_information;energy_required;7.14;64;Berlin;10247;no_information;simple;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10247;3;97.5;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;4;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.216206;329000;profile0;5;3;true;y;showqualicontactform;n;n;Friedrichshain_Friedrichshain;117995385;3;Berlin;/expose/117995385;['Der in den 1950er Jahren errichtete Altbau liegt in einer ruhigen Wohnstraße nahe dem belebten Boxhagener Platz und wurde umfassend saniert.  \n\nZu den ausgeführten Sanierungsarbeiten zählen unter anderem alle Stränge, Treppenhäuser, sowie die Fassade.\n\nVereinbaren Sie einen Termin mit uns und überzeugen Sie sich selbst von dem schönen Haus, sowie der tollen Umgebung.', '- Etagenwohnung \n- 4.OG\n- 3 Zimmer\n- Terrasse\n- kein Aufzug\nBad 2002 renoviert, ebenso die Fenster erneuert und die Stränge\nIn den Wohnungen sind die Böden, Wände und Decken renovierungsbedürftig. In diesem Zusammenhang sollte auch die Elektrik mit erneuert werden.', 'Sehr zentrale ruhige Lage nahe der Boxhagener Straße im Simon - Dach - Kiez.', 'Für Rückfragen erreichen Sie uns auch unter der Rufnummer 0172-3261193.'];3;disabled;C;2018;;;;;
2020-05-11 12:14:01.282980;Berlin;central_heating;ONE_YEAR_FREE;17869946;n;y;https://pictures.immobilienscout24.de/listings/4b334a73-fb49-4896-be2b-dea54a0b303d-1366896687.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;12;11.37;40 MBit/s;telekom_layer_magenta_l;über VDSL;1954;REGULAR;11.37;117997330;oil;y;false;MagentaZuhause L;y;Berlin;y;5;2;no_information;energy_consumption;5.8;53.52;Berlin;10717;fully_renovated;normal;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10717;2;160.8;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;4;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.0b12cd90-13f4-41d1-b30d-6a0e6ddb07a6;229000;profile0;5;2;true;y;;n;n;Wilmersdorf_Wilmersdorf;117997330;2;Berlin;/expose/117997330;['+Mehrfamilienhaus aus dem Baujahr ca. 1954\n+Weitere Details entnehmen Sie bitte dem Exposè.', '+Eigennutzerangebot\n+Leerwohnung\n+Sehr ruhige Lage\n+Toller grosser Balkon\n+Wannenbad mit Fenster\n+Vorderhaus 4. OG\n+Bestandseinbauküche\n+Wohnungsvideo ganz unten beachten\n+Weitere Details entnehmen Sie bitte dem Exposè.', '+10717 Berlin\n+Sehr zentrale dennoch ruhige Lage \n+Nah am Nikolsburger Platz\n+Weitere Details entnehmen Sie bitte dem Exposè.', '+Weitere Details entnehmen Sie bitte dem Exposè.\n\nUnternehmensinformation:\n\nWir sind seit mehr als 10 Jahren ein familiengeführter, bundesweit tätiger Immobiliendienstleister mit Sitz in Berlin-Friedenau und haben uns unter anderem auf Erbimmobilien spezialisiert.\n\nWir schätzen den gewissenhaften Umgang mit unseren Kunden und Partnern.\n\nUnser Ziel ist Ihr Vertrauen in unsere Arbeit.\n\nSie haben ein Haus, eine Wohnung, ein Grundstück in Deutschland geerbt - was nun? Eine Erbimmobilie bedeutet neben der Trauer, sehr viele Fragen, gegebenenfalls viele Aufgaben und Herausforderungen. Im Trauerfall sind viele Erben eines Hauses, einer Wohnung, eines Grundstückes ratlos, was mit der Erbimmobilie geschehen soll. Im Falle von gemeinschaftlichen Erbschaften, bestehen oftmals unterschiedliche Interessen der Erben.\n\nDiese können zu Rechtsstreitigkeiten und Zerwürfnissen in der Familie führen. Dies hatte Ihr Erblasser definitiv nicht im Sinn. Im Gegenteil, der Erblasser wollte Sie für den eingetretenen Fall bestmöglich finanziell abgesichert wissen. Deshalb ist der beste Weg, Kontakt mit einem Erbimmobilien-Fachmann aufzunehmen der fundierte Marktkenntnisse besitzt, Ihnen kostenfrei zur Seite steht, Sie unterstützt und alles für Sie regelt.\n\nProfitieren Sie von unseren fundierten Branchenkenntnissen in den Bereichen:\n\n+Erbimmobilien\n+Immobilien - und Grundstücksverkauf\n+Vermietung für Asset Managementgesellschaften\n+Bauträgerbetreuung\n+Einrichtungsservice\n+Immobilienbewertung\n+Ferienimmobilien Mallorca\n\nWir freuen uns, Sie in einem persönlichen Gespräch kennen zu lernen.\n\nWir sind für Sie 24 Stunden erreichbar an 7 Tagen in der Woche unter \nBüro: 030-720 211 43 /\nMobil: 0162-2056442.'];53.52;;E;1999;273.54;;;;
2020-05-11 12:14:01.631365;Berlin;central_heating;ONE_YEAR_FREE;54130;n;y;https://pictures.immobilienscout24.de/listings/75429050-26e9-4d09-b74f-0e5558ca5c80-1366908268.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;11.49;40 MBit/s;telekom_layer_magenta_l;über VDSL;1995;REGULAR;11.49;117999086;gas;n;false;MagentaZuhause L;y;Berlin;y;8;5;no_information;energy_consumption;5.14;102.2;Berlin;12349;well_kept;no_information;false;100 MBit/s;underground_garage;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;roof_storey;12349;4;152;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;4;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.54130;414000;profile0;3;4;true;n;showqualicontactform;n;n;Buckow_Neukölln;98;5;Berlin;/expose/117999086;['Alle Wohnungen sind mit Kunststoff-Isolierglasfenstern ausgestattet. In den Zimmern und Flurbereichen sind die Fußböden mit Laminat- oder Fliesen versehen. \nDie beiden innenliegenden Bäder sind mit einer Dusche oder Badewanne ausgestattet.\nDie Wohnungen verfügen über eine Einbauküche mit Fensterfront. Die Wohnung wird über eine Fußbodenheizung beheizt.\nDie Warmwassser- und Wärmeversorgung erfolgt über eine Gas-Zentralheizung.\nDie Wohnung hat eine Terrasse und einen Tiefgaragenstellplatz.', 'Wohnzimmer\n3 Schlafzimmer\nDuschbad\nWannenbad\nTerrasse\nAbstellfläche\nKüche mit Einbaumöbeln\nTiefgaragenstellplatz', 'Im Süden Berlins befindet sich, nahe von Alt-Mariendorf, die 1995 erbaute Parksiedlung Spruch. Sie wurde mit einzelnen stehenden Mehrfamilienhäusern auf einem Grundstück mit einer Gesamtgröße von 8,3 Hektar errichtet.\nDie Parksiedlung Spruch ist ein intelligent geplantes Wohnquartier, welches 1996 mit dem Architekturpreis des Bundes Deutscher Architekten ausgezeichnet wurde. \nDie Mehrfamilienhäuser verfügen über 1-4 Zimmerwohnungen mit mehreren Grundrissvarianten.\nDurch das gelungene Konzept, mit einem Kindergarten innerhalb der Siedlung, mehreren Spielplätzen und einer guten Infrastruktur, ist das Wohnumfeld vor allem für junge Leute attraktiv.', 'Weitere Informationen erhalten Sie gerne auf Anfrage, nach Bestätigung der Widerrufsbelehrung zum Maklervertrag.'];113.91;;;;369.78;1;;;
2020-05-11 12:14:01.992797;Berlin;floor_heating;ONE_YEAR_FREE;216206;n;y;https://pictures.immobilienscout24.de/listings/188e18ff-ecc6-4696-b9dd-bef8fcd49d0e-1366888822.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;19;11.14;2,4 MBit/s;telekom_layer_magenta_m_hybrid2;über Hybrid;2018;WITH_HYBRID;11.14;117995085;district_heating;n;false;MagentaZuhause M Hybrid (2);y;Berlin;y;9;9;no_information;energy_required;6.17;88;Berlin;10407;mint_condition;sophisticated;false;16 MBit/s;underground_garage;no_information;y;https://padlock.link/mmh2sa;https://padlock.link/mmhy2;no_information;penthouse;10407;2;76;n;2,active;true;Deutschland;standard;50 MBit/s;wohnung_kauf;n;5;web,email,bank,music,dl-ul,game,sd,mltstr,hd;true;001.216206;599000;profile0;5;2;true;n;showqualicontactform;y;n;Prenzlauer_Berg_Prenzlauer_Berg;117995085;4;Berlin;/expose/117995085;['Dieses elegant geschnittene Penthouse befindet sich in einem modernen und hochwertigen Mehrfamilienhaus in ruhiger Lage. \n\nMit dem geräumigen Fahrstuhl gelangen Sie direkt zur privaten Eingangstür des Appartements.\n\nGroßflächig installierte und bodentiefe Fenster mit Thermoverglasung, versprechen lichtdurchflutete Räume.\n\nDas Wohnhaus verfügt insgesamt über fünf Etagen plus Dachgeschoß und bietet neben optional erwerbbarem Tiefgaragenstellplatz, eine Gemeinschaftssauna zum Entspannen im Keller.', '- flexible Grundrisse\n- Fußbodenheizung\n- Parkettböden\n- Balkon oder Terrasse\n- 3-fach verglaste Holzfenster\n- teilweise HWR und Gäste Bad (nach Wohnungsgröße)\n- Gartenanteil im Erdgeschoss\n- Aufzug\n- Keller\n- Tiefgarage (optional)\n- Gemeinschaftssauna\n- Einbauküche optional', 'Berlin-Weißensee an der Grenze zu Pankow und dem Prenzlauer Berg', 'Für Rückfragen erreichen Sie uns unter 0172-3261193.'];;disabled;C;2019;;;10 MBit/s;50 MBit/s;
2020-05-11 12:14:02.315785;Berlin;central_heating;;216206;n;y;https://pictures.immobilienscout24.de/listings/a6d05095-a9d5-4281-a190-d07e092cda89-1366888984.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;11;11.48;;;;1956;;11.48;117995378;district_heating;n;false;;y;Berlin;y;7;2;no_information;energy_required;7.11;54.7;Berlin;10247;first_time_use;sophisticated;false;;no_information;no_information;n;;;no_information;roof_storey;10247;2;114;n;2,active;;Deutschland;standard;;wohnung_kauf;n;5;;;001.216206;329000;profile0;5;2;true;n;showqualicontactform;n;n;Friedrichshain_Friedrichshain;117995378;2;Berlin;/expose/117995378;['Der in den 1950er Jahren errichtete Altbau liegt in einer ruhigen Wohnstraße nahe dem belebten Boxhagener Platz und wurde umfassend saniert.  \n\nZu den ausgeführten Sanierungsarbeiten zählen unter anderem alle Stränge, Treppenhäuser, sowie die Fassade.\n\nVereinbaren Sie einen Termin mit uns und überzeugen Sie sich selbst von dem schönen Haus, sowie der tollen Umgebung.', 'Diese schön sanierte Dachgeschosswohnung bietet Zwei Zimmer, welche Zugang zur Terrasse haben, welche mit einem tollen Blick über Berlin lockt. \n\nViel Lichteinfall und weiß gestrichene und verputzte Wände erzeugen ein offenes und freies Raumgefühl.\n\nEin in das Wohnzimmer integrierter Küchenbereich rundet das Paket ab und macht diese Wohnung zu einem Ort zum wohl fühlen.\n\n\n- Etagenwohnung\n- Dachgeschoss\n- 3,50 Deckenhöhe\n- 2 Zimmer\n- Terrasse\n- hochwertige Materialien\n- kein Aufzug', 'Sehr zentrale ruhige Lage nahe der Boxhagener Straße im Simon - Dach - Kiez. Nur wenige Gehminuten zur U-Bahn Samariterstraße, sowie zu Restaurants/Bars.', 'Für Rückfragen erreichen Sie uns auch unter der Rufnummer 0172-3261193.'];6;disabled;D;2018;;;;;
2020-05-11 12:14:02.749107;Berlin;central_heating;ONE_YEAR_FREE;216206;n;y;https://pictures.immobilienscout24.de/listings/2236b1a8-4445-41ea-b642-385c62e39908-1366888742.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;21;11.48;10 MBit/s;telekom_layer_magenta_m;über VDSL;1956;REGULAR;11.48;117995043;district_heating;n;false;MagentaZuhause M;y;Berlin;y;9;2;no_information;energy_required;7.14;104.7;Berlin;10247;mint_condition;sophisticated;false;50 MBit/s;no_information;no_information;n;https://padlock.link/iomm;https://padlock.link/mm;no_information;roof_storey;10247;4;114;n;2,active;true;Deutschland;standard;50 MBit/s;wohnung_kauf;n;5;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.216206;639000;profile0;5;4;true;n;showqualicontactform;n;n;Friedrichshain_Friedrichshain;117995043;5;Berlin;/expose/117995043;['Der in den 1950er Jahren errichtete Altbau liegt in einer ruhigen Wohnstraße nahe dem belebten Boxhagener Platz und wurde umfassend saniert. \n\nDas Dachgeschoß, welches einen tollen Ausblick über Berlin ermöglicht, ist ausgebaut und kann leer oder vermietet übergeben werden. \n\nInsgesamt haben wir 33 Wohneinheiten, 29 Einheiten als Bestand und 4 Einheiten neu (Dachgeschoß), welche über 3 Hauseingänge erschlossen werden. \n\nZu den ausgeführten Sanierungsarbeiten zählen unter anderem alle Stränge, Treppenhäuser, sowie die Fassade.\n\nVereinbaren Sie einen Termin mit uns und überzeugen Sie sich selbst von dem schönen Haus, sowie der tollen Umgebung.', 'Diese schön sanierte Dachgeschosswohnung bietet vier Zimmer, wovon sich zwei eine Terrasse teilen, die mit einem tollen Blick über Berlin lockt. \n\nViel Lichteinfall und weiß gestrichene sowie verputzte Wände erzeugen ein offenes und freies Raumgefühl.\n\n2 Badezimmer und ein in das Wohnzimmer integrierter Küchenbereich runden das Paket ab und machen diese Wohnung zu einem Ort zum wohl fühlen.\n\n\n- Etagenwohnung\n- Dachgeschoss\n- 4 Zimmer\n- Terrasse\n- hochwertige Materialien\n- kein Aufzug', 'Sehr zentrale ruhige Lage nahe der Boxhagener Straße im Simon - Dach - Kiez. Nur wenige Gehminuten zur U-Bahn Samariterstraße, sowie zu Restaurants/Bars.', 'Für Rückfragen erreichen Sie uns auch unter der Rufnummer 0172-3261193.'];6;disabled;D;2019;;;;;
