timestamp;obj_regio1;obj_heatingType;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_usableArea;obj_yearConstructed;obj_pricetrendbuy;obj_scoutId;obj_hasKitchen;obj_ExclusiveExpose;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;ga_cd_cxp_historicallisting;obj_parkingSpace;obj_street;obj_lift;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_ityp;geo_land;ga_cd_via;obj_immotype;obj_rented;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;evt_count_pm_sig;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_telekomTvOffer;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_telekomInternetType;obj_firingTypes;obj_telekomInternetProductName;obj_telekomDownloadSpeed;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_telekomHdTelephone;obj_telekomInternet;obj_telekomInternetServices;obj_floor;obj_rentSubsidy;obj_energyEfficiencyClass;obj_telekomHybridUploadSpeed;obj_lastRefurbish;obj_groupnumber;obj_telekomHybridDownloadSpeed;obj_numberOfFloors;obj_project_id;obj_noParkSpaces;obj_nbp;ga_cd_developer_virtualreality;obj_galleryAd
2020-05-11 12:26:36.786815;Berlin;no_information;261165;y;y;https://pictures.immobilienscout24.de/listings/ddeb1fc3-1d52-4d31-89f3-ad59f7c8f730-1359897790.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;6;9.57;16;2020;9.57;116903532;n;false;y;Berlin;n;11;9;no_information;energy_required;4.14;121;Berlin;14195;no_information;no_information;false;no_information;no_information;n;no_information;no_information;14195;4;33.2;n;2,active;Deutschland;top;wohnung_kauf;n;false;001.261165;1320000;profile0;4;true;n;showqualicontactform;n;n;Dahlem_Zehlendorf;W-02HFUD;6;Berlin;/expose/116903532;['Beim Neubau dieser Dahlemer Villa mit nur vier Wohneinheiten steht der private Wohncharakter im Vordergrund. Äußerlich erscheint das Haus, das im Stil einer großbürgerlichen Villa geplant wurde, als geschlossene Einheit. In seinem Inneren aber teilt sich das Gebäude in vier Maisonette-Wohnungen mit separaten Eingängen auf. Die hier angebotene Wohnung erstreckt sich über das Erdgeschoss und das teilweise tagesbelichtete Souterrain mit einem weiteren Schlafzimmer und einem Hobbyraum. Moderne Stilelemente treffen auf einen praktischen Grundriss, der durch seine klaren Schnitte überzeugt. Eine feine Auswahl hochwertiger Materialien sorgt für die Fortsetzung der klassischen Gestaltungslinie der Fassade im Inneren: Belgischer Blaustein, großformatiges Fischgrätparkett und Kirchheimer Muschelkalk-Naturstein in den Bädern stehen für anspruchsvolle Innenarchitektur, zeitlose Eleganz und die Erfüllung höchster Ansprüche an Wohnkultur. Von der Terrasse im Erdgeschoss bietet sich ein wundervoller Blick in den parkähnlichen Garten mit altem Baumbestand. Bodentiefe Fenster erhöhen den Tageslichtanteil in der Wohnung. Ein Sondernutzungsrecht des Gartens vervollständigt diese schöne Immobilie.', '•\tKlassische Architektur \n•\tFarben von Farrow & Ball\n•\tGroßzügige Deckenhöhe bis ca. 2,90 m \n•\tBodentiefe Holzfenster \n•\tHochwertige Ausstattung\n•\tEichenparkett\t\n•\tNatursteinbäder\n•\tFußbodenheizung\n•\tSonnenschutz  \n•\tWohnungslüftung mit Wärmerückgewinnung\n•\tVideo-Gegensprechanlage\n•\tAnteiliges Sondernutzungsrecht des Gartens\n•\tExtra Abstellraum im Garten', 'Der Stadtteil Dahlem, der den Campus der Freien Universität beherbergt, gehört auch heute zu den bevorzugten und begehrtesten Wohnlagen in Berlin. Die Bebauung setzt sich überwiegend aus Altbauvillen der Jahrhundertwende, klassischen Einfamilienhäusern und hochwertigen Eigentumswohnanlagen zusammen. Hohen Erholungswert bieten eine Reihe an kleineren Parks, die nahegelegenen Grunewaldseen sowie der Grunewalder Forst mit seinen Sportclubs. Das Roseneck bietet neben guten Einkaufsmöglichkeiten für den täglichen Bedarf und diversen Dienstleistungsangeboten auch eine Vielzahl von Restaurants und Cafés. Der U-Bahnhof Podbielskiallee ist fußläufig zu erreichen. Einerseits wohnen Sie in Dahlem in einer ruhigen und entspannten Grünlage, andererseits erreichen Sie in wenigen Minuten nicht nur den Kurfürstendamm und die Schloßstraße, sondern verfügen auch über hervorragende Verkehrsanbindungen an das Regierungsviertel, die Flughäfen, den Berliner Hauptbahnhof sowie Potsdam und das Berliner Umland.'];;;;;;;;;;;;;;;;;;;;;;;;;;
2020-05-11 12:26:37.230782;Berlin;;175423;n;n;https://pictures.immobilienscout24.de/listings/3388013a-5100-4618-a2a8-a4527d51dff3-1359873134.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;14.32;;;14.32;116901474;n;false;;Berlin;n;11;;no_information;;8.36;191;Berlin;13347;no_information;no_information;false;no_information;no_information;n;no_information;loft;13347;5;;n;2,active;Deutschland;standard;wohnung_kauf;n;true;001.175423;1250000;profile0;5;true;n;showqualicontactform;n;n;Wedding_Wedding;5455 (1/5455);7;Berlin;/expose/116901474;['Ein Energieausweis ist beantragt, liegt aber noch nicht vor.'];ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;no_information;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;;;;;;;;;;;;;
2020-05-11 12:26:37.582649;Berlin;;175423;n;n;https://pictures.immobilienscout24.de/listings/2cd4ff7b-6615-4e99-aaed-044ae86876cd-1359874904.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;15;10.95;;1938;10.95;116901617;n;false;y;Berlin;n;6;1;no_information;energy_consumption;6.54;66;Berlin;10409;well_kept;no_information;false;no_information;no_information;n;no_information;apartment;10409;2;84.4;n;2,active;Deutschland;standard;wohnung_kauf;n;true;001.175423;298000;profile0;2;true;n;showqualicontactform;n;n;Prenzlauer_Berg_Prenzlauer_Berg;5459 (1/5459);3;Berlin;/expose/116901617;['Das Gebäude in dem sich die Wohnung befindet ist ein schönes 30`er Jahre Bauwerk. Einen besonderen Charakter erhält dieses Gebäude durch die grünen Fensterläden. Es befindet sich in einem gepflegten, modernisierten Zustand und hat einen großen begrünten Innenhof.\r\rDie Wohnung selbst liegt im Hochparterre, man hat keine direkte Einsicht von der Straße da die Fenster ca. 2 Meter über dem Boden beginnen, sie befindet sich wie das Gebäude eben-falls in gepflegtem Zustand. Die Räume haben einen guten Schnitt und vom Balkon blickt man gen Süden in den schönen Hof.\r\rDie Wohnung ist aktuell vermietet mit einer Nettokaltmiete in Höhe von 496,28 €. Eine Eigenbedarfskündigung könnte nach ca. 5 Jahren ausgesprochen werden.\r', '•\tIdeale Raumaufteilung\r•\tAbgezogene Dielen\r•\tSüdbalkon 4 m²\r•\tWannenbad', 'Das Leben ist sehr vielfältig hier, zwischen dem Einkaufstrubel im Prenzlauer Berg, Kinderlachen auf dem Spielplatz im Erich-Weinert-Park und einer himmlischen Ruhe unter den großen, schattigen Bäumen auf dem jüdischen Friedhof sind es nur wenige hundert Meter und abends lockt der Helmholtzplatz mit seinen beliebten Bars und Restaurants.\r\rEs gibt viele Kindergärten und gute Schulen. Grünanlagen und Spielplätze wurden renoviert. Der jüdische Friedhof ist zum Schmuckstück geworden und zwei Supermärkte, ein Bioladen und ein Feinkostmarkt befinden sich in unmittelbarer Nachbarschaft.\r\rDie verkehrstechnische Anbindung ist hervorragend. Mit der Tram sind Sie innerhalb von 10 Minuten am Berliner Alexanderplatz, die Ringbahn ist ganz nah und mit dem Auto gelangt man über die Prenzlauer Allee schnell in das Zentrum oder auch raus ins Grüne.\r', 'Für weitere Informationen schicken Sie uns gerne eine Anfrage!'];ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;no_information;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;1;;;;;;;;;;;;
2020-05-11 12:26:37.908351;Berlin;central_heating;261165;n;n;https://pictures.immobilienscout24.de/listings/a3c6b1bd-f2bf-422d-88e7-54ee21256855-1359902909.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;14;7.75;;1999;7.75;116904696;y;false;y;Berlin;y;10;5;no_information;energy_consumption;3.57;104.28;Berlin;14193;no_information;no_information;false;no_information;no_information;y;no_information;apartment;14193;3;67;n;2,active;Deutschland;top;wohnung_kauf;n;true;001.261165;795000;profile0;3;true;n;showqualicontactform;n;n;Grunewald_Wilmersdorf;W-02IJ4U;5;Berlin;/expose/116904696;['Die luxuriöse Stadtvilla wurde im Jahr 1999 erbaut. Gleichzeitig wurden die Quarzsäulen am Gartenzaun originalgetreu nachgebaut, um den Stil und den Charme der Nachbarschaft zu bewahren. Der repräsentative Eingangsbereich, sowie das lichtdurchflutete Treppenhaus sind mit hochwertigem, braunem Granit ausgelegt. Die sonnige Drei-Zimmer-Wohnung befindet sich im ersten Obergeschoss und verfügt über einen großzügigen Wohnbereich mit bodentiefen Fenstern, die einen freien Blick in den Garten bieten. Ein weiteres Highlight ist der großzügige Spa-Bereich in der Stadtvilla, der für alle Hausbewohner nutzbar ist. Neben dem großen Schwimmbecken bietet dieser eine Dampf- und Biosauna, sowie einen Fitnessbereich mit vielen Geräten.', '• Eichenparkett\n• Fußbodenheizung\n• 2 Carrara-Marmor-Bäder (Badewanne und Dusche)\n• Einbauschränke\n• Barrierefrei \t\n• Spa-Bereich (Schwimmbecken, Gegenstrom-Massagestation, Dampf- und Biosauna)\n• Fitnessbereich\n• Videoüberwachung im Eingangsbereich\n• Gemeinschaftsgarten (automatische Rainbird-Bewässerungsanlage)\n• Keller', 'Luxuriös Leben im Einklang mit der Natur- und dennoch fast am urbanen Boulevard Kurfürstendamm. Der Stadtteil Grunewald, Ende des 19. Jahrhunderts als exklusive Villenkolonie gegründet, gehört auch heute zu den bevorzugten und begehrtesten Wohnlagen in Berlin. Die Bebauung setzt sich überwiegend aus Altbauvillen der Jahrhundertwende, klassischen Einfamilienhäuser und hochwertigen Eigentumswohnanlagen zusammen. Hohen Erholungswert bieten die Kette der Grunewaldseen sowie der Grunewalder Forst. Das nahe gelegene Roseneck und der Hagenplatz ermöglichen Ihnen neben guten Einkaufsmöglichkeiten für den täglichen Bedarf und diversen Dienstleistungsangeboten auch eine Vielzahl von Restaurants und Cafés. Diverse exklusive Tennisclubs, Reitvereine, Sport- und Golfclubs befinden sich in der Nähe. Einerseits befindet sich das Haus im Grunewald in einer ruhigen und sehr exklusiven Grünlage, andererseits erreicht man in wenigen Minuten die Westberliner Innenstadt und das bekannte Warenhaus KaDeWe.', 'Der Makler-Vertrag mit uns und/oder unserem Beauftragten kommt durch schriftliche Vereinbarung oder durch die Inanspruchnahme unserer Maklertätigkeit auf der Basis des Objekt-Exposés und seiner Bedingungen zustande. Die Käufercourtage in Höhe von 7,14 % auf den Kaufpreis einschließlich gesetzlicher Mehrwertsteuer ist bei notariellem Vertragsabschluss verdient und fällig. Die Höhe der Bruttocourtage unterliegt einer Anpassung bei Steuersatzänderung. Die EuV Residential Berlin GmbH und ggf. deren Beauftragte erhalten einen unmittelbaren Zahlungsanspruch gegenüber dem Käufer (Vertrag zugunsten Dritter, § 328 BGB). Grunderwerbssteuer, Notar- und Gerichtskosten trägt der Käufer.\n\nAlle Angaben sind ohne Gewähr und basieren ausschließlich auf Informationen, die uns von unserem Auftraggeber übermittelt wurden. Wir übernehmen keine Gewähr für die Vollständigkeit, Richtigkeit und Aktualität dieser Angaben. Zwischenvermietung bleibt vorbehalten. Sollte das von uns nachgewiesene Objekt bereits bekannt sein, teilen Sie uns dieses bitte unverzüglich mit. Die Weitergabe dieses Exposees an Dritte ohne unsere Zustimmung löst gegebenenfalls Courtage- bzw. Schadensersatzansprüche aus. Im Übrigen gelten die allgemeinen Geschäftsbedingungen für die Rechtsbeziehung zwischen Ihnen und EuV Residential Berlin GmbH.'];ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;oil;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;1;626;B;;;;;;;;;;
2020-05-11 12:26:38.492637;Berlin;;175423;n;n;https://pictures.immobilienscout24.de/listings/e45e5426-619f-4adc-95de-42e8d17703a6-1359872608.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;14.32;;;14.32;116901439;n;false;;Berlin;n;8;;no_information;;8.36;90;Berlin;13347;no_information;no_information;false;no_information;no_information;n;no_information;loft;13347;3;;n;2,active;Deutschland;standard;wohnung_kauf;n;true;001.175423;495000;profile0;3;true;n;showqualicontactform;n;n;Wedding_Wedding;5454 (1/5454);4;Berlin;/expose/116901439;['Ein Energieausweis ist beantragt, liegt aber noch nicht vor.'];ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;no_information;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;;;;;;;;;;;;;
2020-05-11 12:26:38.940351;Berlin;central_heating;175423;n;y;https://pictures.immobilienscout24.de/listings/f925db91-756d-4d80-aefa-9e448f9da6d1-1359872295.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;10.66;;;10.66;116901410;n;false;n;Berlin;n;10;;no_information;;5.91;130;Berlin;10179;no_information;sophisticated;false;no_information;no_information;n;no_information;apartment;10179;4;;n;2,active;Deutschland;standard;wohnung_kauf;n;false;001.175423;945000;profile0;4;true;n;showqualicontactform;n;n;Mitte_Mitte;5453 (1/5453);6;Berlin;/expose/116901410;['Hochwertige Ausstattung mit Parkett Eiche Natur inkl. Einbauküche, Boden-tiefe Fenstern mit dreifach Verglasung, Fußbodenheizung, Deckenhöhe 2,90 m, voll ausgestatteten Bädern, Aufzug, Tiefgarage-Plätzen und Gegensprechanlage mit Videofunktion. '];;;;;;no_information;;;;;;;;4;;;;;;;;;;;;
2020-05-11 12:26:39.276256;Berlin;central_heating;18508198;n;y;https://pictures.immobilienscout24.de/listings/c69f2b0d-b743-4d0f-af21-ae4435d3db9f-1361696711.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;14;9.22;;;9.22;116911861;y;false;n;Berlin;y;8;;no_information;;5.06;89.4;Berlin;12305;no_information;sophisticated;false;no_information;no_information;n;no_information;roof_storey;12305;3;;n;2,active;Deutschland;standard;wohnung_kauf;n;true;009.12176c97-c605-4a93-bc61-ee8db7d97d93;411240;profile0;3;true;y;showqualicontactform;n;n;Lichtenrade_Tempelhof;116911861;4;Berlin;/expose/116911861;['Wunderschöne Dachgeschoss-Wohnungen mit sorgfältig durchgeplanten Grundrissen und hochwertiger Ausstattung.', 'Elegant gestaltete Markenküchen, Badezimmer wie Wellness-Oasen & großzügige Süd-Balkone verleihen den Dachgeschoss-Wohnungen einen einzigartigen Penthouse-Charakter. \n\nAlle Wohnräume sind mit Eichenparkett verlegt, Küchen- und Badezimmerbeläge mit modernen Fliesen, die als weitere farbliche Akzente harmonieren.\nDie Sanitärobjekte und Armaturen sind mit namhaft- und hochwertigen Fabrikaten wie z.B. Hans Grohe, Villeroy&Boch, ausgestattet. \n\nDen Wohnhäusern angeschlossen ist ein großzügiger Gartenbereich, der allen Parteien zur Nutzung zur Verfügung steht. Hier können die Kinder spielen, Blumen gepflanzt und sich mit den Nachbarn auf Kaffee und Kuchen getroffen werden.', 'Das Wohnkomplex befindet sich ca. 5 Minuten mit dem Auto vom Zentrum von Lichtenrade, der Einkaufsmeile mit Ihren vielen kleinen Läden und Einzelhandelsgeschäften. Eine wunderbare Alternative zu den großen Shopping-Malls, denn hier flaniert es sich fast so schön wie im Urlaub. \nNeben dem direkten Anschluss an die B96 liegt die Wohnung fußläufig zu den Buslinien 172, N81, M76 und X76 und dem S-Bahnhof Schichauweg entfernt. \n\nEin- und Mehrfamilienhäuser bilden das Straßenbild, das durch viel Grün und verschiedene Nadel- und Laubbäume einen idyllischen Flair ausstrahlt. \nAlle wichtigen Dinge des täglichen Bedarfs wie Einkaufsmöglichkeiten, Ärzte, Kindergärten, Schulen sind zu Fuß zu erreichen.'];ONE_YEAR_FREE;2,4 MBit/s;telekom_layer_magenta_m_hybrid2;über Hybrid;WITH_HYBRID;;MagentaZuhause M Hybrid (2);16 MBit/s;https://padlock.link/mmh2sa;https://padlock.link/mmhy2;true;50 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd;4;250;;10 MBit/s;2019;777;50 MBit/s;4;;;;;
2020-05-11 12:26:39.604273;Berlin;district_heating;15820567;y;y;https://pictures.immobilienscout24.de/listings/77e0bfa7-5c9a-41b4-8bf5-87053c8858b1-1359929092.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;17;10.5;;2019;10.5;116909982;n;false;n;Berlin;y;9;9;60;;6.67;133;Berlin;13088;first_time_use;sophisticated;false;underground_garage;Piesporter Str.;y;Piesporter_Str.;roof_storey;13088;3;;n;2,active;Deutschland;schaufenster;wohnung_kauf;n;false;002.01004178777;628000;profile0;3;true;y;showqualicontactform;y;n;Weißensee_Weißensee;200326-DG WE35;6;Berlin;/expose/116909982;['Einfach zusammen leben, das ist unser Credo für das ‚Quartier Wir‘ in Weißensee. Familien mit kleinen und großen Kindern, Paare und Lebensgemeinschaften mit Oma und Katze, mit Alt- und Neuberlinern – alle gemeinsam und jeder nach seiner Façon – in einem neuen Quartier bestehend aus fünf Häusern mit verschiedenen Wohnformen. \n\nGemeinschaftsflächen wie der Hofpark mit Sitzflächen und das Café schenken ganz natürliche, tägliche Kontaktmöglichkeiten. \n\nWenn Sie Wohneigentum für sich und Ihre Lieben gestalten wollen, wird das Haus C möglicherweise Ihr Zuhause. \n\nParadiesische Vorstellungen zu verwirklichen, dazu braucht es ein klares Bekenntnis: Zu wertschätzender Kommunikation, zu Toleranz und Rücksichtnahme. Denn wir Menschen sind verschieden – und das ist einfach echt gut so.\n\nWie alle Gebäude im Quartier wurde auch der Rohbau des Hauses C in Mischbauweise erstellt, das heißt Treppenhauskerne und Keller sind aus Beton, Außenwände und Decken der Wohnbereiche werden aus Holzbauteilen hergestellt.\nHolz sorgt für angenehmes Raumklima. Die Gebäudehülle in Holz mit Zellulosefüllung erreicht zudem einen sehr guten U-Wert*, so dass unser Haus C mit Lüftungsanlage und Wärmerückgewinnung nahezu einen Passivhausstandard erreicht.', '*Mehrschicht-Stabparkett Eiche\n*sichtbare Holzdecken, Träger und Stützen\n*feine Villeroy&Boch Fliesen \n*WC Keramag Renova Nr. 1 Plan \n*Waschtisch Keramag Renova Nr. 1 Plan \n*Badewanne Kaldewei Saniform Plus, Stahl-Emaille *bodengleiche Dusche\n*Aufzug\n*herrliche private Dachterrasse \n*KfW40-Standard\n\n*Stellplatz in Tiefgarage exklusive\n\nund vieles mehr.', 'Piesporter Straße/\nBrodenbacher Weg\n\nDas Objekt ist derzeit auf Google Maps noch unter die Adresse Piesporter Str. 16 zu finden, zukünftig Piesporter Str. 60-61.\n\nVor dem bekannten jüdischen Friedhof Adass Jisroel und neben dem evangelischen Friedhof Weißensee entsteht auf 7.000 Quadratmetern Fläche – neben vier anderen – ein langgestrecktes fünf geschossiges Wohnhaus mit Eigentumswohnungen.\n\nDer Standort an der Piesporter Straße liegt herrlich im Grünen und denkbar zentral: Supermarkt und Bioladen, Apotheken und Banken finden sich en masse auf der Berliner Allee, die mit dem Rad, Bus oder der Tram in wenigen Minuten erreicht werden kann.\n\nBUS X54, 156 und 259\nTRAM M4, 12, M13\n\n6km bis Auffahrt Autobahn A114', 'Alle Grundrisse und den aktuellen Reservierungsstand finden Sie auf unserer Internetseite www.quartier-wir.de .\n\nHinweis: Der Verkauf der Wohnungen erfolgt direkt durch uns als Bauträger OHNE eine Maklerprovision!\n\nAlle Angaben und Darstellungen wurden mit größter Sorgfalt zusammengestellt, sie erfolgen jedoch ohne Gewähr. Dargestellte Fensteröffnungen und Ausstattungen sind beispielhaft und können abweichen. Grundrisse und insbesondere deren Maße können sich gegebenenfalls aufgrund technischer Notwendigkeiten geringfügig verändern. Die Unterlage dient ausschließlich der Information und stellt kein vertragliches Angebot dar.'];;;;;;district_heating;;;;;;;;5;399;;;;;;5;71548;1;true;;
2020-05-11 12:26:39.958773;Berlin;central_heating;17923121;n;y;https://pictures.immobilienscout24.de/listings/fdaf51a1-b7d5-4c28-9c58-eedb17778e5e-1359939303.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;12.25;;1990;12.25;116911809;y;true;y;Berlin;n;10;4;no_information;energy_consumption;6.83;193;Berlin;12099;well_kept;sophisticated;false;no_information;no_information;n;no_information;roof_storey;12099;5.5;107.7;n;2,active;Deutschland;top;wohnung_kauf;n;true;002.01008634380;799000;profile0;5;true;n;showqualicontactform;n;n;Tempelhof_Tempelhof;43080107-01074;7;Berlin;/expose/116911809;['Sie lieben das Außergewöhnliche und Extravagante?\r\n\r\nSie möchten ruhig aber trotzdem absolut zentral in Ihrem Traum-Dachgeschoss wohnen?\r\n\r\nDen Sonnenauf- und untergang von zwei uneinsehbaren und geschützten Terrassen aus genießen?\r\n\r\nSie brauchen viel Platz für Ihre Familie oder suchen ein Atelier in dem Sie ihre Ideen frei gestalten können und inspiriert werden?\r\n\r\nDiese schöne Dachgeschosswohnung läßt viele Gestaltungsmöglichkeiten zu und keine Wünsche offen. Nutzen Sie diese einmalige Chance! Vielleicht verlieben Sie sich in das hier angebotene Objekt und schauen schon bald über die Dächer von Berlin.\r\n\r\nEs handelt sich hierbei um eine Oase mitten in der Stadt mit einer hervorragenden Verkehrsanbindung und Infrastruktur.\r\n\r\nSind Sie neugierig geworden? Dann freuen wir uns, Ihnen das Objekt persönlich vorzustellen. Bitte haben Sie Verständnis dafür, dass wir das Exposé nur ausgewählten Interessenten zur Verfügung stellen, da der Verkäufer um äußerste Diskretion bittet.', 'Weitere Informationen und Bildansichten entnehmen Sie bitte unserem Exposé, welches wir Ihnen gerne nach einer vollständig ausgefüllten Kontaktanfrage zur Verfügung zu mailen.\r\n\r\nHINWEIS: Alle Informationen, Bilder und Dateien im Exposé beruhen auf den Informationen und übergebenen Unterlagen der Verkäufer bzw. Dritter. Eine Haftung für die Angaben im Exposé kann deshalb durch uns nicht übernommen werden. Unsere Angebote sind freibleibend und unverbindlich. Zwischenverkauf und Preisänderungen bleiben ausdrücklich vorbehalten.\r\n\r\nAKTUELL: Gerne lassen wir ein auf Ihre Bedürfnisse ausgerichtetes Finanzierungskonzept durch unsere Postbank Finanzierungsspezialisten erstellen. Sprechen Sie uns einfach an.\r\n\r\nVERKAUFSWUNSCH / UNVERBINDLICHE WERTSCHÄTZUNG: Möchten Sie Ihre Immobilie verkaufen? Oder wünschen Sie eine nachhaltige, marktorientierte & kostenlose Wertschätzung? \r\nDann sind wir als kompetenter Bankenmakler Ihr erster Ansprechpartner. Lernen Sie uns kennen, wir freuen uns auf Sie. Gerne stehen wir Ihnen für ein persönliches Kennenlern-Gespräch jederzeit zur Verfügung.'];ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;gas;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;;;;;2009;;;4;;;;;
2020-05-11 12:26:40.293847;Berlin;central_heating;179106;n;y;https://pictures.immobilienscout24.de/listings/2bfcbee0-ddf9-4e35-ad8c-b0a2e0bb035c-1359873333.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;3;11.72;;1910;11.72;116901497;n;true;y;Berlin;n;7;1;no_information;energy_consumption;6.22;94.64;Berlin;12487;well_kept;normal;false;no_information;no_information;n;no_information;no_information;12487;3;137;n;2,active;Deutschland;standard;wohnung_kauf;y;false;001.179106;307580;profile0;3;true;y;;n;n;Johannisthal_Treptow;S13534;4;Berlin;/expose/116901497;['- Bestlage: zentrale und grüne Ruhiglage, nahe S-Bahnhof\n- Wohnhaus im Jahre 1910 in massiver Bauweise errichtet, Modernisierung und Aufteilung fand 1998 statt\n- Mietverhältnis seit 2004, nach Teilung geschlossen, 514,84 EUR Nettokaltmiete / pro Monat\n- Drei-Zimmer-Eigentumswohnung im 3. OG des Vorderhauses\n- Wohnung befindet sich in einem gepflegten Allgemeinzustand\n\n- Best location: central and green quiet location, near S-Bahn station\n- Residential house built in 1910 in massive construction, modernisation and division in 1998\n- tenancy since 2004, closed after division, 514,84 EUR net cold rent / per month\n- three-room condominium on the 3rd floor of the front building\n- Apartment is in a neat general condition', 'Balkon/Terrasse, Altbau, Garten/ -mitbenutzung, Gaszentralheizung, Gepflegt, Modernisiert, normale Ausstattung, vermietet dauerhaft', 'In einem infrastrukturell gut erschlossenen und gleichzeitig grünen Umfeld befindet sich der Köpenicker Ortsteil Johannisthal. Diverse Einkaufsmöglichkeiten, Schulen, Kindergärten etc. befinden sich in direkter Laufentfernung. Ebenso nah ist die Königsheide, eine große Parkanlage, die zur Erholung einlädt und innerhalb kürzester Zeit fußläufig erreichbar ist. Die Busverbindungen X11, 265, M11 und 160 sowie die Tram 63 liegen mit ihren Haltestellen in Laufentfernung und bieten über den wenige Busstationen entfernten S-Bahnhof Schöneweide eine hervorragende Anbindung an den öffentlichen Nahverkehr. Die Bundesstraße 96a gewährleistet den Zugang zum Individualverkehr.\nThe Köpenick district Johannisthal is located in an infrastructurally well developed and at the same time green environment. Various shopping facilities, schools, kindergartens etc. are within walking distance. The Königsheide is just as close, a large park that invites you to relax and is within walking distance. The bus connections X11, 265, M11 and 160 as well as the tram 63 with their stops are within walking distance and offer an excellent connection to public transport via the S-Bahn station Schöneweide, which is only a few bus stops away. The Bundesstraße 96a provides access to private transport.', 'Sie möchten Ihre Immobilie verkaufen? Wir sind Ihr Partner für einen erfolgreichen Verkauf.\n1. Unsere Experten verfügen über tiefgehende Kenntnis des bestehenden Immobilienmarktes und entwickeln gerne eine individuelle Verkaufsstrategie für Sie. Wir bewerten Ihre Immobilie unverbindlich, kostenfrei und marktgerecht.\n2. Wir sind für Sie da und begleiten Sie von der kostenlosen Beratung bis hin zum Notartermin, immer getreu unserer Philosophie: kompetent, zuverlässig und diskret.\n3. Unser nationales und internationales Netzwerk sowie interne Synergien ermöglichen Ihnen den Zugang zu potenziellen Käufern aus aller Welt und somit einen erfolgreichen Abschluss. \nProfitieren Sie von unserem Know-How, rund 20 Jahren Erfahrung und 6 Büros in den besten Lagen Berlins. Gerne beraten wir Sie kostenlos in unserem Büro, per Telefon oder E-Mail!  \nEnergieausweis vorhanden:\nja'];;;;;;gas;;;;;;;;3;224.08;E;;;669;;3;;;;;
