timestamp;obj_regio1;obj_heatingType;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_yearConstructed;obj_telekomInternetType;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_rentSubsidy;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_floor;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_numberOfFloors;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_usableArea;evt_count_pm_sig;obj_energyEfficiencyClass;obj_groupnumber;ga_cd_via_qualified;obj_galleryAd;obj_lastRefurbish;obj_noParkSpaces
2020-05-11 12:49:59.068687;Berlin;central_heating;ONE_YEAR_FREE;15333187;n;y;https://pictures.immobilienscout24.de/listings/c996c2f0-5e62-4592-a879-a2fc7d58aee8-1310781581.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;20;12.24;40 MBit/s;telekom_layer_magenta_l;über VDSL;1918;REGULAR;12.24;111306126;oil;n;false;MagentaZuhause L;y;Berlin;n;9;1;334.11;3;energy_consumption;6.53;145.82;Berlin;10823;no_information;no_information;false;100 MBit/s;no_information;Klixstr.;n;https://padlock.link/ioml;https://padlock.link/ml;Klixstr.;apartment;10823;4.5;125.8;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;4;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.15281088;669000;profile0;5;4;true;n;n;n;Schöneberg_Schöneberg;5720;6;Berlin;/expose/111306126;['Das Haus wurde um die Jahrhundertwende erbaut und verfügt über 24 Wohneinheiten. Die Wohnung befindet sich im 4. Obergeschoss des Vorderhauses und ist seit 1998 vermietet. Es handelt sich um eine  klassische Berliner Altbauwohnung.', 'Leider liegen uns auf Grund des vermieteten Zustands keine Informationen zu genauen Ausstattungsdetails vor.\nAlternativ können Sie sich auch gerne direkt ein Bild vor Ort machen.', 'Zentral, familiär und im besten Sinn des Wortes großstädtisch. \nWohnungen im Schöneberger Kiez sind begehrt, weil hier auf kleinem Raum all´ das zusammen kommt, was Berlin so beliebt macht.\nWeitläufige Parkanlagen, ein vielfältiges kulturelles und bezahlbares gastronomisches\nAngebot und Menschen, die das Motto „Leben und leben lassen“ beherzigen\nund entsprechend friedlich zusammen leben.\n\nHier finden Sie direkt vor der Haustür alles, was urbanes Leben ausmacht,\ndazu gehört auch der Winterfeldtmarkt, der Mittwoch und Samstag kulinarische\nsowie handwerkliche Angebote für Sie bereithält.\n\n', 'Für weitere Informationen oder Terminvereinbarungen steht Ihnen das Team der MAKSIM gerne telefonisch oder per E-Mail zur Verfügung.\n\nEine Gewähr für die Richtigkeit kann durch die Firma Maksim Immobiliengesellschaft mbH nicht übernommen werden.'];;;;;;;;
2020-05-11 12:49:59.458169;Berlin;central_heating;ONE_YEAR_FREE;15333187;n;y;https://pictures.immobilienscout24.de/listings/07674b24-068e-4aa2-b7a0-e98c167943c4-1291973223.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;11;11.48;40 MBit/s;telekom_layer_magenta_l;über VDSL;1910;REGULAR;11.48;111309869;gas;n;false;MagentaZuhause L;y;Berlin;n;9;1;467.41;8;energy_required;7.14;149.48;Berlin;10245;no_information;no_information;false;100 MBit/s;no_information;Knorrpromenade;n;https://padlock.link/ioml;https://padlock.link/ml;Knorrpromenade;ground_floor;10245;6;192;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;0;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.15281088;569000;profile0;5;5;true;n;n;n;Friedrichshain_Friedrichshain;5724;6;Berlin;/expose/111309869;['Das Haus wurde ca 1910 errichten. Die einzelnen Wohnungen wurden im Jahr 1999 in Eigentumswohnungen umgewandelt. Es finden sich  in diesem Objekt 24 Wohneinheiten und drei Einheiten im Dachgeschoss. Die Wohnungen haben eine Größe von 47 m² -149 m².\nDie hier angebotene Wohnung setzt sich aus der WE 01 im Souterrain und der WE 04 im Erdgeschoss zusammen. Zu den Wohnungen gehören zwei Sondernutzungsrechte an Gartenflächen (SN-G3, SN-G5)\nDie Wohnung ist seit 2004 vermietet.', 'Aufgrund der Tatsache das die Wohnung vermietet ist liegen uns keine genauen Ausstattungsdetails vor. Gern vereinbaren wir für sie einen Besichtigungstermin bei dem sie sich ein genaues Bild machen können', 'Die Knorrpromenade befindet sich im Herzen von Berlin Friedrichshain. Zwischen Boxhagener Platz und Wühlichplatz gelegen, finden sie in der Umgebung, der ruhiger gelegenen Knorrpromenade, unzählige Cafés und Restaurants. Die Mercedes Benz Arena, der Mediapark an der Spree sowie der Rummelsburger See befinden sich ebenfalls unweit.\nDie Verkehrsanbindung mit U-S Bahn, Tram und Bus ist hervorragend.', 'Für weitere Informationen oder Terminvereinbarungen steht Ihnen das Team der MAKSIM gerne telefonisch oder per E-Mail zur Verfügung.\n\nEine Gewähr für die Richtigkeit kann durch die Firma Maksim Immobiliengesellschaft mbH nicht übernommen werden.'];;;;;;;;
2020-05-11 12:49:59.754613;Berlin;self_contained_central_heating;ONE_YEAR_FREE;145924;n;n;https://pictures.immobilienscout24.de/listings/a9b7d132-91f2-4f4e-983f-6d3cef15f85b-1309018169.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;12.38;40 MBit/s;telekom_layer_magenta_l;über VDSL;1911;REGULAR;12.38;111315867;gas;n;false;MagentaZuhause L;y;Berlin;y;3;1;90;no_information;energy_consumption;5.61;41;Berlin;10315;need_of_renovation;no_information;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10315;1;108.2;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.145924;110000;profile0;5;1;true;n;n;n;Friedrichsfelde_Lichtenberg;10181;2;Berlin;/expose/111315867;['Zum Verkauf steht hier eine Einzimmerwohnung in der ersten Etage im Seitenflügel eines Gründerzeitaltbaus. Das Gebäude wurde im Jahr 1995 komplett saniert und auch die Wohnung wurde in diesem Zuge modernisiert. Vom Flur aus gehen alle Räume zur Hofseite ab. Die Küche ist ausreichend groß proportioniert und verfügt über einen Gasanschluss.Das Tageslichtbad ist mit einer Wanne ausgestattet und hell gefliest. Am Ende des Flures ist das rechteckig geschnittene Wohn- und Schlafzimmer gelegen. Die Wohnung ist insgesamt in einem renovierungsbedürftigen Zustand.', '- Isolierverglasung\n- Tageslichtbad\n- Kellerabteil\n- Mieteinnahmen: € 3.492,-- (jährlich)', 'Das hier angebotene Objekt liegt im Weitlingkiez in Berlin Lichtenberg. Die Lage hat sich in den vergangenen Jahren stark entwickelt, bietet aber nach wie vor ein weiteres Wertsteigerungspotential. Infrastrukturell ist die direkte Umgebung sehr gut aufgestellt. Auch die Verkehrsanbindung ist durch die Nähe der Wohnung zum Bahnhof Lichtenberg und der B1 sehr gut.', 'Bei Abschluss des Kaufvertrages beträgt die vom Erwerber zu zahlende Maklerprovision 7,14% inkl. gesetzlicher Mehrwertsteuer vom beurkundeten Kaufpreis. Die in diesem Angebot genannten Daten stammen vom Eigentümer/Verkäufer, insofern können wir für die Richtigkeit der Angaben keine Haftung und/oder Gewährleistung übernehmen. Irrtum und Zwischenverkauf vorbehalten.'];4;showqualicontactform;;;;;;
2020-05-11 12:50:00.200711;Berlin;central_heating;ONE_YEAR_FREE;174667;n;y;https://pictures.immobilienscout24.de/listings/c8e1f5a7-a608-475f-a45e-f6f411d50d97-1291444731.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;5;10.62;40 MBit/s;telekom_layer_magenta_l;über VDSL;1908;REGULAR;10.62;111269072;no_information;n;false;MagentaZuhause L;y;Berlin;y;7;1;241;no_information;energy_consumption;5.96;90.82;Berlin;13189;no_information;no_information;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;13189;2;128;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.174667;319000;profile0;4;2;true;n;n;n;Pankow_Pankow;90630;4;Berlin;/expose/111269072;['Dieser charmante Altbau befindet sich in einer viergeschossigen Wohnanlage und wurde 1998 -1999 saniert. Die Zweizimmerwohnung im 3. Obergeschoss ist ca. 90,82 m² groß, hat einen zweckmäßigen Grundriss und ist eine ideale Kapitalanlage mit viel Potential. Klassische Altbaufenster und Türen sowie der originale Dielenboden in allen Wohnräumen unterstreichen den Charme des Berliner Altbaustils. Einen besonderen Ausblick am Morgen ermöglicht Ihnenn die Loggia im Schlafzimmer. Die geräumige Küche ist mit hellen Fliesen ausgestattet und bietet ausreichend Platz für eine moderne Küchenzeile. Das kleine aber feine Badezimmer mit Wannenbad ist ebenfalls mit hellen Fliesen ausgestattet. Ein besonderes Highlight der Wohnung ist die großzügige Sonnenterrasse, welche zu entspannten Sommerabenden einlädt. \r\n\r\nBeheizt wird die Zweizimmerwohnung über eine Zentralheizung.\r\n\r\nDie Wohnung wird als Kapitalanlage verkauft und erzielt derzeit eine monatliche Nettokaltmiete von 640,81 €. Die monatliche Bruttowarmmiete beträgt  Das monatliche Wohngeld beträgt 241,00 €.', '- Altbaufenster und Türen\r\n- Dielenboden\r\n- Loggia\r\n- Sonnenterrasse\r\n- Keller', 'Das Kissingenviertel, benannt nach der gleichnamigen Kissingenstraße, liegt wenige Kilometer nordöstlich der Berliner Mitte im Bezirk Pankow und gehört zu den grünsten Bezirken Berlins. Ausgedehnte Grünflächen wie die Schönholzer Heide, der Brosepark, der Bürgerpark und natürlich der weitläufige Schlosspark am Schloss Niederschönhausen macht das Viertel nicht nur für Familien attraktiv. Die Wohnanlage befindet sich nur 2 Busstation vom S-/U-Bahnhof Pankow entfernt. Sie benötigen ca. 8 Minuten Fahrtweg mit dem 255er zum S+U Bahnhof. Einkaufsmöglichkeiten, Apotheken und Ärzte  befinden sich in unmittelbarer Nähe. Auch das Einkaufscentrum Neumann Forum ist nur wenige Gehminuten entfernt.'];;showqualicontactform;D;300;;;;
2020-05-11 12:50:00.520548;Berlin;self_contained_central_heating;ONE_YEAR_FREE;15333187;n;y;https://pictures.immobilienscout24.de/listings/2a371902-a4a8-41d7-bfab-827da4190627-1291973156.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;6;12.24;40 MBit/s;telekom_layer_magenta_l;über VDSL;1905;REGULAR;12.24;111304644;gas;n;false;MagentaZuhause L;y;Berlin;n;9;1;453;8;energy_required;6.53;170.45;Berlin;10781;no_information;no_information;false;100 MBit/s;no_information;Habsburgerstr.;y;https://padlock.link/ioml;https://padlock.link/ml;Habsburgerstr.;apartment;10781;5;134.2;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.15281088;679000;profile0;5;5;true;n;n;n;Schöneberg_Schöneberg;5717;7;Berlin;/expose/111304644;['Das Haus, ein 6 geschossiges Eckgebäude, wurde ca. 1905 erbaut.\nDas Gebäude verfügt über 28 Wohn- und Gewerbeeinheiten. Die Beheizung erfolgt über eine Gasetagenheizung. \n\n', 'Leider liegen uns auf Grund des vermieteten Zustands keine genauen Informationen zu Ausstattungsdetails vor, wir organisieren für sie aber gern einen Besichtigungstermin.\n', 'Zentral, familiär und im besten Sinn des Wortes großstädtisch. Wohnungen in Schöneberg, in unmittelbarer Nähe des Winterfeldtplatzes sind begehrt, weil hier auf kleinem Raum all das zusammen kommt, was Berlin so beliebt macht. Weitläufige Parkanlagen, ein vielfältiges kulturelles und bezahlbares gastronomisches Angebot und Menschen, die das Motto „Leben und leben lassen“ beherzigen und entsprechend friedlich zusammen leben. Hier finden Sie direkt vor der Haustür alles, was urbanes Leben ausmacht und dazu gehört auch der Winterfeldtmarkt, der Mittwoch und Samstag kulinarische sowie handwerkliche Angebote für Sie bereithält. \n\n', 'Für weitere Informationen oder Terminvereinbarungen steht Ihnen das Team der MAKSIM gerne telefonisch oder per E-Mail zur Verfügung.\n\nEine Gewähr für die Richtigkeit kann durch die Firma Maksim Immobiliengesellschaft mbH nicht übernommen werden.'];;;;;;;;
2020-05-11 12:50:00.898711;Berlin;central_heating;ONE_YEAR_FREE;277060;n;y;https://pictures.immobilienscout24.de/listings/1f7ca4bd-808e-4343-baef-d0b552ea80ec-1291754905.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;13;11.3;40 MBit/s;telekom_layer_magenta_l;über VDSL;1959;REGULAR;11.3;111292985;district_heating;n;false;MagentaZuhause L;y;Berlin;y;6;2;229.9;1;;5.73;67.9;Berlin;10585;no_information;no_information;false;100 MBit/s;outside;"Loschmidtstra&szlig;e";y;https://padlock.link/ioml;https://padlock.link/ml;Loschmidtstraße;raised_ground_floor;10585;2.5;;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;0;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.277060;278390;profile0;5;2;true;n;n;n;Charlottenburg_Charlottenburg;111292985;3;Berlin;/expose/111292985;['Herd/Spüle/Wannenbad\nBalkon/Keller\n\nEs handelt sich um eine 2,5 Zimmer Wohnung im Hochpaterre.\n\nDie Bilder zeigen den Istzustand der WE.\nDie Wohnung wird gemäß Leistungsbeschreibung neu saniert. Diese legen wir Ihnen bei einem Besichtigungstermin gerne vor. Ankauf unsaniert           EUR 255.983', 'Loschmidtstraße/Otto-Suhr-Allee dicht U-Bhf Richard-Wagner-Platz'];58.9;showqualicontactform;;;;;;
2020-05-11 12:50:01.212421;Berlin;district_heating;ONE_YEAR_FREE;15333187;n;y;https://pictures.immobilienscout24.de/listings/accd3e77-ea53-4d18-88b5-99d491666afe-1291973104.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;18;11.3;40 MBit/s;telekom_layer_magenta_l;über VDSL;1900;REGULAR;11.3;111307827;district_heating;n;false;MagentaZuhause L;y;Berlin;n;10;1;500.56;24;energy_consumption;5.73;167.2;Berlin;14057;no_information;no_information;false;100 MBit/s;no_information;"Wundtstra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Wundtstraße;apartment;14057;5;137;n;2,active;true;Deutschland;premium;100 MBit/s;wohnung_kauf;y;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.15281088;779000;profile0;;5;true;n;n;n;Charlottenburg_Charlottenburg;5722;7;Berlin;/expose/111307827;['Das Anno 1900 errichtete Haus, bestehend aus Vorderhaus und einem Seitenflügel, beherbergt 17 Wohneinheiten. \nDie Wohnung befindet sich im 2. Obergeschoss und ist seit 2009 vermietet.', 'Leider liegen uns auf Grund des vermieteten Zustands keine genauen Informationen zu Ausstattungsdetails vor, wir organisieren für sie aber gern einen Besichtigungstermin.', 'Im Gegensatz zur touristisch überlaufenen „Mitte“ Berlins finden Sie in diesem Bezirk noch viel von dem, was in dieser boomenden Metropole immer seltener wird. Ruhige Wohnlagen mit viel Grün, das im besten Fall auch noch von einem kleinen, glitzernden Stadtsee gesäumt wird. Wohnszenarien, die das Auge erfreuen und den Geist erfrischen. Willkommen in der Großstadt-Idylle.\n', 'Für weitere Informationen oder Terminvereinbarungen steht Ihnen das Team der MAKSIM gerne telefonisch oder per E-Mail zur Verfügung.\nEine Gewähr für die Richtigkeit kann durch die Firma Maksim Immobiliengesellschaft mbH nicht übernommen werden.'];;;;;true;;;
2020-05-11 12:50:01.533946;Berlin;;;16273579;n;n;https://pictures.immobilienscout24.de/listings/7b42174d-7137-4594-91c5-2247ab4d3427-1291443263.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;16;11.73;;;;1926;;11.73;111268849;district_heating;n;false;;y;Berlin;n;7;1;306.65;no_information;;5.75;80.51;Berlin;12157;no_information;no_information;false;;no_information;no_information;n;;;no_information;apartment;12157;3;;n;2,active;;Deutschland;standard;;wohnung_kauf;y;;;;001.15952887;379000;profile0;;3;true;n;n;n;Steglitz_Steglitz;358-08;3;Berlin;/expose/111268849;['Die 3-Zimmer-Wohnung mit Loggia befindet sich in einem vollständig erhaltenen, stilechten Gebäude-Ensemble aus den 1920er Jahren. Das gesamte Umfeld ist weit überwiegend von schönen Altbauten geprägt. Der nur rund 50 m entfernte Lauenburger Platz lädt mit seinen Grünflächen zum Verweilen und Entspannen ein. In der nur 100 m entfernten Bismarckstraße befinden sich Einrichtungen des täglichen Bedarfs, so z. B. ein moderner REWE-Supermarkt, ein netto-Discounter, ein Bäcker sowie Restaurants und Cafés. \n\nDie Wohnung ist zweckmäßig geschnitten, jedes der drei Zimmer ist direkt über den Flur erschlossen und es gibt keine gefangenen Räume. Bad, Küche und auch der von der Küche abgeteilte Abstellraum verfügen jeweils über ein Fenster und sind so natürlich belichtet und belüftet.', 'Mit dem Mieter ist eine Nettokaltmiete von € 8,06 pro m², entsprechend einer monatlichen Miete von € 649,00, vereinbart. Die monatlichen Vorauszahlungen für die Betriebskosten sind € 200,00, das Wohngeld beträgt € 306,65. \n\nBitte beachten Sie, dass es sich um eine vermietete Wohnung handelt. Daher veröffentlichen wir hier keine Bilder vom Inneren der Wohnung. Eine Besichtigung ist nach Abstimmung mit dem Mieter möglich.\n\nAlle Angaben beruhen auf den Auskünften des Eigentümers, wir übernehmen dafür keine Gewähr. Zwischenverkauf / Änderung / Irrtum vorbehalten.'];;;;;;;;
2020-05-11 12:50:01.963547;Berlin;stove_heating;ONE_YEAR_FREE;15333187;n;y;https://pictures.immobilienscout24.de/listings/31231837-0252-4e3d-b75e-ca40f03314e2-1291973181.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;6;12.24;40 MBit/s;telekom_layer_magenta_l;über VDSL;1905;REGULAR;12.24;111304662;gas;n;false;MagentaZuhause L;y;Berlin;n;8;1;343.46;4;energy_required;6.53;125.91;Berlin;10781;no_information;no_information;false;100 MBit/s;no_information;Hohenstaufenstr.;n;https://padlock.link/ioml;https://padlock.link/ml;Hohenstaufenstr.;apartment;10781;4;134.2;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.15281088;419000;profile0;5;4;true;n;n;n;Schöneberg_Schöneberg;5712;6;Berlin;/expose/111304662;['Das Haus, ein 6 geschossiges Eckgebäude, wurde ca. 1905 erbaut.\nDas Gebäude verfügt über 28 Wohn- und Gewerbeeinheiten. Die Beheizung der WE 03 erfolgt per Ofenheizung. Die anderen Wohnungen in diesem Objekt verfügen über eine Gasetagenheizung. Ein Gasanschluss für eine Nachrüstung einer Gasetagenheizung in der Wohnung ist vorhanden.\n\n', 'Leider liegen uns auf Grund des vermieteten Zustands keine genauen Informationen zu Ausstattungsdetails vor, wir organisieren für sie aber gern einen Besichtigungstermin.\n\n\n', 'Zentral, familiär und im besten Sinn des Wortes großstädtisch. Wohnungen in Schöneberg, in unmittelbarer Nähe des Winterfeldtplatzes sind begehrt, weil hier auf kleinem Raum all das zusammen kommt, was Berlin so beliebt macht. Weitläufige Parkanlagen, ein vielfältiges kulturelles und bezahlbares gastronomisches Angebot und Menschen, die das Motto „Leben und leben lassen“ beherzigen und entsprechend friedlich zusammen leben. Hier finden Sie direkt vor der Haustür alles, was urbanes Leben ausmacht und dazu gehört auch der Winterfeldtmarkt, der Mittwoch und Samstag kulinarische sowie handwerkliche Angebote für Sie bereithält. \n\n', 'Für weitere Informationen oder Terminvereinbarungen steht Ihnen das Team der MAKSIM gerne telefonisch oder per E-Mail zur Verfügung.\n\nEine Gewähr für die Richtigkeit kann durch die Firma Maksim Immobiliengesellschaft mbH nicht übernommen werden.'];;;;;;;;
2020-05-11 12:50:02.293462;Berlin;central_heating;ONE_YEAR_FREE;15437494;n;n;https://pictures.immobilienscout24.de/listings/34c0e2cb-dbf2-4c67-abd0-952ac8bc1bcb-1341739886.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;14;10.77;10 MBit/s;telekom_layer_magenta_m;über VDSL;1971;REGULAR;10.77;111314787;district_heating;y;true;MagentaZuhause M;n;Berlin;n;4;3;133;75;energy_consumption;5.67;29.37;Berlin;10179;well_kept;no_information;false;50 MBit/s;no_information;"Holzmarktstra&szlig;e";y;https://padlock.link/iomm;https://padlock.link/mm;Holzmarktstraße;apartment;10179;1;91;n;2,active;true;Deutschland;schaufenster;50 MBit/s;wohnung_kauf;n;8;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01000793336;199500;profile0;;1;true;n;n;n;Mitte_Mitte;5190;1;Berlin;/expose/111314787;"['Zentraler kann man kaum wohnen bzw. investieren: In beeindruckender Lage - in unmittelbarer Nachbarschaft zum Alexanderplatz im Zentrum Berlins - befinden sich die weithin sichtbaren, drei 18-geschossigen Wohnhäuser. Die provisionsfreien Appartements bieten in den höheren Geschosslagen einen atemberaubenden Blick auf die einzelnen Sehenswürdigkeiten des Stadtzentrums.\r\n\r\nDie Häuser sind 1971 erbaut und 1997 von Grund auf saniert worden und befinden sich in einem sehr gepflegten Zustand. Die Wohnungen - teilweise mit Balkon ausgestattet - bieten mit effizienten Grundrissen maximale Großzügigkeit und Flexibilität.\r\n\r\nPerfekte Einkaufsbedingungen:\r\n""Alexa"" - Einkaufsmeile mit höchster Kundenfrequenz in Berlin (mehr als 180 Geschäfte), Friedrichstraße und Gendarmenmarkt: fußläufig 15 Min.', 'Objektdetails:\r\n-    2 Fahrstühle\r\n-    Hausmeister- und Wachdienst-Service \r\n-    Schallschutzfenster \r\n-    Heizung und Warmwasser über kostengünstige Fernwärme \r\n\r\nSanierungsmaßnahmen:\r\n-    1991: Sanierung der kompletten Heizungsanlage\r\n-    1992: Strangsanierung\r\n-    1997: komplette Hüllensanierung inkl. Sanierung der Allgemeinflächen\r\n-    2004: Erneuerung der kompletten Lüftungsanlage \r\n\r\nIdeale Anbindung an das öffentliche Nah- und Fernverkehrsnetz: \r\n-    U- und S-Bhf. Jannowitzbrücke (U8, S5, S 75 und S9 (Flughafenlinie)): vor der Haustür\r\n-    Dampferanlegestelle: Haltepunkt verschiedener privater Fährlinien\r\n-    Bahnhof Alexanderplatz (U2, U5, U8, S5, S7, S75, S9 und Regionalzüge der Bahn): 5 Min. fußläufig\r\n-    Haltestellen der Berliner Straßenbahnlinien: M2, M4, M5, M6', 'Die Holzmarktstraße liegt im Herzen Berlins im Ortsteil ""Mitte"" südöstlich des Alexanderplatzes an der Jannowitzbrücke und unmittelbar an der Spree, deren Uferwege zum Spazieren und Joggen einladen. Der Alexanderplatz - das neue Herz Berlins - ist in wenigen Fußminuten erreichbar. Der nahegelegene Fernsehturm ist das höchste begehbare Bauwerk Westeuropas. Auch das Rote Rathaus befindet sich nur einige hundert Meter weiter südlich. Sämtliche Sehenswürdigkeiten und zahlreiche kulturelle Attraktionen von internationalem Rang sind zu Fuß zu erreichen (Opernhäuser, Theater, Bibliotheken, Friedrichstadtpalast, Schauspielhaus, Museumsinsel etc.).']";;;;30;true;disabled;;
