timestamp;obj_regio1;obj_heatingType;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_yearConstructed;obj_telekomInternetType;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_rentSubsidy;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;obj_energyEfficiencyClass;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_floor;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_numberOfFloors;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;evt_count_pm_sig;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_usableArea;obj_noParkSpaces;ga_cd_via_qualified;obj_galleryAd;obj_lastRefurbish;obj_groupnumber;obj_telekomHybridUploadSpeed;obj_telekomHybridDownloadSpeed
2020-05-11 12:50:40.942029;Berlin;oil_heating;ONE_YEAR_FREE;17532864;n;y;https://pictures.immobilienscout24.de/listings/97d85afd-d27a-46ed-bed9-573ced9addb4-1322868128.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;7;11.49;40 MBit/s;telekom_layer_magenta_l;über VDSL;1890;REGULAR;11.49;109917387;oil;n;false;MagentaZuhause L;y;Berlin;n;6;1;320.08;10;energy_consumption;6.07;67.34;Berlin;12165;no_information;no_information;D;false;100 MBit/s;no_information;"Wrangelstra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Wrangelstraße;roof_storey;12165;2;108;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;4;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.d53f6f16-60ab-4c52-9aaa-3b9f9fcb1cfc;279000;profile0;4;2;true;n;showqualicontactform;n;n;Steglitz_Steglitz;109917387;3;Berlin;/expose/109917387;['Die hier angebotene 67m² große 2-Zimmer-Dachgeschosswohnung entstand in den 90er Jahren durch den nachträglichen Ausbau des Dachbodens des 1890 errichteten Hauses. Die zwischen beiden Zimmern und in Richtung Südwesten gelegene Terrasse von lädt zum absolut sichtgeschützten Entspannen ein. Eine Treppe führt von hier zu einem Podest mit Ausblick über die raumhohe Außenwand der Terrasse.', 'Wir bitten um Ihr Verständnis, dass wir aus Diskretionsgründen und aus Rücksicht auf die Privatsphäre der Mieter keine Innenaufnahmen veröffentlichen. Näheres zur Ausstattung der angebotenen Eigentumswohnung erhalten Sie selbstverständlich auf Anfrage. Vereinbaren Sie am Besten gleich einen persönlichen Besichtigungstermin. Wir freuen uns darauf, Sie kennenzulernen.\r\n', 'Das Mehrfamilienhaus ist ein wunderschöner Altbau und liegt unweit der bekannten und sehr beliebten Einkaufsmeile - die Schlossstraße. Zahlreiche Cafés laden zum Verweilen ein und geben der Bummelmeile einen gemütlichen Flair. Die Umgebung ist sehr grün ausgeprägt wie mit dem Schlosspark, dem Botanischen Garten oder dem Stadtpark Steglitz. Mit S- und U-Bahn kommt man schnell in die City. Viele Buslinien ergänzen das Angebot an den öffentlichen Nahverkehr. ', 'Objektdaten:\r\n\r\n- Vermiete Eigentumswohnung\r\n- Dachgeschoss \r\n- 2 Zimmer, Terrasse, 67,34 m²\r\n- Nettokaltmiete: 333,32 EUR\r\n- Wohngeld: 302,13 EUR\r\n\r\nAlle Daten basieren auf Angaben des Eigentümers. Aufnahmen des Objekts folgen in Kürze. '];;;;;;;;
2020-05-11 12:50:41.326962;Berlin;combined_heat_and_power_plant;ONE_YEAR_FREE;18232799;n;y;https://pictures.immobilienscout24.de/listings/4dc18dda-6455-4d9c-b419-b4e2ecf7b1a5-1272654096.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;14;10.66;40 MBit/s;telekom_layer_magenta_l;über VDSL;2016;REGULAR;10.66;109874872;combined_heat_and_power_fossil_fuels;n;false;MagentaZuhause L;n;Berlin;y;11;9;643;41;energy_required;5.92;139.5;Berlin;10117;first_time_use;sophisticated;;false;100 MBit/s;underground_garage;"Sch&uuml;tzenstra&szlig;e";y;https://padlock.link/ioml;https://padlock.link/ml;Schützenstraße;penthouse;10117;3;66;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;7;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.c383e9fd-824f-4f1a-a4e9-fe48647d9e4f;1150000;profile0;7;3;true;n;showqualicontactform;n;n;Mitte_Mitte;WE 3-7-2;6;Berlin;/expose/109874872;['Die in dem 2016 fertiggestellten Objekt Guardian Penthouse Wohnung besticht nicht nur durch ihre zentrale Lage direkt am neu entstehenden Axel Springer Medien Campus, sondern auch durch eine der Lage entsprechende Ausstattung der Wohnung und des Objektes. Die Wohnung ist sowohl von Seiten der Krausenstraße als auch von Seiten der Schützenstraße zu erreichen. In der Schützenstraße werden Sie und Ihre Besucher durch den Concierge empfangen. Weiterhin verfügt das Guardian über einen Fitnessraum und eine Gemeinschaftsdachterrasse, welche allen Bewohnern des Guardian zur Verfügung stehen.', 'Die im 7. Obergeschoss gelegene Penthouse Wohnung verfügt über eine besondere und sehr gehobene Ausstattung, welche sich auch in den Allgemeinbereichen des Gebäudes wiederspiegelt.\n\nDie wichtigsten Ausstattungsmerkmale im Überblick:\nGemeinschaftsbereiche:\n- Conciergeservice\n- Fitnessraum\n- Gemeinschaftsdachterrasse\n- Tiefgarage\nDie Wohnung:\n- großzügige Terrasse \n- Zwei Schlafzimmer mit jeweils eigenem Badezimmer\n- großzügiger Wohn-Essbereich\n- große Fensterflächen mit Schiebelementen\n- Dornbracht-Armaturen\n\nHinweis: Die Wohnung wird unmöbliert verkauft. Der TG-Stellplatz ist optional und nicht im Kaufpreis der Wohnung enthalten.', 'Die Wohnung liegt inmitten des pulsierenden Zentrums der Metropole Berlin. Der Potsdamer Platz, die Friedrichstraße, der Leipziger Platz, der Checkpoint Charlie und auch der Moritzplatz liegen in fußläufiger Entfernung. Der neu entstehende Axel Springer Medien Campus liegt direkt vor der Haustür in der Schützenstraße und wird den Metropolencharakter auch zukünftig weiter mitgestalten.'];22;1;;;;;;
2020-05-11 12:50:41.728470;Berlin;central_heating;ONE_YEAR_FREE;37030;n;y;https://pictures.immobilienscout24.de/listings/23bb97f9-cbea-4b56-8f89-469cc672926d-1363330279.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;12;11.35;10 MBit/s;telekom_layer_magenta_m;über VDSL;1928;REGULAR;11.35;109915054;no_information;n;true;MagentaZuhause M;y;Berlin;y;8;1;;65;energy_required;7.53;67.99;Berlin;10243;modernized;normal;;false;50 MBit/s;no_information;"Warschauer Stra&szlig;e";y;https://padlock.link/iomm;https://padlock.link/mm;Warschauer_Straße;apartment;10243;2;86;n;2,active;true;Deutschland;schaufenster;50 MBit/s;wohnung_kauf;n;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.37030;475000;profile0;5;2;true;n;showqualicontactform;n;n;Friedrichshain_Friedrichshain;32422;3;Berlin;/expose/109915054;['Manchmal werden Träume wahr. Zum Beispiel wenn Sie von einer geräumigen, hellen und liebevoll kernsanierten 2-Zimmer-Altbauwohnung träumen. Die Wohnung bietet zwei Zimmer mit herrlicher Westausrichtung, sodass Sie nicht nur den weiten Blick über die Warschauer Straße genießen können, sondern von einem ihrer zwei Balkone auch die schönsten Sonnenuntergänge, die Berlin zu bieten hat. Voilá!   \r\n\r\nDas imposante Eckgebäude mit den Hausnummern Warschauer Straße 65 / Kopernikusstraße 30 ist ein Berliner Klassiker. Es wurde erbaut um 1928/29 mit einem prachtvoll ausgestatteten Eingangsbereich: Stuck, aufwendiger Mosaikboden, kunstvoll gedrechselte Treppengeländer und massive, verzierte Holz-Wohnungstüren. Ein Klassiker eben. Als solcher gehört dieses liebevoll sanierte Objekt zu den wenigen noch verfügbaren Altbauten rund um die Warschauer Straße. Perfekt für alle, die das Authentische lieben.\r\n\r\nSie interessieren sich für diese Immobilie, haben Fragen zur Finanzierung oder wünschen einen Besichtigungstermin? Das ZIEGERT-Team steht Ihnen immer gern zur Verfügung!', '+ bezugsfertig und kernsaniert\r\n\r\n+ zwei Balkone\r\n\r\n+ Holzdielen \r\n\r\n+ 3-fach Isolierglasfenster \r\n\r\n+ Verkauf im sanierten Zustand \r\n\r\n+ neuer Aufzug \r\n\r\n+ Treppenhausrenovierung\r\n\r\n+ eigener Kellerraum\r\n\r\n+ Neugestaltung des Innenhofs\r\n\r\n+ ausgezeichnete Infrastruktur\r\n\r\n+ begehrte Lage', 'Friedrichshain – die einen lieben es, die anderen hassen es. Hier pulsiert das bunte Treiben, hier gehört das Miteinander und freundliche Nebeneinander der unterschiedlichsten Menschen zum Alltag. Genauso vielfältig wie das menschliche Friedrichshainer Inventar sind die Läden, Bars, Kneipen, Clubs und Cafés – und die meisten liegen direkt um die Ecke von der Warschauer Straße 65 / Kopernikusstraße 30. Ebenso wie die gesamte urbane Infrastruktur von Arzt bis Yogastudio. \r\n\r\nDie Warschauer Straße und ihre vielen Nebenstraßen gehören zu den Inbegriffen des Friedrichshainer Lebens. Weitere Inbegriffe sind keinen Steinwurf von der Warschauer Straße 65 / Kopernikusstraße 30 entfernt: die Simon-Dach-Straße ca. 300 Meter (= etwa 4 Gehminuten) und ein paar hundert Meter weiter der Boxhagener Platz. Fast direkt vor dem Haus hält zudem die Tram und einige Schritte weiter liegt der BVG-Verkehrsknotenpunkt Warschauer Straße mit der U-Bahn U 1 und diversen S-Bahnlinien.', '+++++++++++++++++++++++++++++++++++++++++++++\r\n\r\nBei Ziegert steht der Mensch im Mittelpunkt. Wir nehmen unsere gesellschaftliche Verantwortung selbstverständlich auch in dieser herausfordernden Zeit sehr ernst. Die Gesundheit unserer Kunden, Mitarbeiter und Partner hat für uns oberste Priorität. Aufgrund der aktuellen Situation werden daher unsere Showrooms vorübergehend geschlossen. Dennoch sind unsere ImmobilienberaterInnen weiterhin bestmöglich für Sie da. Wir freuen uns auf den Kontakt mit Ihnen per E-Mail, Telefon oder Videochat.\r\n\r\n++++++++++++++++++++++++++++++++++++++++++++\r\n\r\nEinige Wohnungsinnenaufnahmen sind unverbindliche Visualisierungen oder aus Beispielwohnungen und stammen nicht aus der hier angebotenen Wohnung - die ganze Wohnung zeigen wir Ihnen gerne persönlich vor Ort.\r\n\r\n++++++++++++++++++++++++++++++++++++++++++++\r\n\r\nSie wollen sich Vergrößern oder Verändern? Zögern Sie nicht und fragen Sie unsere Experten, welchen Wert Ihre Immobilie aktuell hat.\r\n\r\n+++++++++++++++++++++++++++++++++++++++++++++\r\n\r\nDas ZIEGERT-Finanzierungsteam hilft Ihnen dabei, Ihre Träume zu leben. Wir zeigen Ihnen gern, wie man zum Beispiel den eigenen Mietzins in Eigentum verwandeln kann. Entdecken Sie Ihre Möglichkeiten und kontaktieren Sie uns unter +49 (0) 30 880 353 - 39 oder auf www.kaufen-statt-mieten.berlin.\r\n\r\n+++++++++++++++++++++++++++++++++++++++++++++'];;;true;disabled;2017;532;;
2020-05-11 12:50:42.084290;Berlin;central_heating;ONE_YEAR_FREE;17137588;n;n;https://pictures.immobilienscout24.de/listings/cc0c8f8b-10bb-4956-bb38-a0e549252102-1365061737.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;16;11.12;40 MBit/s;telekom_layer_magenta_l;über VDSL;1968;REGULAR;11.12;109939110;natural_gas_heavy;y;false;MagentaZuhause L;n;Berlin;y;6;2;280;50;energy_consumption;6.13;60;Berlin;10627;fully_renovated;no_information;D;false;100 MBit/s;no_information;Schillerstrasse;n;https://padlock.link/ioml;https://padlock.link/ml;Schillerstrasse;ground_floor;10627;2;171;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.5bd8170f-b3b2-43e2-b82c-e7cb60226e47;265000;profile0;;2;true;n;;n;n;Charlottenburg_Charlottenburg;109939110;2;Berlin;/expose/109939110;['Das moderne Haus der 70er Jahre ist gut gepflegt und zentral gelegen im Bezirk Charlottenburg.', 'Die hier angebotene Wohnung verfügt über zwei separate Zimmer, ein großes Bad, Flur und separate Küche.  \nDie Wohnung ist mit einer Einbauküche ausgestattet, ist bereits möbliert und ein Kellerraum gehört ebenso dazu. Es ist keine Renovierung notwendig, die Wohnung ist daher bezugsfertig. \nDie Wohnung zeichnet sich durch ihre optimale Aufteilung der Räume und eine hohe Vermietbarkeit aus.', 'Die Bismarckstrasse, die Deutsche Oper, die Kantstrasse sowie Wilmersdorferstrasse sind alle zu Fuß erreichbar.', 'Innebeischtigung sind erst nach Absprache möglich.\nDie Wohnung kann nach Vereinbarung bezugsfrei verkauft werden.'];;;;;2016;;;
2020-05-11 12:50:42.411818;Berlin;central_heating;ONE_YEAR_FREE;145924;n;y;https://pictures.immobilienscout24.de/listings/ede3918e-9241-48c1-b333-8ea032d983ec-1307573800.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;6;11.24;40 MBit/s;telekom_layer_magenta_l;über VDSL;1962;REGULAR;11.24;109982759;oil;n;false;MagentaZuhause L;y;Berlin;y;4;2;200;no_information;;6.2;35;Berlin;10715;modernized;no_information;;false;100 MBit/s;no_information;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10715;1;;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.145924;165000;profile0;7;1;true;n;showqualicontactform;n;n;Wilmersdorf_Wilmersdorf;10003;1;Berlin;/expose/109982759;['Dieses Appartement im dritten Obergeschoss eines gepflegten Mehrfamilienhauses aus den 1960er Jahren erreichen Sie bequem mit dem Aufzug. Von einem kleinen Flur mit Pantryküche gehen sowohl eines der Duschbäder als auch das Wohnzimmer ab. Vom Wohnzimmer aus gelangt man auf den Balkon mit ganztägiger Sonne. Ebenfalls vom Wohnzimmer aus gelangt man in einen kleinen, klimatisierten Schlafraum mit einem Mikro-Bad en Suite. Zu dem Appartement gehören ein eigenes Kellerabteil sowie ein gemeinschaftlicher Wäsche-, Trocken-, und Fahrradkeller.\n\nEin Energieausweis wird zeitnah angefertigt, liegt momentan jedoch nicht vor.', '- Balkon\n- Personenaufzug\n- 2 Mikro-Duschbäder mit Toilette\n- Pantryküche\n- Klimaanlage\n- Laminat\n- Separater Fahrradkeller', 'Unweit vom Bundesplatz bietet die Detmolder Straße und ihre Umgebung Cafés, Restaurants aber auch Unterhaltung und Einkaufsmöglichkeiten. Die Straße ist von Bäumen gesäumt und in wenigen Minuten erreicht man mit dem Auto die Stadtautobahn oder zu Fuß die S- und U-Bahn. Zum Entspannen kann man sich in den nahegelegenen Volkspark Wilmersdorf zurückziehen.', 'Bei Abschluss des Kaufvertrages beträgt die vom Erwerber zu zahlende Maklerprovision 7,14% inkl. gesetzlicher Mehrwertsteuer vom beurkundeten Kaufpreis. Die in diesem Angebot genannten Daten stammen vom Eigentümer/Verkäufer, insofern können wir für die Richtigkeit der Angaben keine Haftung und/oder Gewährleistung übernehmen. Irrtum und Zwischenverkauf vorbehalten.'];;;;;;;;
2020-05-11 12:50:42.765864;Berlin;self_contained_central_heating;ONE_YEAR_FREE;17532864;n;n;https://pictures.immobilienscout24.de/listings/109fe5e3-d2a0-41fc-9181-e76b201fd6d8-1345951707.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;5;11.35;2,4 MBit/s;telekom_layer_magenta_m_hybrid2;über Hybrid;;WITH_HYBRID;11.35;109917097;gas;n;false;MagentaZuhause M Hybrid (2);y;Berlin;n;8;;317.75;14;;7.53;128.82;Berlin;10245;no_information;no_information;;false;16 MBit/s;no_information;"Danneckerstra&szlig;e";n;https://padlock.link/mmh2sa;https://padlock.link/mmhy2;Danneckerstraße;roof_storey;10245;4;;n;2,active;true;Deutschland;top;50 MBit/s;wohnung_kauf;y;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd;true;009.d53f6f16-60ab-4c52-9aaa-3b9f9fcb1cfc;499000;profile0;;4;true;n;showqualicontactform;n;n;Friedrichshain_Friedrichshain;17;6;Berlin;/expose/109917097;['Dieses schöne Altbau-Gebäude befindet sich im Stadtteil Friedrichshain und wurde ca. im Jahr 1900 erbaut. Im dritten Obergeschoss (links) befindet sich die angebotene Wohneinheit, welche sich auf vier Zimmern über insgesamt ca. 128m² erstreckt. \r\n\r\n', 'Bei dieser Wohnung handelt es sich um einen gepflegten Stuckaltbau mit Wannenbad und energieschonenden Iso Fenstern. \r\n\r\nWir bitten um Ihr Verständnis, dass wir aus Diskretionsgründen und aus Rücksicht auf die Privatsphäre der Mieter keine Innenaufnahmen veröffentlichen. Näheres zur Ausstattung der angebotenen Gewerbeeinheit erhalten Sie selbstverständlich auf Anfrage. Vereinbaren Sie am Besten gleich einen persönlichen Besichtigungstermin. Wir freuen uns darauf Sie kennenzulernen. ', 'Diese vermietete Eigentumswohnung liegt stadtzentral und in unmittelbarer Nähe zur Spree in einer ruhigen Seitenstraße im Stadtteil Friedrichshain. Unweit der Immobilie befindet sich die Warschauer Straße, die Eastside Gallery sowie der Treptower Park. \r\nEin abwechslungsreiches Angebot an Restaurants, Bars und freundlichen Cafés findet man im fußläufig erreichbaren Szeneviertel rund um den Boxhagener Platz und im Simon-Dach-Kiez. Auch das angrenzende Kreuzberg bieten viele attraktive Ausgehmöglichkeiten.', 'Objektdaten:\r\n\r\n- Vermiete Eigentumswohnung\r\n- 3. OG links\r\n- 4 Zimmer, 128 m²\r\n- Nettokaltmiete: 842,41 EUR\r\n- Betriebskosten:  142,00 EUR\r\n- Bruttokaltmiete: 1.394,44 EUR\r\n- Wohngeld: 317,75 EUR\r\n\r\nAlle Daten basieren auf Angaben des Eigentümers. Aufnahmen des Objekts folgen in Kürze. '];;;;;;;10 MBit/s;50 MBit/s
2020-05-11 12:50:43.237517;Berlin;district_heating;ONE_YEAR_FREE;97549;n;y;https://pictures.immobilienscout24.de/listings/1f266905-1dcf-458d-8ba1-7a9e610d458a-1272686397.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;11.12;40 MBit/s;telekom_layer_magenta_l;über VDSL;1900;REGULAR;11.12;109877476;district_heating;n;false;MagentaZuhause L;y;Berlin;y;8;1;;24;energy_consumption;6.13;116.15;Berlin;14059;no_information;no_information;E;false;100 MBit/s;no_information;"Wundtstra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Wundtstraße;apartment;14059;4;137;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;4;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.97549;489000;profile0;;4;true;n;showqualicontactform;n;n;Charlottenburg_Charlottenburg;Wundt24-12;5;Berlin;/expose/109877476;['Das Haus steht auf einem 641 m² großen Grundstück.\n\n- stilechtes, altes Treppenhaus, gepflegt\n- großer Innenhof\n- Anbau größerer Balkone möglich, wenn Baugenehmigung vorliegt\n- Anbau eines Aufzugs möglich, wenn Baugenehmigung vorliegt', '- große Loggia\n- Bad mit Fenster\n- Vorderhaus\n- 4. Obergeschoss', 'Der Altbau liegt in einer Nebenstraße vom Kaiserdamm, in der Nähe vom Sophie-Charlotte-Platz  sowie dem Lietzensee in zentraler Lage in Berlin-Charlottenburg.\n\nIm Umfeld gibt es zahlreiche Geschäfte, die „Antik-Meile“ in der Suarezstraße, Restaurants und Cafés sowie die Einkaufsmeile Wilmersdorfer Straße mit Kaufhäusern und Ständen.', 'Die monatliche Nettokaltmiete beträgt 667,86 €.'];;;;;;0;;
2020-05-11 12:50:43.583899;Berlin;central_heating;ONE_YEAR_FREE;97549;n;y;https://pictures.immobilienscout24.de/listings/8b708b62-b933-432a-8a68-75e4b123872c-1272315822.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;13;11.49;40 MBit/s;telekom_layer_magenta_l;über VDSL;1890;REGULAR;11.49;109853815;oil;n;false;MagentaZuhause L;y;Berlin;n;9;1;;10;energy_consumption;6.07;134.8;Berlin;12165;no_information;no_information;D;false;100 MBit/s;no_information;"Wrangelstra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Wrangelstraße;roof_storey;12165;3;108;n;2,active;true;Deutschland;premium;100 MBit/s;wohnung_kauf;n;4;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.97549;639000;profile0;4;3;true;n;showqualicontactform;n;n;Steglitz_Steglitz;Wrangel10_12;6;Berlin;/expose/109853815;"['Das Treppenhaus und die Seitenfassaden wurden 2018 renoviert.', '- Terrasse\n- Bad mit Wanne, Dusche und Fenster\n- Dachgeschoss', 'Der klassische Altbau steht unter Denkmalschutz und liegt Nahe der Schloßstraße und dem Fichtenberg in Berlin-Steglitz.\n\nUm die Ecke liegen das Einkaufszentraum ""Das Schloss“, das Schlosspark-Theater und der Botanische Garten.\n\nDer U- und S-Bahnhof „Rathaus Steglitz“ ist bequem zu Fuß erreichbar.', 'In der Teilungserklärung ist der Anbau eines Aufzugs sowie einer Aufdachterrasse genehmigt.']";;;true;;;3;;
2020-05-11 12:50:43.965373;Berlin;district_heating;;16273579;n;n;https://pictures.immobilienscout24.de/listings/1223bd5f-dbb2-4c9e-9212-dbb15e2bdc2e-1274604156.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;17;12.7;;;;1900;;12.7;109945336;district_heating;n;false;;y;Berlin;y;2;1;160.34;no_information;energy_consumption;7.58;25.5;Berlin;10559;no_information;no_information;;false;;no_information;no_information;n;;;no_information;no_information;10559;1;69.8;n;2,active;;Deutschland;standard;;wohnung_kauf;y;3;;;001.15952887;99000;profile0;;1;true;n;;n;n;Tiergarten_Tiergarten;106-16;1;Berlin;/expose/109945336;['Bereits die Fassade dieses wunderbaren Gebäudes aus der Jahrhundertwende ist besonders reich verziert und aufwändig ausgestattet. Jedes Fenster ist eingerahmt, in die Fassade sind diverse Engelsfiguren und -Gesichter eingearbeitet, die Balkone sind mit dekorativen Schmiede-eisernen Gittern versehen. Der gute Erhaltungszustand eines Gebäudes aus dieser Epoche ist nur selten anzutreffen!', 'Die Stephanstraße ist eine ruhige Seitenstraße im Moabiter Stephan-Kiez. Das gesamte Umfeld ist von Altbauten gekennzeichnet. Der U-Bahnhof Birkenstraße ist nur rund 150 m entfernt, die nächste S-Bahnstation ist „Westhafen“ an der Beusselstraße. Im Umfeld befinden sich diverse Einkaufsmöglichkeiten, das Einkaufszentrum „MOA“ liegt an der Ecke Stephan- / Birkenstraße rund 100 m entfernt.', 'Mit dem Mieter ist eine Nettokaltmiete von € 5,47 pro m², entsprechend einer monatlichen Miete von € 145,37, vereinbart. Die monatlichen Vorauszahlungen für die Betriebskosten sind € 124,00, das Wohngeld beträgt € 160,34. \n\n\nBitte beachten Sie, dass es sich um eine vermietete Wohnung handelt. Daher veröffentlichen wir hier keine Bilder vom Inneren der Wohnung. Eine Besichtigung ist nach Abstimmung mit dem Mieter jederzeit möglich.\n\nAlle Angaben beruhen auf den Auskünften des Eigentümers, wir übernehmen dafür keine Gewähr. Zwischenverkauf / Änderung / Irrtum vorbehalten.'];;;;;;;;
2020-05-11 12:50:44.315481;Berlin;self_contained_central_heating;ONE_YEAR_FREE;17532864;n;y;https://pictures.immobilienscout24.de/listings/3fe6449e-af30-4da5-afc2-cd8e4063c19b-1345951469.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;4;12.1;40 MBit/s;telekom_layer_magenta_l;über VDSL;1905;REGULAR;12.1;109916970;gas;n;false;MagentaZuhause L;y;Berlin;n;8;1;340;4;energy_required;7.07;128.03;Berlin;10781;no_information;no_information;D;false;100 MBit/s;no_information;Hohenstaufenstr.;n;https://padlock.link/ioml;https://padlock.link/ml;Hohenstaufenstr.;roof_storey;10781;4;126;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.d53f6f16-60ab-4c52-9aaa-3b9f9fcb1cfc;469000;profile0;5;4;true;n;showqualicontactform;n;n;Schöneberg_Schöneberg;07;6;Berlin;/expose/109916970;['Die vermietete 4-Zimmerwohnung befindet sich im dritten obergeschoss des schönen Stuckaltbaus im Stadtteil Schöneberg. Das Gebäude wurde ca. 1905 erbaut. \r\n', 'Wir bitten um Ihr Verständnis, dass wir aus Diskretionsgründen und aus Rücksicht auf die Privatsphäre der Mieter keine Innenaufnahmen veröffentlichen. Näheres zur Ausstattung der angebotenen Gewerbeeinheit erhalten Sie selbstverständlich auf Anfrage. Vereinbaren Sie am Besten gleich einen persönlichen Besichtigungstermin. Wir freuen uns darauf Sie kennenzulernen. ', 'Diese Immobilie befindet sich im Herzen Schönebergs, in einem typischen Berliner Kiez. \r\n\r\nUnzählige Restaurants, Bars, Freizeit- und Einkaufsmöglichkeiten sind von hier aus schnell fußläufig zu erreichen. Die Anbindung an das öffentliche Verkehrsnetz sowie an den städtischen Verkehr sind hervorragend. \r\n'];;;;;;;;
