timestamp;obj_regio1;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_yearConstructed;ga_cd_developer_virtualreality;obj_telekomInternetType;obj_galleryAd;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_rentSubsidy;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_floor;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_heatingType;obj_energyEfficiencyClass;evt_count_pm_sig;obj_lastRefurbish;obj_numberOfFloors;obj_project_id;obj_noParkSpaces;obj_nbp;obj_usableArea;obj_groupnumber
2020-05-24 20:46:34.141496;Berlin;ONE_YEAR_FREE;8874474;n;y;https://pictures.immobilienscout24.de/listings/41a0f795-0d54-4862-bfa4-39db1a0b70c0-1369132317.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;12;11.3;40 MBit/s;telekom_layer_magenta_l;über VDSL;1962;true;REGULAR;disabled;11.3;118348797;no_information;n;false;MagentaZuhause L;y;Berlin;n;6;2;245.92;43;energy_consumption;5.73;58.25;Berlin;10627;well_kept;no_information;false;100 MBit/s;no_information;Fritschestr.;y;https://padlock.link/ioml;https://padlock.link/ml;Fritschestr.;apartment;10627;2;180;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.8874474;289000;profile0;2;true;n;n;n;Charlottenburg_Charlottenburg;IM-FR-43-43a-12;2;Berlin;/expose/118348797;['Das Haus mit einem Personenaufzug wurde im Jahre 1962 erbaut und besteht aus 24 Wohneinheiten. Alle Wohnungen besitzen einen attraktiven Südbalkon. Die gepflegte Immobilie hat zusammen mit dem Nachbarhaus einen schönen großen Innenhof mit Fahrradständern und einen Sandkasten für die jüngsten Anwohner. Die Hausfassaden und Treppenhäuser sind 2017 renoviert worden. \n\nDie ruhige Lage mit seiner direkten Nähe zur Kantstraße ist absolut ideal und hervorragend angebunden.', 'Die angebotene Immobilie ist bezugsfrei und befindet sich im zweiten Obergeschoss. Die 2-Zimmer-Wohnung mit einem attraktiven Südbalkon hat ca. 58 m², ist optimal aufgeteilt und verfügt über ein Wohnzimmer, Schlafzimmer, Küche und Badezimmer. Das Objekt hat einen sehr funktionalen Grundriss und ist ideal für einen Single-Haushalt oder zu zweit. Renovierungsarbeiten sind bei dieser Wohnung einzuplanen.', 'Das Objekt befindet sich im Berliner Stadtteil Charlottenburg - im Herzen der City West und somit in einer der beliebtesten Lagen von Berlin Charlottenburg. In unmittelbarer Umgebung bieten der exklusive Kurfürstendamm sowie die Wilmersdorfer Arcaden verschiedenste Shoppingmöglichkeiten. Die Verkehrsanbindungen in jegliche Richtungen sind hervorragend. Fußläufig ist der S-Bahnhof Charlottenburg, der U-Bahnhof Wilmersdorfer Straße sowie der U-Bahnhof Bismarckstraße und diverse Bushaltestellen zu erreichen.'];;;;;;;;;;
2020-05-24 20:46:34.512536;Berlin;;8874474;n;n;https://pictures.immobilienscout24.de/listings/979e86fe-2c93-4783-9110-bd354306d72c-1369133243.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;27;11.3;;;;1890;true;;disabled;11.3;118348943;district_heating;y;false;;y;Berlin;y;9;1;280.94;36;energy_required;5.73;89.54;Berlin;10625;modernized;no_information;false;;no_information;Pestalozzistr;n;;;Pestalozzistr;no_information;10625;3;79;n;2,active;;Deutschland;standard;;wohnung_kauf;n;;;;001.8874474;566000;profile0;3;true;n;n;n;Charlottenburg_Charlottenburg;BO-PE-36-09;4;Berlin;/expose/118348943;"['Der klassische Berliner Altbau wurde 1890 erbaut und besteht aus 36 Wohneinheiten und 2 Gewerbeeinheiten. Das Haus ist vollunterkellert und erstreckt sich über drei Treppenhäuser. Das komplette Dachgeschoss wurde in den 1980er Jahren ausgebaut. Weitere Modernisierungsmaßnahmen werden in den kommenden Monaten durchgeführt.', 'Diese sehr große und helle 2-Zimmer-Wohnung befindet sich in der vierten Etage des Vorderhauses. Die Immobilie verfügt über zwei sehr große Zimmer (35,86 m² + 28,37 m²), Küche, Badezimmer mit kleiner Kammer und Diele. ** Alternativ kann auch mit einem geringen Aufwand diese Immobilie in eine 3-Zimmer-Wohnung umgewandelt werden. Ein Renovierungsangebot hierzu liegt bereits vor! ** Wunderschöne alte Stuckelemente zieren die hohen Altbau typischen Zimmerdecken sowie die Dielenböden und die original Türen runden das angenehme und sonnige Wohnambiente dieser tollen Wohnung ab. Die Immobilie wird gerade modernisiert und ist bezugsfrei!  Starten Sie Ihre private Vorab-Besichtigung unter dem folgenden Link: https://tour.ogulo.com/BXqI !', 'Sehr zentral in bester Lage von Charlottenburg gelegen! Cafés, Bars und Restaurants finden sich ebenso wie Geschäfte des täglichen Bedarfs. Nur wenige Meter entfernt ist die Wilmersdorfer Straße mit den ""Wilmersdorfer Arcaden"" mit zahlreichen Einkaufsmöglichkeiten, sowie einer perfekten Verkehrsanbindung durch den gleichnamigen U-Bahnhof (U7). Der S-Bahnhof Charlottenburg (S3, 5, 7, 9, 42) ist ebenso innerhalb von 5 Minuten fußläufig erreichbar. Nach Süden hin lädt der Kurfürstendamm mit all seinen Büros und Shoppingmöglichkeiten zum Verweilen ein.']";district_heating;C;;;;;;;;
2020-05-24 20:46:34.860555;Berlin;ONE_YEAR_FREE;237210;n;n;https://pictures.immobilienscout24.de/listings/0db536fd-aead-4a3c-a8f9-77af65c3fc38-1369132324.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;8;11.37;40 MBit/s;telekom_layer_magenta_l;über VDSL;1962;;REGULAR;;11.37;118348800;district_heating;n;false;MagentaZuhause L;y;Berlin;n;4;2;227;no_information;energy_consumption;5.8;44.1;Berlin;10713;first_time_use_after_refurbishment;no_information;false;100 MBit/s;no_information;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10713;2;103;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.237210;179000;profile0;2;true;n;n;n;Wilmersdorf_Wilmersdorf;3094;2;Berlin;/expose/118348800;['Hell und freundlich erwartet Sie ein besonderes Ambiente. Durch großzügige Fensterelemente sind Luft, Licht und Sonne wesentliche Faktoren, die der Wohnung ein angenehmes Raumklima verleihen und somit eine ideale Belichtung gewähren. Der ideale Grundriss und die sehr schönen Sichtachsen zwischen den Zimmern machen die Wohnung zu einer wahren Besonderheit. Die Ausstattung innerhalb der Räume bedarf einer Anpassung an die individuellen Ansprüche für einen zeitgemäßen Wohnzustand.', '- gefließtes Bad\n- Küche\n- Panoramafenster\n- großer Sonnenbalkon\n- Laminatboden\n- unverbauter Grünblick\n- attraktive Gartenbegrünung\n- sehr guter Infrastruktur', 'Der Ortsteil Wilmersdorf gehört zum Bezirk Charlottenburg-Wilmersdorf, dem renommierten Citybezirk des Westens mit großbürgerlicher Geschichte, historisch gewachsenen Institutionen wie dem Kurfürstendamm und beeindruckender Altbau-Architektur. Sein vielfältiges Stadtbild und die zentrale Lage geben Wilmersdorf einen unverwechselbaren Charakter, der sich insbesondere über den hier praktizierten urbanen Lifestyle definiert. Belebende Faktoren wie Einkaufsstraßen, Restaurants und Cafés kommen hier mit beruhigenden Faktoren wie dem Volkspark Wilmersdorf zusammen und schaffen einen facettenreichen Mix. Charlottenburg-Wilmersdorf grenzt im Süden an Steglitz-Zehlendorf, im Osten an Tempelhof-Schöneberg sowie im Norden an Mitte und erfreut sich somit in jeder Hinsicht guter, schnell erreichbarer Nachbarschaft', 'Sie haben auch eine Immobilie zu verkaufen ?\n\nWir könnten genau für Ihre Immobilie den richtigen Käufer haben, fragen Sie bei uns an !\n\nTel. 030-2640470 oder info@glatzer-immobilien-berlin.de'];district_heating;;showqualicontactform;;;;;;;
2020-05-24 20:46:35.223954;Berlin;ONE_YEAR_FREE;174522;n;n;https://pictures.immobilienscout24.de/listings/8dbf9d7d-be2b-453a-a676-fefbf618391c-1369124358.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;16;11.3;40 MBit/s;telekom_layer_magenta_l;über VDSL;1989;;REGULAR;disabled;11.3;118347742;oil;n;true;MagentaZuhause L;y;Berlin;n;7;4;;no_information;energy_consumption;5.73;65;Berlin;14052;no_information;no_information;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;14052;2;88;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.174522;322000;profile0;2;true;n;n;n;Charlottenburg_Charlottenburg;118347742;3;Berlin;/expose/118347742;['Diese attraktive Wohnung überzeugt mit einer anregend hellen Zimmerstimmung und sehr gepflegten Ausstattungen, wie z.B. zeitgemäßen Isolierfenstern. Die weiß geflieste Küche ist für eine individuelle Wunscheinrichtung bestens vorbereitet, die nicht im Kaufpreis enthalten ist. Beachtenswert sind auch die geschmackvollen Bodenbeläge in den zwei Zimmern, im Flur und Badezimmer. Dieses tagesbelichtete Bad wurde ebenfalls konsequent weiß gefliest, allerdings hübsch betont von einer gelben Bordüre. Integriert sind u.a. eine Wanne und ein Hänge-WC. Praktisch ist der Einbauschrank im Flur. Die Raumwärmeversorgung obliegt einer Ölheizung. Warmwasser wird von modernen Durchlauferhitzern erzeugt.  Dieser manierlichen Wohnung ist ein geräumiger Kellerraum zugeordnet. Zur gepflegten Wohnungseigentümeranlage gehört ein nettes Gartenareal hinter dem Haus.\nIn anerkannt guter Lage mit perfekter Infrastruktur ist diese Wohnung ideal für maximal zwei Personen.', 'Sie möchten den Marktwert Ihrer Immobilie wissen oder Ihre Immobilie verkaufen? Wir sind seit 1995 erfolgreich im Verkauf von Immobilien in Berlin, Potsdam und Umgebung tätig. Unsere exzellenten Eigentümerbewertungen sprechen für sich.\n\n•\tOftmals haben wir schon den richtigen Käufer für Ihre Immobilie in unserer Kartei\n•\tWir sind Bellevue Best Property Agent und Mitglied in den Verbänden IVD & FIABCI\n•\tWir benötigen keinen schriftlichen Alleinauftrag\n•\tKosten entstehen Ihnen bei uns keine\n•\tUnsere Spezialisten stehen Ihnen gerne für ein erstes – für Sie unverbindliches - Gespräch zur Verfügung\n\nWir freuen uns über Ihre Kontaktaufnahme unter einkauf@immoberlin.de oder (030) 895 72 20.\nBitte besuchen Sie auch unsere Website: \nhttps://www.immoberlin.de'];no_information;C;showqualicontactform;;;;;;;
2020-05-24 20:46:35.617150;Berlin;ONE_YEAR_FREE;17958406;n;y;https://pictures.immobilienscout24.de/listings/c0c64b92-f93a-49ec-9ffa-a35b1fa7be19-1369124708.png/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;11.3;40 MBit/s;telekom_layer_magenta_l;über VDSL;1962;;REGULAR;;11.3;118347790;;y;false;MagentaZuhause L;y;Berlin;y;5;2;210;no_information;;5.73;48;Berlin;10587;well_kept;no_information;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;raised_ground_floor;10587;1.5;;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01008673168;230000;profile0;1;true;n;n;n;Charlottenburg_Charlottenburg;118347790;2;Berlin;/expose/118347790;['Bei diesem Objekt handelt es sich um eine 1,5 Zimmer große Wohnung im Hochparterre, ideal geeignet für Studenten oder Singles, die gerne am Puls der Stadt leben wollen oder Ihre Zeit dort verbringen.\nDas Wohnzimmer bietet Ihnen dabei genug Platz für einen Arbeitsbereich und einen Wohnbereich. Die Küche ist ein eigenständiger, abgetrennter Raum und das Schlafzimmer ermöglicht Ihnen einen Rückzugsort für ein Bett und Aufbewahrungsmöglichkeiten.\nDen Südbalkon können Sie an sonnigen Tagen zum zweiten Wohnzimmer machen.\nDas Mobiliar wird bei dem Kauf mit angeboten.\nDie Höhe des Hausgelds beträgt momentan monatlich 210,-€.\nAuch als Ferienwohnung gut geeignet, aufgrund der Lage und näheren Infrastruktur.', '+ Hochparterre\n+ Einbauküche\n+ Südbalkon\n+ Keller\n+ Fernwärme\n+ Zentralheizung\n+ elektrische Rollläden\n+ modern gefliestes Bad\n+ durchgehen Laminatboden\n+ schwellenlose Übergänge\n+ Parkmöglichkeit auf dem Hof', 'Die Wohnung befindet sich im Bezirk Charlottenburg, unmittelbar zur Technischen Universität für Architektur und dem Schloss Charlottenburg.\nDie Guerickestraße ist eine kleinere Straße die direkt zur Cauerstraße führt.\nIhr neuer Kiez ziert Cafés, Restaurants, Bars und Kneipen sowie etliche Einkaufsmöglichkeiten für den täglichen Bedarf.\nAußerdem erreichen Sie bei einem kurzen Spaziergang und gutem Wetter die Spree, wo Sie direkt am Wasser die Seele baumeln lassen können.\nDie gute Anbindung an den öffentlichen Personennahverkehr verschafft Ihnen dazu die Möglichkeit ebenfalls in alle Bezirke Berlins und deren Hotspots zu gelangen.\n\nÖPNV:\nIn ca. 5-10 Minuten erreichen Sie den M45 Richtung Johannesstift und Zoologischer Garten oder der Buslinie 101 Richtung Turmstraße und Dillenburgerstr.'];district_heating;;showqualicontactform;2004;;;;;;
2020-05-24 20:46:36.055886;Berlin;;14544073;n;y;https://pictures.immobilienscout24.de/listings/4e2fe6e7-1c2f-4757-9018-8ff8f0d3b592-1369120825.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;7;11.3;;;;1900;;;;11.3;118346223;district_heating;y;false;;y;Berlin;y;10;1;;no_information;energy_required;5.73;120.75;Berlin;14059;refurbished;sophisticated;false;;no_information;no_information;y;;;no_information;roof_storey;14059;3;85.5;n;2,active;;Deutschland;standard;;wohnung_kauf;n;5;;;002.01000690340;784900;profile0;3;true;n;y;n;Charlottenburg_Charlottenburg;255;5;Berlin;/expose/118346223;['Das Wohnhaus befindet sich nahe der Schlosspark-Klinik und dem Charlottenburger Schloss.\n\nEs handelt sich hierbei um eine Dachgeschoss-Maisonette-Wohnung die sich vom 4. Obergeschoss ins Dachgeschoss ( Galerie ) erstreckt.\n\nDiverse Einkaufsmöglichkeiten sind in der Umgebung vorhanden.', '- Parkett\n- offene Küche mit Einbauküche\n- 1 Wannenbad mit Fenster\n- 1 Wannenbad\n- Ankleide\n- Hauswirtschaftsraum\n- Terrasse\n- Kellerraum', '- der S-Bahnhof Westend ist in ca. 5 Minuten erreichbar'];floor_heating;;showqualicontactform;;5;;;;;
2020-05-24 20:46:36.411020;Berlin;ONE_YEAR_FREE;13757876;n;y;https://pictures.immobilienscout24.de/listings/a0750a05-049a-4e43-b428-c3bcfdd25f53-1331029378.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;9.73;40 MBit/s;telekom_layer_magenta_l;über VDSL;;;REGULAR;disabled;9.73;114177370;no_information;y;false;MagentaZuhause L;n;Berlin;y;11;;;17;;3.74;284;Berlin;14195;first_time_use;luxury;false;100 MBit/s;underground_garage;Im Dol;y;https://padlock.link/ioml;https://padlock.link/ml;Im_Dol;terraced_flat;14195;6;;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.13757876;4350000;profile0;5;true;n;n;n;Dahlem_Zehlendorf;611;7;Berlin;/expose/114177370;['Dahlem – der im 19. Jahrhundert als Villenkolonie gestaltete Stadtteil vereint gleich mehrere Komponenten zu einer Einheit beispielloser Lebensqualität. Hier genießt man die ausgeprägte Naturverbundenheit der direkten Umgebung, die von Grunewald, Schlachtensee, Krummer Lanke und Botanischem Garten gerahmt wird. Internationales Flair und Weltoffenheit verströmt das „deutsche Oxford“ durch seine weltweit bekannten Wissenschafts- und Museumseinrichtungen. Die Nähe zur City-West und zur beliebten Steglitzer Einkaufsmeile Schlossstraße wird gesteigert durch die sehr gute Verkehrsanbindung. Mit der U3 des fußläufig erreichbaren U-Bahnhofes Podbielskistraße gelangt man in 14 Minuten auf direktem Weg zum KaDeWe. Eingebettet in die ruhige, ländliche Idylle präsentiert sich im Botschaftsviertel die Villa am Messelpark als eine stilvolle Hommage an die klassischen Gründerzeitvillen der Nachbarschaft. Vollendet wird diese unwiederbringliche Gelegenheit mondäner Wohnkultur durch einen großzügig angelegten Landschaftsgarten, der sich bis zur Domäne Dahlem erstreckt. Die Herrschaftlichkeit der Architektur trägt sich konsequent in die Gestaltung der Innenräume. Die ca. 284 qm große Wohnung in der Bel Etage imponiert mit ihrer klaren Trennung von privaten und öffentlichen Wohnbereichen. Zwei Balkone und eine Loggia ermöglichen auf insgesamt ca. 36 qmdem Lauf der Sonne über den ganzen Tag zu folgen. Offene Raumlösungen verbinden die repräsentativen Wohnbereiche und sorgen für einen großzügigen und hellen Eindruck, der durch Zimmerdecken mit ca. 3,20 Meter Höhe verstärkt wird. Herzstück des lichtdurchfluteten, luxuriösen Ambientes ist der als Wohnzimmer konzipierte, ca. 51 qm große Salon. Durch die südliche Ausrichtung zum Garten und weite Blickachsen wird im Wohnbereich von Salon, Kamin- und Esszimmer das Tageslicht von zwei Seiten über bodentiefe Fenster ins Gebäude geleitet. Das außergewöhnliche Ambiente bietet anspruchsvollen Paaren und Familien statusgerechten Wohnraum. Ausstattungselemente wie Marmoroberflächen, Parkettboden, bulthaup Einbauküche mit Gaggenau-Geräten, Dornbracht- und Vola-Armaturen und Badewannen von Philippe Starck realisieren höchste ästhetische Ansprüche. Die Tiefgarage setzt der Ausstattung das i-Tüpfelchen auf.', 'Eine feine Selektion sorgt für die Fortsetzung der klassischen Gestaltungslinie im Inneren. Die hochwertigen Materialien stehen für eine zeitlose Ästhetik und die Erfüllung höchster Ansprüche an Wohnkultur: angenehme Holz- und Fliesenböden, formschöne Armaturen sowie ein modernes Badezimmerdesign von namhaften Herstellern. Denn Qualität ist das beste Fundament für Freude und Wertstabilität. \n\n•    284 qm Wohnfläche auf einer Ebene\n•    Weitblick über die Domäne Dahlem und direkter Zugang\n•    6 großzügige Zimmer mit Fischgät Parkettböden\n•    2 große Badezimmer mit Oberflächen in italienischem Marmor, freistehender Badewanne und edlen Armaturen \n•    bulthaup Einbauküche\n•    Kaminzimmer mit hochwertigem Kamin\n•    Hochwertige Aluminiumfenster \n•    Tiefgarage mit PKW Stellplätzen (auch SUV geeignet)\n\n... und viele weitere Highlights \n\n', 'Liebe Interessenten,\n\nDie PRIMUS ist trotz Covid-19 Pandemie für Sie uneingeschränkt da! Wie gewohnt erreichen Sie uns per E-Mail und Telefon. Videoberatungen und virtuelle Wohnungsbegehungen sind selbstverständlich auch möglich. Kommen Sie gerne mit Ihren Fragen und Anliegen zu unseren Projekten auf uns zu. Persönliche Besichtigungen und Beurkundungen finden unter Einhaltung aller Sicherheitsvorkehrungen statt. Außerdem halten wir Sie auf unseren sozialen Netzwerken weiterhin auf dem Laufenden. \n\nWir freuen uns von Ihnen zu hören und bleiben Sie gesund!'];heat_pump;;;;2;86769;1;true;;
2020-05-24 20:46:36.743145;Berlin;;18627115;n;y;https://pictures.immobilienscout24.de/listings/8c6b6644-a166-4f35-b718-43e1f452a529-1369129839.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;6;9.64;;;;1972;;;;9.64;118348024;oil;y;false;;n;Berlin;y;3;3;131;000;;4.62;31;Berlin;12309;need_of_renovation;normal;false;;no_information;Alt  Lichtenrade;n;;;Alt__Lichtenrade;apartment;12309;1;;n;2,active;;Deutschland;standard;;wohnung_kauf;y;2;;;009.f38606ca-ef5a-4911-b4c2-924b5072bc67;117900;profile0;1;true;n;n;n;Lichtenrade_Tempelhof;d596fa88-1758-4826-a257-de8a398cab8a;1;Berlin;/expose/118348024;['KEINE  MAKLERANFRAGEN !  Keine Makler !!! Nur Privatverkauf \nZu dem Apartment zählt ein hübsches Zimmer. Beheizt wird das Apartment, das sich in einem Haus aus dem Jahr 1972 befindet, durch eine Öl-Heizung. Durch die letzte Modernisierung im Jahr 2019 sind niedrige Energiekosten gewährleistet. Ein aktueller Energieausweis liegt zur Besichtigung vor. Das Hausgeld beläuft sich auf momentan 131,00\xa0€ im Monat. Zur Wohnung gehört auch ein Balkon. Im vorhandenen Kellerraum können Sie Ihre Habseligkeiten bequem unterbringen. Ihnen steht außerdem eine Einbauküche zur Verfügung. Derzeit ist das Objekt vermietet. Sie können die Wohnung provisionsfrei von privat erwerben.'];oil_heating;;;2019;3;;;;;
2020-05-24 20:46:37.092669;Berlin;;174522;n;y;https://pictures.immobilienscout24.de/listings/069314af-a3b3-4975-bc28-341e7421194d-1369124568.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;11;10.37;;;;1995;;;disabled;10.37;118347768;natural_gas_light;n;true;;y;Berlin;n;9;5;;no_information;energy_consumption;4.8;89;Berlin;12207;no_information;no_information;false;;no_information;no_information;n;;;no_information;apartment;12207;4;118;n;2,active;;Deutschland;top;;wohnung_kauf;n;;;false;001.174522;580000;profile0;4;true;n;n;n;Lichterfelde_Steglitz;118347768;4;Berlin;/expose/118347768;['Die sonnige 4-Zimmerwohnung im Erdgeschoss und der helle, ca. 26 m2 große Raum im Untergeschoss bilden eine sehr attraktive Immobilie. Neben der vorteilhaften Raumarchitektur für familienfreundliches Wohnen und einer wohnlichen Nutzfläche für Hobbys, erfreut das äußerst gepflegte Ambiente in klarem Gestaltungsdesign. Alle Erdgeschosszimmer sind mit charaktervollen Parkettböden ausgestattet. Großzügig ist der Wohn-, Koch- und Ess-bereich mit zeitgemäßer Einbauküche, Zugang zur überdachten Sonnenterrasse und Treppe in den Untergeschossraum. Klug in den Grundriss integriert ist das dem Wohn-, Koch- und Essbereich gegenüber liegende Gäste-WC. Drei geräumige Zimmer und das taghelle Badezimmer mit Wanne sowie eine große Diele und Kammer perfektionieren dieses lichtdurchflutete Erdgeschoss. Neben dem Hauseingang gibt es eine Schräge für Kinderwagen und Rollstuhl. Der untere, mit einem Südfenster, Heizkörper und einer Tür zum Untergeschoss ausgestattete Mehrzweckraum kann z.B. als Gäste-, Fitness- oder Kreativbereich genutzt werden. Zusätzlich ist dieser Wohnung ein verschließbarer Abstellraum zugeordnet. Der Hausgemeinschaft steht ein Waschraum, mit jeweils eigenem Strom- und Wasseranschluss zur Verfügung. Ferner sind Plätze für einen Wäscheständer und Fahrräder vorhanden. Die Wärmeversorgung obliegt einer Gaszentralheizung. Installiert ist zudem eine doppelte Wasserfilteranlage, die vor Viren, Bakterien und anderen Schadstoffen schützt. Außerdem gehören zum Kaufumfang ein kleines Gartenhäuschen und ein Pkw-Stellplatz. \nIn angenehmer Lage eignet sich diese Wohnung für diverse Ansprüche. Neben den Raumqualitäten für eine vierköpfige Familie überzeugt das Raumpotential auch für Freizeitaktivitäten – eine ansprechende Immobilie mit tollen Aussichten und Wohnoptionen.', 'Sie möchten den Marktwert Ihrer Immobilie wissen oder Ihre Immobilie verkaufen? Wir sind seit 1995 erfolgreich im Verkauf von Immobilien in Berlin, Potsdam und Umgebung tätig. Unsere exzellenten Eigentümerbewertungen sprechen für sich.\n\n•\tOftmals haben wir schon den richtigen Käufer für Ihre Immobilie in unserer Kartei\n•\tWir sind Bellevue Best Property Agent und Mitglied in den Verbänden IVD & FIABCI\n•\tWir benötigen keinen schriftlichen Alleinauftrag\n•\tKosten entstehen Ihnen bei uns keine\n•\tUnsere Spezialisten stehen Ihnen gerne für ein erstes – für Sie unverbindliches - Gespräch zur Verfügung\n\nWir freuen uns über Ihre Kontaktaufnahme unter einkauf@immoberlin.de oder (030) 895 72 20.\nBitte besuchen Sie auch unsere Website: \nhttps://www.immoberlin.de'];no_information;D;showqualicontactform;;;;;;;
2020-05-24 20:46:37.458180;Berlin;ONE_YEAR_FREE;17958406;n;y;https://pictures.immobilienscout24.de/listings/754eb1ce-ffda-4600-88d3-ce73c56acfe1-1369121440.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;12.78;40 MBit/s;telekom_layer_magenta_l;über VDSL;1960;;REGULAR;;12.78;118347096;;n;false;MagentaZuhause L;y;Berlin;n;5;2;180;no_information;;7.25;37;Berlin;10557;no_information;simple;false;100 MBit/s;no_information;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;ground_floor;10557;1;;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;4;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01008673168;230000;profile0;1;true;n;n;n;Tiergarten_Tiergarten;118347096;1;Berlin;/expose/118347096;['Die Liegenschaft befindet sich im 4.OG eines 1960 errichteten Mehrfamilienhauses.\n\nDie 1 Zimmer Wohnung verfügt über ein Duschbad, eine  Küche und ein großzügiges Wohnzimmer mit angrenzendem Balkon. \n\nIm Haus gibt es einen Personenaufzug mit dem man bequem in', '+ großzügiges Wohnzimmer mit Balkon\n+ Duschbad\n+ Aufzug\n+ Keller', 'Das Hansaviertel gehört zum Bezirk Mitte und ist flächenmäßig der kleinste der 95 Berliner Ortsteile. Es liegt zwischen Spree und Großem Tiergarten, das im Osten vom Schloss-Bellevue-Park und im Westen vom Gelände der Technischen Universität begrenzt wird. \n\n\nMit der nahegelegenen U-Bahn erreicht man in wenigen Minuten den Alexanderplatz oder den Potsdamer Platz. Dort ansässig befinden sich zahlreiche Angebote für Shopping und Kultur.'];district_heating;;showqualicontactform;2014;;;;;;
