timestamp;obj_regio1;ga_cd_via_qualified;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_yearConstructed;ga_cd_developer_virtualreality;obj_telekomInternetType;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_floor;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_numberOfFloors;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;evt_count_pm_sig;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_heatingType;obj_rentSubsidy;obj_lastRefurbish;obj_energyEfficiencyClass;obj_groupnumber;obj_noParkSpaces;obj_galleryAd
2020-05-24 21:14:24.277149;Berlin;true;ONE_YEAR_FREE;18267813;n;n;https://pictures.immobilienscout24.de/listings/75857213-1e6d-4df3-8e12-28bd8ed059a1-1361273688.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;18;11.3;40 MBit/s;telekom_layer_magenta_l;über VDSL;1890;true;REGULAR;11.3;114870382;no_information;n;false;MagentaZuhause L;n;Berlin;y;11;1;31;energy_consumption;5.73;183.98;Berlin;10629;well_kept;no_information;false;100 MBit/s;no_information;"Sybelstra&szlig;e";y;https://padlock.link/ioml;https://padlock.link/ml;Sybelstraße;roof_storey;10629;5;128;n;2,active;true;Deutschland;premium;100 MBit/s;wohnung_kauf;n;5;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01009069705;1250000;profile0;6;5;true;n;showqualicontactform;n;n;Charlottenburg_Charlottenburg;bf7420ad-1953-444d-a2f0-7f8bb5cb5691;7;Berlin;/expose/114870382;['__Das Gebäude__ \n\nAbseits aller kurzlebigen Trends der Metropole, begegnen einem  Charme, Tradition und kultivierte Lebensart auf Schritt und Tritt. Prachtvolle Fassaden in dieser malerischen Straße halten, was ihr Äußeres verspricht: feinste Charlottenburger-Wohnkultur – damals wie heute. Willkommen in der Sybelstraße! \n\n__Die Wohnung__ \n\nDiese Altbauwohnung lässt Wohnwünsche wahr werden und kann ganz nach Ihren Vorlieben gestaltet werden. Fünf Zimmer, eine praktische Abstellkammer, eine geräumige Küche, ein Wannenbad und ein zusätzliches Duschbad werden dabei von einer privaten Dachterrasse komplettiert, auf der Sie ungestört zur Ruhe kommen können. Auf Wunsch können Sie sich außerdem für eine von zwei Ausbauvarianten entscheiden und die Wohnung im offenen Loft-Stil oder familientauglich umwandeln. Knapp 184 Quadratmeter im Herzen Charlottenburgs, die nur auf Sie warten!\n\n__Die Lage__ \n\nWohl kaum ein Stadtteil ist so lange schon so begehrt wie Charlottenburg. Hier, im mondänen westlichen Zentrum Berlins liegt auch die Sybelstraße, die als Seitenstraße zum Prachtboulevard Kurfürstendamm verläuft. Dementsprechend gut ist auch die Infrastruktur rund um das Projekt. In fußläufiger Entfernung befinden sich der S-Bahnhof Charlottenburg, der U-Bahnhof Wilmersdorfer Straße und natürlich jede Menge Restaurants, Ärzte, Schulen und diverse Einkaufsmöglichkeiten. Für ein breites Kulturangebot ist dank zahlreicher Galerien, Theater und Kinos ebenfalls gesorgt. Kein Wunder also, dass diese Gegend zu den gefragtesten Wohnlagen der Hauptstadt zählt. ', 'Geräumige Dachterrasse\n\nWannenbad und zusätzliches Duschbad\n\nPraktische Abstellkammer\n\nViel Gestaltungsspielraum\n\nHervorragende Lage', 'Wohl kaum ein Stadtteil ist so lange schon so begehrt wie Charlottenburg. Hier, im mondänen westlichen Zentrum Berlins liegt auch die Sybelstraße, die als Seitenstraße zum Prachtboulevard Kurfürstendamm verläuft. Dementsprechend gut ist auch die Infrastruktur rund um das Projekt. In fußläufiger Entfernung befinden sich der S-Bahnhof Charlottenburg, der U-Bahnhof Wilmersdorfer Straße und natürlich jede Menge Restaurants, Ärzte, Schulen und diverse Einkaufsmöglichkeiten. Für ein breites Kulturangebot ist dank zahlreicher Galerien, Theater und Kinos ebenfalls gesorgt. Kein Wunder also, dass diese Gegend zu den gefragtesten Wohnlagen der Hauptstadt zählt.', 'Traumwohnung gefunden? Dann nutzen Sie jetzt die EverEstate Immobilienfinanzierung in Zusammenarbeit mit unserem Partner ZIEGERT Immobilien und profitieren Sie von jahrelanger Expertise in Verbindung mit kompetenter Beratung. Kontaktieren Sie uns unter +49 (0) 30 / 700 1797 59 oder auf www.everestate.de/immobilienfinanzierung-mit-everestate und erhalten Sie auf Ihre Bedürfnisse zugeschnittene Angebote.'];;;;;;;
2020-05-24 21:14:24.719790;Berlin;;ONE_YEAR_FREE;16048948;n;y;https://pictures.immobilienscout24.de/listings/f3f7919d-229c-4fcf-975b-5ed16ea28229-1340033489.jpeg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;11;11.12;40 MBit/s;telekom_layer_magenta_l;über VDSL;1975;;REGULAR;11.12;114892936;;y;false;MagentaZuhause L;y;Berlin;y;5;3;30;;6.13;51.63;Berlin;14055;refurbished;normal;false;100 MBit/s;underground_garage;Sensburger Allee;y;https://padlock.link/ioml;https://padlock.link/ml;Sensburger_Allee;no_information;14055;2;;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;6;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.15850880;250000;profile0;6;2;true;n;showqualicontactform;n;n;Charlottenburg_Charlottenburg;114892936;2;Berlin;/expose/114892936;['Eine einzigartige Gelegenheit! \nWohnen mit bestem Ausblick auf die grüne Landschaft vom Westend. \nNutzen Sie die Möglichkeit, Eigentümer einer schönen 2-Zimmer Wohnung im 6. OG eines Mehrfamilienhauses zu werden, welches erst im Jahr 2018 Saniert wurde. \nDes Weiteren hat die Wohnung einen Balkon, welcher einen atemberaubenden Blick über die grüne Landschaft rund um das Haus, verschafft. \nSelbstverständlich verfügt das Mehrfamilienhaus über einen Personenaufzug. \nNicht zu vergessen haben Sie die Möglichkeit einen Tiefgaragenstellplatz sowohl zu mieten, als auch zu kaufen. \nZu der Wohnung erhalten Sie selbstverständlich auch einen Keller. \nDie Wohnung eignet sich sowohl als Kapitalanlage, als auch zur Selbstnutzung, denn die Wohnung ist ab Mai 2020 bezugsfrei.', '1 Schlafzimmer \n1 Wohnzimmer \nKüche \nBalkon \nFlur\nBadezimmer \nPersonenaufzug \nKeller\nTiefgarage', 'Westend ist ein sehr besonderer Bezirk in Berlin und ist mit den besonderen Merkmalen ausgestattet, dass man sowohl in unmittelbarer Nähe zum Stadtzentrum liegt, als auch umgeben von einer sehr ruhigen, grünen Landschaft und Wäldern wie zum Beispiel dem Teufelsberg. Die Anbindung zu öffentlichen Verkehrsmitteln wie der S-Bahn Heerstraße und Bus Stationen, sind innerhalb von 3 Minuten zu Fuß erreichbar. Ebenso praktisch ist die Anbindung zur Stadtautobahn, die innerhalb weniger Minuten zu erreichen ist. Die Umgebung ist sehr ruhig aber lebensfreudig, Sie finden dort viele Einkaufsmöglichkeiten und viele Schulen in der Nähe. Den Theodor-Heuss-Platz erreichen Sie innerhalb weniger Minuten und finden dort weitere Supermärkte, Einkaufsmöglichkeiten, Cafés und Restaurants auf.'];no_information;215;2018;;;;
2020-05-24 21:14:25.072773;Berlin;;ONE_YEAR_FREE;164338;n;n;https://pictures.immobilienscout24.de/listings/f96c9d41-65fb-4357-9c34-83a0d8e9c05d-1339913707.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;6;12.78;40 MBit/s;telekom_layer_magenta_l;über VDSL;1880;;REGULAR;12.78;114886317;no_information;n;false;MagentaZuhause L;y;Berlin;n;8;1;no_information;energy_consumption;7.23;57;Berlin;10785;first_time_use;sophisticated;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10785;2;243;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.164338;499000;profile0;;2;true;n;showqualicontactform;n;n;Tiergarten_Tiergarten;114886317;2;Berlin;/expose/114886317;"['Es handelt sich um eine repräsentative Stuck -Residenz mit ca. 57 qm Wohnfläche im 1. Obergeschoss im einzigartigen viergeschossigen Stadtpalais, welches im Jahre 1880 vom Maurermeister Paul Garnn und Otto Krantz errichtet wurde. \r\r\rDas Objekt wird zurzeit bis Frühjahr 2020 umfangreich modernisiert. \r\rDas Objekt verfügt über alte originale Stilelemente und Stuckverzierungen aus dem Jahre 1880.\r\rWeitere Details teilen wir Ihnen gerne auf Nachfrage mit!', 'Eine attraktive Adresse in alter Wohnlage von Mitte / Tiergarten – fast direkt am Potsdamer Platz!', 'Unser Service für Eigentümer\rWir stehen Ihnen bei dem Verkauf Ihrer Immobilie vom Anfang bis zum fertigen Abschluss diskret und kompetent zur Verfügung. \rJeder Schritt erfolgt nach Absprache mit Ihnen. \rSie entscheiden über die Verkaufsstrategie Ihres Objektes, ob diskret und ""off-market"" oder eine qualifizierte Vermarktung in Print- sowie Onlinemedien. \rWir verfügen immer über den richtigen Käufer. \rZudem bewerten wir Ihre Immobilie kostenfrei, entsprechend dem aktuellen Marktwert.\rGerne beraten wir Sie kostenlos persönlich in unserem Büro, per Telefon oder per E-Mail!\rWir freuen uns von Ihnen zu hören!\rwww.immo-boerse24.de']";no_information;;2020;;;;
2020-05-24 21:14:25.496112;Berlin;;ONE_YEAR_FREE;97549;n;n;https://pictures.immobilienscout24.de/listings/c770b36e-343b-4273-bbb3-f17e71f988a2-1339662483.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;3;11.24;40 MBit/s;telekom_layer_magenta_l;über VDSL;1914;;REGULAR;11.24;114869683;gas;n;false;MagentaZuhause L;y;Berlin;y;4;1;24;energy_consumption;6.2;50.68;Berlin;10713;no_information;no_information;false;100 MBit/s;no_information;"Sigmaringer Stra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Sigmaringer_Straße;ground_floor;10713;2;96;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.97549;180000;profile0;;2;true;n;showqualicontactform;n;n;Wilmersdorf_Wilmersdorf;Sigmaringer24_2;2;Berlin;/expose/114869683;"['- klassischer Altbau', '- vermietet\n- Bad mit Fenster\n- Erdgeschoss im ruhigen Gartenhaus', '- nahe Leon-Jessel-Platz\n- U-Bahn-Station „Fehrbelliner Platz"" fußläufig erreichbar', 'Die monatliche Nettokaltmiete beträgt 297,26 €.']";self_contained_central_heating;;;C;0;;
2020-05-24 21:14:25.900358;Berlin;;ONE_YEAR_FREE;17336565;n;n;https://pictures.immobilienscout24.de/listings/47b8a3ad-0e2d-489a-b60c-a9bb1ccbb2b6-1339877339.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;4;11.12;40 MBit/s;telekom_layer_magenta_l;über VDSL;1933;;REGULAR;11.12;114883198;gas;n;false;MagentaZuhause L;y;Berlin;y;8;1;no_information;;6.13;77.36;Berlin;10789;need_of_renovation;no_information;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10789;2.5;;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;4;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01008088872;469000;profile0;;2;true;n;showqualicontactform;n;n;Charlottenburg_Charlottenburg;1046;3;Berlin;/expose/114883198;['Zum Verkauf steht eine 2,5-Zimmer-Wohnung, gelegen im Seitenflügel eines gepflegten Altbaus aus dem Jahr 1933. Die Wohnung wird im Ist-Zustand verkauft. Es besteht die Möglichkeit die Nachbarwohnung zu erwerben und die beiden Einheiten zu einer ca. 190 m² großen Wohnung zusammenzulegen.', '- Dielenboden', 'Charlottenburg gehört zu den gefragtesten und begehrtesten Lagen von Berlin. Der Kurfürstendamm mit seinen luxuriösen Geschäften, edlen Boutiquen sowie Flagship-Stores der internationalen Top-Designer, Juwelierfachgeschäften, Cafés und Restaurants oder Theatern und Kultureinrichtungen ist nur wenige Schritte entfernt. Alle Geschäfte und Dienstleistungen des täglichen Bedarfs, aber auch das weltbekannte Kaufhaus des Westens befinden sich in unmittelbarer Nähe. Mehrere U-Bahnstationen sind in wenigen Minuten zu erreichen, auch zahlreiche Buslinien verkehren in Fußnähe auf dem Kurfürstendamm. Die Stadtautobahn A 100 ist in 10 Minuten mit dem Auto zu erreichen.'];gas_heating;167.86;;;;;
2020-05-24 21:14:26.288046;Berlin;;ONE_YEAR_FREE;377811;n;y;https://pictures.immobilienscout24.de/listings/b0dbf79d-bada-4731-a945-3b4b4b9da2e0-1339854788.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;2;10.07;40 MBit/s;telekom_layer_magenta_l;über VDSL;1937;;REGULAR;10.07;114881500;district_heating;n;false;MagentaZuhause L;y;Berlin;n;4;1;no_information;energy_consumption;6.05;73.06;Berlin;12489;well_kept;no_information;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;ground_floor;12489;3;67.8;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;0;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.377811;175000;profile0;3;3;true;n;showqualicontactform;n;n;Adlershof_Treptow;114881500;3;Berlin;/expose/114881500;"['Die aus vier viergeschossigen Gebäuden bestehende gepflegte Wohnanlage aus dem Jahr ist in den Jahren 2003 bis 2004 umfangreich modernisiert und saniert worden.    \n\nIm Zuge dieser Baumaßnahmen sind die im dritten Obergeschoß gelegenen DG-Wohnungen neu errichtet worden.\n\nDie insgesamt 15 Hausaufgänge der vier Wohnhäuser gruppieren sich um einen großzügigen und gärtnerisch angelegten Innenhof mit Grünflächen, Laubbäumen, Hecken und einem Spielplatz.\n\nDie hier angebotene und aktuell vermietete Wohnung mit guter Grundriss-Situation befindet sich im Hochparterre und eignet sich gleichermaßen als gutes Kapitalinvestment mit Wertsteigerungs-/Renditepotential und für potentielle Selbstnutzer.', 'Nachfolgend die wesentlichen Kriterien der hellen und alltagstauglichen Wohnung mit gutem Grundriss:\n\n+ drei separate Zimmer\n+ Kunststofffenster mit Isolierverglasung\n+ Süd-West-Balkon und -Loggia\n+ modern gefliestes Wannenbad mit Fenster\n+ Kellerabteil\n+ Fernwärmeheizung', 'Das durch die Straßen ""Glienicker Weg/Handjerystraße/Otto-Franke-Straße/Wassermannstraße eingefasste ""Wohncarrée Adlershof"" mit guter, solider Bausubstanz ist im Berliner Stadtbezirk Treptow-Köpenick, hier im Stadtteil Adlershof, gelegen.\n\nMit Riesenschritten hat sich dieser Stadtteil vom Industriebezirk der Gründerjahre zu einem herausragenden Standort für Hochtechnologie, Wissenschaft, Wirtschaft und Medien entwickelt.\n\nTrotz dieser Dynamik im Kern mit stetig wachsender Einwohneranzahl wartet dieser Bezirk\nmit riesigen Wald-, Park-, Erholungs- und Wasserflächen auf. \n\nWohnen in Adlershof ermöglicht somit gleichsam städtisches, modernes Wohnen in einer günstigen Lage zwischen Citybereich mit allen Vorzügen städtischen Wohnens und vielen Naherholungsgebieten. \n\nÜber die Bahnhöfe Adlershof und Köpenick hat man nicht nur guten und schnellen Anschluss an den gesamten S-Bahnring, sondern ist zusätzlich durch eine Vielzahl an  Querverbindungen zum städtischen U-Bahnnetz optimal versorgt.\n\nMitten durch den Stadtteil Adlershof zieht sich die Bundesstraße 96a - das Adlergestell. Sie ist die schnellste Autoverbindung zwischen dem Alexanderplatz in der Berliner City, der A113 in Richtung Leipzig/Dresden/Nürnberg und dem Flughafen Berlin-Schönefeld.', 'Informationen zum Mietverhältnis:\n\nDer aktuelle Nettokaltmietzins beträgt 495,71 EUR/Monat.\n\nDas Wohngeld inkl. des Zuführungsanteils zur Instandhaltungsrücklage beträgt 216,00 EUR/Monat.\n\nBei gewünschter Eigennutzung der Wohnung ist die Kündigung des Mietverhältnisses unter Einhaltung der ordentlichen Kündigungsfrist gemäß bisheriger Mietvertragsdauer ab Eigentumsumschreibung im Grundbuch möglich.\n\nDie ordentliche Kündigungsfrist für dieses Mietverhältnis beträgt neun Monate.\n\nZusätzliche Kündigungssperrfristen bestehen nicht mehr.']";central_heating;168;2004;;;;
2020-05-24 21:14:26.714634;Berlin;;ONE_YEAR_FREE;15847706;n;y;https://pictures.immobilienscout24.de/listings/465c37ec-d7e7-4547-ab0d-8f8b21854617-1364419189.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;8.95;10 MBit/s;telekom_layer_magenta_m;über VDSL;1997;;REGULAR;8.95;114877936;gas;n;false;MagentaZuhause M;n;Berlin;y;7;5;no_information;energy_consumption;5.33;84.93;Berlin;12555;well_kept;no_information;false;50 MBit/s;no_information;no_information;n;https://padlock.link/iomm;https://padlock.link/mm;no_information;roof_storey;12555;3;131;n;2,active;true;Deutschland;top;50 MBit/s;wohnung_kauf;n;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01004502062;355000;profile0;3;3;true;n;showqualicontactform;n;n;Köpenick_Köpenick;1604051;4;Berlin;/expose/114877936;['Die helle Dachgeschosswohnung befindet sich in der dritten Etage eines Mehrfamilienhauses ohne Aufzug. \nDrei helle Zimmer, eine sonnige Terrasse, eine geschlossene Küche, ein Tageslichtbadezimmer und eine Abstellkammer stehen den Bewohnern zur Verfügung. \nDie Wohnung ist bezugsfrei.\n\nFür ausführliche Informationen nehmen Sie mit uns Kontakt über das Formular auf.', '• große Süd-West-Terrasse\n• zum Teil auch bodentiefe Fenster\n• zwei Schlafzimmer (13 und 18 m²)\n• großer Wohnbereich (21 m²) \n• Tageslichtbadezimmer mit Wanne und Waschmaschinenanschluss \n• Laminatboden in den Wohnräumen\n• Abstellkammer\n• Keller\n\n• neue Heizung in der Anlage 2019\n• gepflegtes Gemeinschaftseigentum', '... \nFür ausführliche Informationen nehmen Sie mit uns Kontakt über das Formular auf.', 'Unsere Leistungsgarantie\n\nWir sind: \n- Berater und Dienstleister für Wohnen, Verrentung und Finanzierung\n- Experten vor Ort - für Ihre Sicherheit und optimale Verkaufschancen\n- Ein Full-Service-Unternehmen - wir kümmern uns um alles\n\nSo arbeiten wir:\n- Wir hören gut zu und zeigen Ihnen Wege auf Ihr Ziel zu erreichen\n- Wir analysieren im Detail und bewerten professionell für Ihre Sicherheit\n- Wir investieren Zeit, Geld und Energie und nur im Erfolgsfall werden wir honoriert\n- Diskretion ist selbstverständlich und wir informieren Sie regelmäßig\n\nWir garantieren:\n\nVertrauen:\n- Beratung zum Verkauf oder zur Verrentung\n- Individuelles und detailliertes ERA-VerkaufswertGutachten\n- Zusammenstellung sowie ggf. Einholung aller Unterlagen\n- hochwertiges, aussagekräftiges Exposé\n- professionelle Fotos, informative Texte, 3D-Aufnahmen\n- indiv. Marketing- u. Vertriebskonzept\n- regelmäßige Informationen an Sie\n\nZeit, Nerven und Geld gespart!\n\nSicherheit: \n- ERA Gruppe sorgt für Sicherheit\n- modernste Marketingmaßnahmen\n- ERA-Zeitschrift, 3D virtuelle Besichtigung, starke Internetpräsenz\n- Interessentenauswahl durch Qualifizierungsgespräch\n- strategische Einzelpräsentation - keine Massenbesichtigungen\n- Nachweis der Finanzierung des Käufers\n- Vorbereitung und Beratung des Notarvertrages\n\nDen höchstmöglichen Preis erzielt\n\nErfüllung:\n- Beurkundung des Kaufvertrages\n- Nachverfolgung aller Vereinbarungen des Notarvertrages\n- Überwachung der Zahlungstermine\n- Zusammenstellung der Unterlagen für den Käufer\n- Begleitung bei der Besitzübergabe\n- Erstellung Übergabeprotokoll mit Fotobelegen\n- geprüftes Dienstleisternetzwerk für Verkäufer und Käufer\n\nAlles richtig gemacht!'];central_heating;279;;E;2;;
2020-05-24 21:14:27.059194;Berlin;;ONE_YEAR_FREE;17336565;n;y;https://pictures.immobilienscout24.de/listings/04a35fef-feb6-49e9-ab98-b338999ad4a8-1339840887.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;8;9.97;40 MBit/s;telekom_layer_magenta_l;über VDSL;2018;;REGULAR;9.97;114881002;heat_supply;y;false;MagentaZuhause L;y;Berlin;y;11;9;no_information;;5.62;178;Berlin;14195;mint_condition;luxury;false;100 MBit/s;underground_garage;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;penthouse;14195;4;;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01008088872;2050000;profile0;2;4;true;y;showqualicontactform;y;n;Schmargendorf_Wilmersdorf;1043/Eh5;7;Berlin;/expose/114881002;['Die angebotene Wohnung befindet sich im Dachgeschoss (2. Obergeschoss) einer luxuriösen Stadtvilla. Es handelt sich um eine 4-Zimmer-Penthouse-Wohnung mit ca. 178 m² Wohnfläche. Die Wohnung verfügt über einen ca. 60 m² großen Wohn- und Essbereich mit offener Küche, ein Schlafzimmer mit Ankleide und direktem Zugang zum Master-Bad, zwei weitere Schlafzimmer sowie ein Gäste-Bad mit Dusche und einen Hauswirtschaftsraum. Vom Wohnzimmer besteht ein Zugang zu einer ca. 89 m² großen Dachterrasse.', '- ca. 89 m² große Dachterrasse\n- Eichenparkett\n- hochwertige Fliesen- oder Natursteinböden in den Bädern\n- Sanitärkeramik und Armaturen von namhaften Herstellern\n- Tiefgarage mit XXL-Stellplätzen\n- Aufzug\n- Fußbodenheizung (kann zur Kühlfläche umgeschaltet werden)\n- Energiequelle Luft/Wasser-Wärmepumpe unterstützt durch Solarthermie\n- Bus-System\n- hoher Sicherheitsstandard, zentralgesteuerte Alarmanlage\n- großer Gemeinschaftsgarten mit Kinderspielplatz\n- 706,19 EUR Wohngeld inkl. 89,39 EUR Instandhaltungsrücklage', 'Grunewald gehört zu den exklusivsten Villenlagen Berlins. Die waldreiche Umgebung mit zahlreichen kleinen Seen bietet Ruhe und Entspannung. Der nur wenige Gehminuten entfernte Grunewald mit seinen Spazierwegen und die idyllische Lage in der Nähe des Grunewaldsees tragen zu der Exklusivität des Domizils bei. Viele hervorragende Schulen, Kultureinrichtungen und alle Geschäfte und Dienstleistungen des alltäglichen Bedarfs sowie der Kurfürstendamm mit seinen luxuriösen Geschäften, zahlreichen Cafés und Restaurants befinden sich in direkter Umgebung.'];solar_heating;706.19;;;;1;
2020-05-24 21:14:27.424257;Berlin;;ONE_YEAR_FREE;15754699;n;n;https://pictures.immobilienscout24.de/listings/a5f50615-bd47-4e1e-9b0e-51cc907cce1e-1283451597.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;22;15.54;10 MBit/s;telekom_layer_magenta_m;über VDSL;1900;;REGULAR;15.54;108557474;gas;n;false;MagentaZuhause M;y;Berlin;n;7;1;43;energy_required;10.27;96.61;Berlin;10245;no_information;no_information;false;50 MBit/s;no_information;Corinthstr.;n;https://padlock.link/iomm;https://padlock.link/mm;Corinthstr.;apartment;10245;3;178;n;2,active;true;Deutschland;top;50 MBit/s;wohnung_kauf;y;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.15650116;389000;profile0;1;3;true;n;;n;n;Friedrichshain_Friedrichshain;6027;4;Berlin;/expose/108557474;['Die hier angebotene Wohnung befindet sich im beliebten Szene-Bezirk Berlin Friedrichshain. \n\nIn einem gepflegten Altbaugebäude von 1900 liegt die Wohnung im ruhigen Seitenflügel.\nSie verfügt über 3 Zimmer, eine Küche und ein Badezimmer mit Wanne und Fenster.\nDie Wohnung befindet sich insgesamt in einem Top-Zustand.\nDielenboden, Altbautüren und hohe Decken runden das Bild ab. Alle Fenster sind nach Südwesten zum ruhigen Innenhof ausgerichtet.\n\nDie Mieter bewohnen die Wohnung seit März 2017. Die Wohnung wird als Kapitalanlage verkauft. Eine Eigenbedarfskündigung ist für die nächsten 10 Jahre ausgeschlossen.\n\nFür weitergehende Informationen können Sie uns gern kontaktieren.', 'Die Corintstraße liegt im lebendigen Friedrichshain. Hier ist immer etwas los und man findet viele Restaurationen und Unterhaltungsmöglichkeiten. \nÜber die nahe liegende Oberbaumbrücke gelangt man in 5 Minuten nach Kreuzberg.'];self_contained_central_heating;190.21;;;;;disabled
2020-05-24 21:14:27.757335;Berlin;;ONE_YEAR_FREE;386275;n;n;https://pictures.immobilienscout24.de/listings/6346c1b7-e874-422d-8eb5-a3bcf52d35b1-1346526298.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;5;10.66;40 MBit/s;telekom_layer_magenta_l;über VDSL;1975;;REGULAR;10.66;114885602;no_information;y;false;MagentaZuhause L;y;Berlin;n;9;3;no_information;;5.91;96;Berlin;10117;well_kept;normal;false;100 MBit/s;no_information;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10117;3;;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.386275;636000;profile0;24;3;true;n;showqualicontactform;n;n;Mitte_Mitte;64001;4;Berlin;/expose/114885602;['Sie betreten die Wohnung über den großzügigen Flur - von hieraus haben Sie Zugang zu allen Räumen, der Küche sowie den zwei Bädern. Das Wohn-, Schlaf- und Arbeitszimmer sind jeweils mit mehreren Fenstern ausgestattet, was der Wohnung einen hellen und freundlichen Charakter verleiht. Ein besonderes Merkmal dieser Wohnung ist nicht nur der Ausblick über Berlin, den Sie im elften Stock genießen können - Sie haben sogar die Möglichkeit, diesen von zwei Loggien aus zu genießen. Eine der Loggien ist vom Wohnzimmer begehbar, die andere Loggia schließt direkt an das Esszimmer mit der offenen Wohnküche an. Der großzügige Schnitt des Wohn-, Schlaf- und Arbeitszimmers bietet viel Platz für die kreative Inneneinrichtung. Die schöne 3-Zimmer Wohnung eignet sich ideal für Paare und eine kleine Familie. Zusätzlicher Stauraum bietet der Keller, welcher sich bequeme auf der selben Etage befindet. Durch die zentrale Lage und gute Infrastruktur fehlt es Ihnen hier an nichts.', '- 2 Loggien\n- 2 Bäder\n- zentrale Lage\n- fantastischer Ausblick über Berlin\n- Kellerraum befindet sich bequem auf der gleichen Etage', 'Zentraler geht es kaum - zwischen dem Spittelmarkt und dem Gendarmenmarkt finden Sie die angebotene Wohnung auf der Leipziger Straße. Sie wohnen genau dort, wo viele Menschen sich auf die Spuren der Geschickte Berlins machen - der Checkpoint Charlie ist beispielsweise fußläufig in nur wenigen Minuten zu erreichen, auch die Fischerinsel ist nicht weit und lädt zu schönen Spaziergängen am Wasser ein. Auch der Alexanderplatz und der Potsdamer Platz sind mit den öffentlichen Verkehrsmitteln oder dem PKW innerhalb weniger Minuten erreichbar.'];;;;;;;disabled
