timestamp;obj_regio1;obj_heatingType;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_telekomInternetType;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;obj_energyEfficiencyClass;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_floor;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_galleryAd;obj_numberOfFloors;evt_count_pm_sig;obj_yearConstructed;obj_yearConstructedRange;obj_groupnumber;ga_cd_via_qualified;obj_rentSubsidy;obj_usableArea;obj_noParkSpaces;obj_project_id;obj_nbp
2020-05-24 21:18:27.109184;Berlin;district_heating;ONE_YEAR_FREE;446752;n;y;https://pictures.immobilienscout24.de/listings/1b890646-0fd5-415a-b198-552c9aca91a4-1325705331.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;3;10.81;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;10.81;113925669;district_heating;n;false;MagentaZuhause L;y;Berlin;n;6;no_information;energy_consumption;6.01;55;Berlin;12159;no_information;no_information;NO_INFORMATION;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;12159;2;141.3;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.446752;269000;profile0;2;true;n;n;n;Friedenau_Schöneberg;113925669;2;Berlin;/expose/113925669;['Die Immobilie befindet sich in Berlin-Schöneberg, im beliebten Ortsteil Friedenau. Die nahe Schloßstraße wird über die Grenzen des Bezirkes hinaus als Einkaufsmeile geschätzt. Ein Anziehungspunkt für Kinofreunde ist der traditionsreiche Titania-Palast. Das Angebot an Cafés und Re-staurants ist überdurchschnittlich gut.'];;;;;;;;;;;;
2020-05-24 21:18:27.550978;Berlin;;ONE_YEAR_FREE;16728507;n;n;https://pictures.immobilienscout24.de/listings/7f1b1187-603f-4361-b2a9-8cc0bf8d4dd4-1325315410.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;5;9.67;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;9.67;113899561;no_information;n;false;MagentaZuhause L;n;Berlin;y;8;no_information;;5.22;95;Berlin;13507;first_time_use_after_refurbishment;normal;;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;roof_storey;13507;3;;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;4;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01007540282;408000;profile0;3;true;n;n;n;Tegel_Reinickendorf;8UNNTF;4;Berlin;/expose/113899561;['Diese 3 Zimmer Wohnung ist saniert und direkt bezugsfrei.\n\nBei dieser Immobilie handelt es sich um ein Verifizierungsobjekt. Hierbei erhalten Sie nach einer kurzen telefonischen Verifikation Ihrer Anfrage, Zugriff auf alle relevanten Informationen (vollständige Adresse, Bilder, Grundrisse, etc.) im Dokumenten Center des Inserates.', '++ Kellerabteil\n++ Bezugsfrei\n++ Provisionsfrei', 'Die Wohnung befindet sich unweit vom U-Bahnhof Alt Tegel (ca. 3 Gehminuten). Zudem ist auch die S-Bahnanbindung (S-Bahnhof Tegel) fußläufig zu erreichbar.\n\nDie nächste Autobahnanbindung A 111 befindet sich auf der Höhe des U-Bahnhofs Holzhauser Straße. Diese ist mit dem Auto nur 4 Min entfernt.\n\nDie Wohnung befindet sich in einer ruhigen Seitenstraße. Viele Geschäfte wie Apotheken, Bäckereien, Bekleidungsläden und Supermärkte sind unweit zu erreichen.\n\nSehr besonders ist die Lage unweit vom Wasser, was an sommerlichen Tagen zum Entspannen einlädt. Hier trifft die Natur das Stadtleben.\n\nOb für einen Waldspaziergang oder einem Spaziergang am Wasser, bietet die sehr naturelle Lage einen besonderen Zufluchtsort.', '\nKontaktieren Sie uns und vereinbaren Sie einen Beratungstermin mit Ihrem persönlichen WunderAgenten! \n\n************* \n\nWunderAgent – Mein Partner rund um Immobilien. \n\nVon der möblierten 1-Zimmer-Wohnung bis zum Mehrfamilienhaus, wir betreuen Ihre Immobilie. \n\n************* \n\nHinweis: Das vorliegende Exposé wurde nach Angaben des Auftraggebers gefertigt und dient lediglich zur Orientierung im Vorfeld einer Besichtigung. Sämtliche Angaben zu Ausstattung und Details wurden seitens des Auftraggebers getätigt. WunderAgent übernimmt keine Gewähr für die Richtigkeit der gemachten Angaben - dies gilt insbesondere für die korrekte Ermittlung der Wohnfläche. Bei der Inaugenscheinnahme der Immobilie durch WunderAgent werden sämtliche Angaben auf Plausibilität geprüft. Im Zweifel empfehlen wir Ihnen vor Abschluss eines Kauf- oder Mietvertrages eine detaillierte Ermittlung der angegebenen Wohnfläche. Gerne beraten wir Sie hierzu im persönlichen Gespräch. Das vorliegende Exposé wird nicht Bestandteil eines Kauf- oder Mietvertrages - es erfüllt lediglich Vorab-Informationszwecke im Vorfeld einer Besichtigung. Zugesicherte Eigenschaften (z.B. korrekte Wohnfläche) sollten im Kauf- oder Mietvertrag direkt mit dem Verkäufer/Vermieter vertraglich geregelt werden.\n'];disabled;4;showqualicontactform;;;;;;;;;
2020-05-24 21:18:28.014524;Berlin;district_heating;ONE_YEAR_FREE;97549;n;y;https://pictures.immobilienscout24.de/listings/60c8e508-4886-4166-9de4-3992f69ff358-1325318977.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;10.81;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;10.81;113900891;district_heating;n;false;MagentaZuhause L;y;Berlin;y;6;9;energy_consumption;6.01;54.5;Berlin;12159;no_information;no_information;E;false;100 MBit/s;no_information;"Fregestra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Fregestraße;apartment;12159;2;141.3;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.97549;269000;profile0;2;true;n;n;n;Friedenau_Schöneberg;Frege9_13;2;Berlin;/expose/113900891;['- Balkon\n- Bad mit Wanne und Fenster\n- Gartenhaus\n- 1. Obergeschoss', 'Das Haus befindet sich in einer erstklassigen, ruhigen und dennoch zentralen Wohngegend von Berlin-Friedenau.\n\nDie Rheinstraße mit ihren zahlreichen Einkaufsmöglichkeiten und schönen Restaurants sowie das S-Café am S-Bahnhof Friedenau (S1) und den Breslauer Platz ist fußläufig gut zu erreichen.', 'Die monatliche Bruttokaltmiete beträgt 565,28 €.'];;;showqualicontactform;1914;1;0;;;;;;
2020-05-24 21:18:28.402082;Berlin;district_heating;ONE_YEAR_FREE;97549;n;y;https://pictures.immobilienscout24.de/listings/90568d9f-30cc-42e1-adb3-ea071bc8e632-1325572911.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;10.81;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;10.81;113917832;district_heating;n;false;MagentaZuhause L;y;Berlin;y;4;9;energy_consumption;6.01;36.5;Berlin;12159;no_information;no_information;E;false;100 MBit/s;no_information;"Fregestra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Fregestraße;ground_floor;12159;1;141.3;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.97549;179000;profile0;1;true;y;n;n;Friedenau_Schöneberg;Frege9_9;1;Berlin;/expose/113917832;['- Garten\n- Balkon\n- Bad mit Fenster + Wanne\n- Erdgeschoss\n- Gartenhaus', 'Das Haus befindet sich in einer erstklassigen, ruhigen und dennoch zentralen Wohngegend von Berlin-Friedenau.\n\nDie Rheinstraße mit ihren zahlreichen Einkaufsmöglichkeiten und schönen Restaurants sowie das S-Café am S-Bahnhof Friedenau (S1) und den Breslauer Platz ist fußläufig gut zu erreichen.', 'Die monatliche Nettokaltmiete beträgt 332,35 €.'];;;showqualicontactform;1914;1;0;;;;;;
2020-05-24 21:18:28.752335;Berlin;;;13114176;y;y;https://pictures.immobilienscout24.de/listings/b35edcc5-a18f-4401-83dd-f7e0fab5407f-1325758114.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;6;11.24;;;;;11.24;113929704;no_information;n;false;;n;Berlin;n;9;no_information;;6.16;65;Berlin;10713;no_information;sophisticated;;false;;no_information;no_information;y;;;no_information;apartment;10713;2;;n;2,active;;Deutschland;top;;wohnung_kauf;n;5;;false;001.13114176;520000;profile0;2;true;n;n;n;Wilmersdorf_Wilmersdorf;B399_2.33;3;Berlin;/expose/113929704;"['Neubauprojekt in Berlin City-West \n\n* 1-4 Zimmer\n* Terrasse oder Balkon\n* 37 - 135 m²\n* hochwertige Ausstattung\n* Tiefgarage\n\nFür weitere Informationen fordern Sie gerne unser ausführliches Exposé an.', 'Die Bewohner des klassischen Berliner Bezirkes Wilmersdorf sind vor allem von seiner einmaligen Lage begeistert - mitten in der Stadt und trotzdem im Grünen. Man wohnt hier vor allem in einer ruhigen und sauberen Umgebung.\n\nWilmersdorf ist aufgrund seiner repräsentativen Wohnhäuser im wilhelminischen Stil und der zahlreichen Grünanlagen eine beliebte Wohngegend für mittelständische Familien; auch wenn sich die Mieten der äußerst populären sanierten Altbauwohnungen im Berlin-Vergleich eher im oberen Drittel wiederfinden. Doch der Stadtteil bietet auch einiges: Neben sehr guten Einkaufsmöglichkeiten (der westliche Teil des Kurfürstendamms liegt hier und auch in den zahlreichen Nebenstraßen lässt sich prima shoppen), ist man in wenigen Minuten im benachbarten Stadtteil Charlottenburg.']";;;showqualicontactform;2019;9;;;;;;;
2020-05-24 21:18:29.191995;Berlin;central_heating;ONE_YEAR_FREE;18052783;n;n;https://pictures.immobilienscout24.de/listings/4cf0aa60-7e3d-4391-acac-635e7edd520f-1358193922.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;11.35;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;11.35;113903163;district_heating;n;false;MagentaZuhause L;n;Berlin;y;4;2b;energy_required;7.53;38;Berlin;10247;no_information;no_information;;false;100 MBit/s;no_information;"Pettenkofer Stra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Pettenkofer_Straße;apartment;10247;1;215.3;n;2,active;true;Deutschland;premium;100 MBit/s;wohnung_kauf;y;4;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01008679649;166000;profile0;1;true;n;n;n;Friedrichshain_Friedrichshain;498470;1;Berlin;/expose/113903163;['INVESTIEREN UND LEBEN IM TRENDVIERTEL\r\nDer schöne Altbau aus dem Jahr 1904 besteht aus 41 Wohn- und drei Gewerbeeinheiten, die sich im Vorderhaus und den Seitenflügeln auf insgesamt 5 Geschosse verteilen. Die gut geschnittenen 1 – 4- Zimmer-Wohnungen sind ca. 29 – 123 m² groß und teilweise mit Balkon oder Loggia ausgestattet. Zu fast allen Einheiten gehört ein Kellerraum. Die Wohnungen werden provisionsfrei verkauft.', 'Berliner Dielen\r\nKunststofffenster \r\nAltbautüren\r\nschmaler Altbaueinbauschrank im Flur\r\nschmales Bad mit Duschtasse\r\nKeller', 'Junge und urbane Lebensqualität sind hier zu Hause. Alles, was Ihr Herz begehrt, finden Sie im direkten\r\nUmkreis Friedrichshain ist das Viertel der jungen Leute.  Seit der Wende erlebt der Szenekiez einen Boom und\r\nmit einem Durchschnittsalter von etwa 37 Jahren ist er der Bezirk mit der jüngsten Bevölkerung überhaupt.\r\nDer Bezirk verändert sich stetig: Große Unternehmen wie Universal, Coca-Cola und BASF sind schon seit\r\nlängerem nahe der Oberbaumbrücke angesiedelt, und in den letzten Jahren zieht es die junge Kreativszene\r\nund viele Start-ups nach Friedrichshain – aber auch das neue, schicke Viertel rund um den Mercedes-Platz an\r\nder Spree mit East Side Mall, Kinowelt bringt neue Impulse in den Bezirk.\r\nFriedrichshain hat sich zu dem Vergnügungsviertel der Hauptstadt entwickelt: Ob Restaurants, Bars, Cafés,\r\nClubs – hier wird Vielfalt ohne Ende geboten. So zum Beispiel das Berghain, das RAW-Areal oder der\r\nHolzmarkt – die beliebtesten Clubs Berlins, und berühmt weit über die Stadtgrenzen hinaus.\r\nWer es etwas ruhiger angehen will, kann es sich am Forckenbeckplatz, im Blankensteinpark oder im Stadtpark Lichtenberg gut gehen lassen. Auch die Anbindung der Pettenkoferstraße an die öffentlichen Verkehrsmittel ist bestens. So lässt sich beispielsweise die U- und S-Bahn-Station Frankfurter Allee gut zu Fuß erreichen.'];;4;showqualicontactform;1904;1;1;true;135.86;;;;
2020-05-24 21:18:30.316322;Berlin;district_heating;ONE_YEAR_FREE;97549;n;y;https://pictures.immobilienscout24.de/listings/ad92be1a-5baa-48a4-9b21-382f9dd607b9-1325343605.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;10.81;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;10.81;113902864;district_heating;n;false;MagentaZuhause L;y;Berlin;y;6;9;energy_consumption;6.01;56.4;Berlin;12159;no_information;no_information;E;false;100 MBit/s;no_information;"Fregestra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Fregestraße;apartment;12159;2;141.3;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.97549;289000;profile0;2;true;n;n;n;Friedenau_Schöneberg;Frege9_17;2;Berlin;/expose/113902864;['- Balkon\n- Dielen\n- Bad mit Wanne und Fenster\n- Gartenhaus\n- 2. Obergeschoss', 'Das Haus befindet sich in einer erstklassigen, ruhigen und dennoch zentralen Wohngegend von Berlin-Friedenau.\n\nDie Rheinstraße mit ihren zahlreichen Einkaufsmöglichkeiten und schönen Restaurants sowie das S-Café am S-Bahnhof Friedenau (S1) und den Breslauer Platz ist fußläufig gut zu erreichen.', 'Die monatliche Nettokaltmiete beträgt 552 €.'];;;showqualicontactform;1914;1;0;;;;;;
2020-05-24 21:18:30.675237;Berlin;central_heating;ONE_YEAR_FREE;15445092;n;y;https://pictures.immobilienscout24.de/listings/68b7b179-b244-49e5-b1ac-50b05111dac3-1325727749.png/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;24;10.66;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;10.66;113926933;natural_gas_heavy;y;false;MagentaZuhause L;y;Berlin;y;11;112;energy_required;5.91;157;Berlin;10435;mint_condition;luxury;;false;100 MBit/s;no_information;"Swinem&uuml;nder Str.";y;https://padlock.link/ioml;https://padlock.link/ml;Swinemünder_Str.;apartment;10435;4;69;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;4;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01000792916;1099000;profile0;4;true;y;y;n;Mitte_Mitte;113926933;7;Berlin;/expose/113926933;['WWW.SWIN112.COM\n\nIn dem 2012 erbauten Haus in der Swinemünder Straße 112, das Stil, Eleganz und Luxus gekonnt miteinander vereint, wartet ein Schmuckstück auf Sie: Freuen Sie sich auf eine Wohnung, die mit ihrem warmen Eichen-Parkett und anthrazit-farbenen Fensterrahmen eine besondere Ruhe und Wärme ausstrahlt und Sie schon beim ersten Betreten mit einem Gefühl von Zuhause-Sein empfängt.\n\nMachen Sie es sich mit Ihren Freunden - in kleiner oder großer Runde - in der großen Küche mit offenem Essbereich gemütlich. Direkt an den Koch- und Essbereich ist das herrliche große Wohnzimmer angeschlossen. Wie im Schlafzimmer sind auch hier die großen bodentiefen und deckenhohen Fenster das Highlight. Wie Bilderrahmen wirkend, akzentuieren sie die Umgebung und machen sie zu einem Bestandteil Ihres täglichen Lebens. Ein großer Balkon, der beide Zimmer miteinander verbindet, bietet einen wunderbar entspannten Blick über die ruhige Straße. Das Apartment bietet Ihnen alle Errungenschaften einer modernen Neubauwohnung: Fußbodenheizung, Aufzug, hervorragende Isolierung (und damit äußerst geringe Nebenkosten), Handtuchwärmer im Bad und vieles mehr.\n\nIn the property at Swinemünder Strasse 112, built in 2012 and combining style, elegance and luxury, a piece of jewellery awaits you: with its warm oak parquet flooring and anthracite-coloured window frames, the apartment radiates a special peace and warmth and welcomes you with a feeling of being at home right from the start.\n\nMake yourself comfortable with your friends - in small or large groups - in the large kitchen with its open dining area. The large living room is directly connected to the cooking and dining area. As in the bedroom, the large floor-to-ceiling and ceiling-high windows are the highlight. Like picture frames, they accentuate the surroundings and make them a part of your daily life. A large balcony, which connects both rooms, offers a wonderfully relaxed view over the quiet street. The apartment offers you all the benefits of a modern new apartment: underfloor heating, elevator, excellent insulation (and thus extremely low ancillary costs), towel warmer in the bathroom and much more.', '-Baumaterialien und -stoffe von Markenherstellern\n-Masterbad\n-Zwei Balkone\n-Hochwertiger Eichenparkettboden\n-Fußbodenheizung in allen Räumen\n-Bodentiefe Fenster\n-Modernes Bad mit Badewanne,  Dusche, \n-Waschbecken, WC, elektrischer Handtuchwärmer \n-Offene Einbauküche\n\n\n-Building materials and fabrics from brand manufacturers\n-Master bathroom\n-Two balconies\n-High-quality oak parquet flooring\n-Underfloor heating in all rooms\n-Floor depth windows\n-Modern bathroom with bathtub, shower, \n-Washbasin, WC, electric towel warmer \n-Open built-in kitchen', 'Das Gebäude liegt in der Nähe des Arkonaplatzes, fast direkt auf dem ehemaligen Mauerstreifen. In den letzten Jahren sind hier viele Townhäuser und Eigentumswohnungen entstanden. Zu Fuß oder mit dem Fahrrad erreicht man in nur wenigen Minuten die Brunnenstraße, die Kastanienallee oder den Hackeschen Markt.\nDer Anschluss zum öffentlichen Verkehr ist in wenigen Minuten zu Fuß erreichbar (Tram M10 in Richtung Hauptbahnhof/Warschauer Str., U-Bahn U8 Haltestelle Brunnenstraße).\n\nThe building is located near Arkonaplatz, almost directly on the former wall strip. Many townhouses and condominiums have been built here in recent years. The Brunnenstraße, the Kastanienallee or the Hackescher Markt can be reached in just a few minutes on foot or by bicycle.\nPublic transport is reachable in walking distance (Tram M10 to Hauptbahnhof/Warschauer Str., Metro U8 Station Brunnenstraße)', 'Für weitere Fragen und/oder die Abstimmung zu einem Besichtigungstermine können Sie sich gerne an Herrn Henning wenden. Sie erreichen Sie ihn am besten per E-Mail unter henning@alepa.de.\n\nIf you have any further questions and/or would like to arrange a viewing appointment, please do not hesitate to contact Mr. Henning. The best way to reach him is by e-mail at henning@alepa.de.'];;5;showqualicontactform;2009;7;;;448;157;;;
2020-05-24 21:18:31.115600;Berlin;self_contained_central_heating;ONE_YEAR_FREE;446752;n;n;https://pictures.immobilienscout24.de/listings/eba1dbf1-29bc-4452-97f6-c6edc63cf5f2-1325579016.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;3;10.95;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;10.95;113918376;gas;n;false;MagentaZuhause L;y;Berlin;n;7;no_information;energy_consumption;6.54;88;Berlin;10405;no_information;no_information;NO_INFORMATION;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10405;3;86.1;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.446752;399000;profile0;3;true;n;n;n;Prenzlauer_Berg_Prenzlauer_Berg;113918376;4;Berlin;/expose/113918376;['Die Immobilie befindet sich im Berliner Stadtteil Prenzlauer Berg im beliebten Winsviertel. Die Sanierungen des Altbaubestandes und Verbesserungen öffentlicher Flächen und Einrichtungen haben deutlich zur Attraktivität dieser Lage beigetragen. Darüber hinaus ist der Bezirk für sein ausgeprägtes Nachtleben mit einer Vielzahl von Kneipen, Cafés und Restaurants bekannt.'];;;;;;;;;;;;
2020-05-24 21:18:31.449935;Berlin;;ONE_YEAR_FREE;17174552;n;y;https://pictures.immobilienscout24.de/listings/922fb722-39d9-43e6-80e5-e7b7a1b26cce-1369458119.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;8;12.7;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;12.7;111659982;gas;n;true;MagentaZuhause L;n;Berlin;y;4;no_information;energy_consumption;7.59;67.64;Berlin;13409;no_information;no_information;;false;100 MBit/s;no_information;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;13409;2;183;n;2,active;true;Deutschland;premium;100 MBit/s;wohnung_kauf;y;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01007947300;179000;profile0;2;true;n;n;n;Reinickendorf_Reinickendorf;499056;3;Berlin;/expose/111659982;"['PROVISIONSFREI !\r\nUnter 3.000 €/m² !\r\n\r\nDie 19  gut vermieteten Wohneinheiten setzen sich aus 2-, 3-, und 4-Zimmer-Wohnungen zusammen. Alle Wohnungen verfügen über eine Loggia und ein Kellerabteil. Die Wohnungen sind zwischen 67 m2 und 138 m2 groß und bieten Paaren und Familien viel Platz. Der Bezirk Reinickendorf soll zwischen 2015 und 2030 laut Bevölkerungsprognosen um 9,4 % wachsen – und liegt damit sogar über dem Wert, der für Gesamt-Berlin vorausgesagt wird. Insbesondere Paare, junge Familien aber auch Senioren interessieren sich für den von Wäldern und Gewässern geprägten Bezirk. Wo urig auf modern und Alt-Berliner auf Kosmopolit trifft, da ist der Reinickendorfer zu Hause. Aber nicht nur Letzterer liebt seinen Bezirk. Berliner aus allen Teilen der Stadt zieht es regelmäßig in den schönen Nordosten, wo viel Natur mit allerlei Freizeitmöglichkeiten lockt.\r\n\r\nDie 2–4-Zimmer-Wohnungen in der Reginhardstraße bieten das, was diese Zielgruppen sich wünschen:\r\nRuhiges Wohnen mit guter Infrastruktur und vielen Naherholungsangeboten. Hier lohnt es sich, zu investieren!', '• 2-Zimmer-Wohnung\r\n\n• Ca. 67,64 m²\r\n• Loggia\r\n\n• Keller\n\r\n• Außenstellplätze optional (10.000 €)', 'Dinge des täglichen Bedarfs sind hier schnell besorgt: Supermärkte wie Rewe, Edeka und Penny liegen in der Nachbarschaft und Bankfilialen, Ärzte, Apotheken, Drogeriemärkte uvm. finden sich an der Residenzstraße, fußläufig in zehn Minuten erreichbar. Auch Kitas, Grund- und Oberschulen (wie z. B. das Europäische Gymnasium Bertha-von-Suttner) befinden sich in der unmittelbaren Umgebung.\r\n\r\nAuch mit der Anbindung an den öffentlichen Nahverkehr kann die Lage punkten: zu den U-Bahn-Stationen ""Residenzstraße"" und ""Franz-Neumann-Platz"" läuft man lediglich ca. 10 Minuten, und mit der U8 ist der Alexanderplatz in 13 Minuten erreicht. Die S-Bahn-Station ""Schönholz"" ist zehn Gehminuten entfernt – die S1 bringt einen in 20 Minuten zum Potsdamer Platz, und mit den Pendlerbahnen ist jede Arbeitsstelle nur einen Katzensprung entfernt.']";disabled;;showqualicontactform;1992;5;15;true;;;;;
