timestamp;obj_regio1;obj_heatingType;ga_cd_via_qualified;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_yearConstructed;obj_telekomInternetType;obj_pricetrendbuy;obj_scoutId;obj_noParkSpaces;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_rentSubsidy;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_floor;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_numberOfFloors;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_groupnumber;evt_count_pm_sig;obj_energyEfficiencyClass;obj_usableArea;obj_lastRefurbish;obj_galleryAd;obj_telekomHybridUploadSpeed;obj_telekomHybridDownloadSpeed;obj_project_id;obj_nbp
2020-05-24 21:22:37.600584;Berlin;self_contained_central_heating;true;ONE_YEAR_FREE;15333187;n;y;https://pictures.immobilienscout24.de/listings/ad52e65d-cf3d-43fd-8209-37c09788c309-1299760196.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;11;11.93;40 MBit/s;telekom_layer_magenta_l;über VDSL;1930;REGULAR;11.93;111758851;1;gas;n;false;MagentaZuhause L;y;Berlin;y;5;1;215.64;116;energy_consumption;5.87;61.61;Berlin;12487;no_information;no_information;false;100 MBit/s;outside;Sterndamm;n;https://padlock.link/ioml;https://padlock.link/ml;Sterndamm;apartment;12487;2.5;149.9;n;2,active;true;Deutschland;premium;100 MBit/s;wohnung_kauf;n;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.15281088;213663;profile0;5;2;true;n;n;n;Johannisthal_Treptow;5729;3;Berlin;/expose/111758851;['Im Jahr 1928 entstand am Sterndamm 114/116 ein viergeschossiger Wohntrakt mit Satteldach und Rundbogen-Loggien in den oberen Etagen. In den zwei Aufgängen befinden sich 26 Wohneinheiten mit einer Größe von 33,2 m²- 74,93 m² mit 1, 5 - 3,5 Zimmern. Die Dachgeschossflächen werden zu Wohnzwecken ausgebaut. Die Baugenehmigung liegt vor. Die Loggia ist nach Nord/Westen ausgerichtet und hat einen unverbaubaren Blick ins Grüne.\nDie beispielhaften Wohnungsbilder sollen lediglich die Bausubstanz und Ausstattung anzeigen. Der tatsächliche Zustand der einzelnen Wohnungen variiert. Aktuell verfügt das Objekt über 11 PKW-Stellplätze. Nach Verfügbarkeit kann zu jeder Wohnung ein Stellplatz erworben werden. Der Kaufpreis beträgt 10.000,00 € .', 'Gaszentralheizung Sterndamm 116\nGaszentralheizung Sterndamm 114 wird installiert', 'Der Sterndamm ist im grünen Bezirk Treptow-Köpenick im Ortsteil Johannisthal gelegen. Er verbindet  Niederschöneweide und Johannisthal und mündet in die Stubenrauchstraße, welche über den Teltowkanal nach Rudow führt. Im direkten Umfeld finden sie hier auch noch viele Einfamilienhäuser und zur Erholung lädt sie die, in ca. einem Kilometer Entfernung gelegene, Königsheide ein. Einkaufsmöglichkeiten, Schulen, Kindergarten finden sie in der unmittelbaren Umgebung. Die Anbindung an den öffentlichen Nahverkehr ist sehr gut. Der S- und Regionalbahnhof Schöneweide und die Stadtautobahn A 113 befinden sich jeweils in ca. 2 Kilometer Entfernung und die Bushaltestelle der Linien 160 und M 11 ist ca. 150 Meter entfernt.', 'Für weitere Informationen oder Terminvereinbarungen steht Ihnen das Team der MAKSIM gerne telefonisch oder per E-Mail zur Verfügung. Eine Gewähr für die Richtigkeit kann durch die Firma Maksim Immobiliengesellschaft mbH nicht übernommen werden.'];;;;;;;;;;
2020-05-24 21:22:38.139576;Berlin;central_heating;;ONE_YEAR_FREE;16677860;n;y;https://pictures.immobilienscout24.de/listings/86a318b7-0fe0-4b5e-958c-f057a9beabc2-1296919877.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;10.87;40 MBit/s;telekom_layer_magenta_l;über VDSL;1910;REGULAR;10.87;111718572;;no_information;n;false;MagentaZuhause L;y;Berlin;n;7;1;186.69;19;energy_consumption;5.63;86.2;Berlin;12161;well_kept;no_information;false;100 MBit/s;no_information;"Rheingaustra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Rheingaustraße;apartment;12161;3;87.5;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.b91b88e3-9ba2-49d7-bfd5-e0e1ba0ca04e;379000;profile0;4;3;true;n;n;n;Friedenau_Schöneberg;B10013/WE12;4;Berlin;/expose/111718572;['Es handelt sich hierbei um eine vermietete ca. 86m² große Dreizimmerwohnung im 3. Obergeschoss des Vorderhauses. Sie ist Teil eines Wohnhauses und überzeugt mit einem komfortablen Schnitt.\n\nBereits beim Betreten der Wohnung lässt sich feststellen, dass es sich hierbei um eine geräumige Wohnung handelt, die mit Ihrem Altbaucharmé besticht. Vom Eingangsbereich gelangt man zur Rechten in das tagesbelichtete Wannenbad. Neben befindet sich der Küchenbereich, der über eine zusätzliche Speisekammer verfügt. Gegenüber führt der Flur in das erste Zimmer, das über einen direkten Zugang zum Balkon verfügt. Die beiden übrigen Schlafzimmer sind ebenfalls separat vom Flur begehbar.', 'Berlin-Friedenau: \n\nZwischen Schöneberg und Steglitz zählt der Bezirk Friedenau für den wohlhabenden und liberal-intellektuellen Wohnungssuchenden bisweilen zu den begehrtesten Wohnlagen Westberlins. Diese Gegend lädt aufgrund seines entspannten Lebensstils und der zahlreich vorhandenen Kultur-und Freizeitmöglichkeiten zum Wohlfühlen ein. \n\nDie Fregestraße ist eine Abzweigung der Hauptstraße, welche sowohl eine optimale Anbindung in den Norden- als auch in den Süden Berlins verspricht. Diese wird einerseits durch die naheliegende Stadtautobahn und andererseits durch den fußläufig zu erreichenden U-Bahnhöfe Friedrich-Wilhelm-Platz, bzw. Rüdesheimer Platzunterstützt.\n\nDie Anwohner und Gäste können unmittelbar die Bedürfnisse des alltäglichen Lebens befriedigen, sich gleichzeitig in zahlreichen Cafés und Restaurants entspannen oder durch die knapp 150 Meter entfernten Ceciliengärten flanieren. \nAußerdem bietet der zweiminütig entfernte Breslauer Platz, direkt vor dem Theater Morgenstern, einen zentralen Treffpunkt der Nachbarschaft, auf dem ein wöchentlich stattfindender Markt zum Einkaufen und stöbern verführt.', 'Die im Exposé angegebene Miete (385EUR) ist die Bruttomiete. Die Nettokaltmiete beträgt 305,28 EUR.\n\nDie Wohnung ist seit 2008 vermietet und somit als vermietete Kapitalanlage geeignet.'];1;showqualicontactform;;;;;;;;
2020-05-24 21:22:38.499972;Berlin;;;ONE_YEAR_FREE;16273579;n;y;https://pictures.immobilienscout24.de/listings/49432e01-db48-42e7-8817-76313d75df5b-1361259983.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;22;11.85;10 MBit/s;telekom_layer_magenta_m;über VDSL;1995;REGULAR;11.85;111780665;;gas;n;false;MagentaZuhause M;y;Berlin;n;7;5;551.66;no_information;energy_consumption;6.66;100.6;Berlin;12349;no_information;no_information;false;50 MBit/s;no_information;no_information;n;https://padlock.link/iomm;https://padlock.link/mm;no_information;apartment;12349;4;217;n;2,active;true;Deutschland;standard;50 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.15952887;399000;profile0;;4;true;n;n;n;Buckow_Neukölln;383;4;Berlin;/expose/111780665;['Die „Parksiedlung Spruch“ in Berlin-Mariendorf – an der Ortsteilgrenze zu Buckow gelegen – ist eine grüne Wohlfühl-Oase inmitten der Hauptstadt!\n\nDie „Parksiedlung Spruch“ lädt zum Verweilen und Entspannen ein. Hier gibt es keine Hektik und keinen Lärm. Abseits des Straßenverkehrs werden die Häuser der verkehrsberuhigten Siedlung über Privatstraßen erschlossen. Hier gibt es keinen Durchgangsverkehr.', 'Das moderne Gebäude ist zeitgemäß ausgestattet.\n\nDie 4-Zimmer-Wohnung verfügt über Parkett und Fußbodenheizung und ist zweckmäßig geschnitten. Die Küche und das Bad sind weiß gefliest und modern ausgestattet. Durch die großen Fenster sind alle Räume hell belichtet. Außerdem besitzt die 100,6 m² große Wohnung eine große Terrasse, die mit ihrem schönen Ausblick zum Verweilen einlädt.\n\nDas Haus verfügt über einen direkten Zugang zu einer Tiefgarage. Zu dieser Einheit können Sie einen Tiefgaragen-Stellplatz (€ 24.900,00 je Stück) oder einen Außenstellplatz (€ 19.900,00 je Stück) erwerben.', 'Eine große Auswahl an Einkaufsmöglichkeiten des täglichen Bedarfs sind an dem nahe gelegenen Mariendorfer Damm zu finden.Das Sommerbad Mariendorf befindet sich neben der Parksiedlung.', 'Diese Wohnung ist vertragsfrei und steht für eine Eigennutzung zur Verfügung. \n\nDie Instandhaltungsrücklage für die gesamte Siedlung (Wohnhäuser und Tiefgarage) belief sich zum Jahresende 2017 auf € 1,574 Mio.\n\nAlle Angaben beruhen auf den Auskünften des Eigentümers, wir übernehmen dafür keine Gewähr. Zwischenverkauf / Änderung / Irrtum vorbehalten.'];;;G;;;;;;;
2020-05-24 21:22:38.899082;Berlin;central_heating;;ONE_YEAR_FREE;463515;n;y;https://pictures.immobilienscout24.de/listings/2cca426e-7265-4718-b2bc-d0669e4da145-1343074099.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;12;7.89;40 MBit/s;telekom_layer_magenta_l;über VDSL;1976;REGULAR;7.89;111694264;1;oil;y;false;MagentaZuhause L;y;Berlin;y;10;3;930;no_information;energy_required;3.38;95;Berlin;14193;well_kept;sophisticated;false;100 MBit/s;garage;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;14193;3;205;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.463515;888000;profile0;2;3;true;y;n;n;Grunewald_Wilmersdorf;111694264;4;Berlin;/expose/111694264;"['Die Wohnung befindet sich in einem zwei geschossigem Mehrparteienhaus im I. Obergeschoß. \n\nGepflegte, sanierte 2 - 3 Zimmer Wohnung mit Essecke, Einbauküche, Balkon / große Terrasse, Eichenparkett, großes gefliestes Wannenbad mit Dusche und WC, Gäste WC, Diele. \n\nDie Wohnung eignet sich ideal für zwei Personen. \n\nZur Wohnung gehört eine Garage. \n\nDer tagesbelichtete Souterrain gehört mit ca. 120,00 m² als Hobby - bzw. und Kellerfläche deklariert, zur Wohnung dazu und wurde als Büro genutzt; kann als stilles Gewerbe ohne Publikumsverkehr vermietet werden. Die Deckenhöhe beträgt ca. 2,40 m, helle Räumlichkeiten, Einbauküche neues, gefliestes Bad.', 'Parkett, gefliestes Bad, gefliestes Gäste-WC, Terrasse / Balkon, Einbauküche mit Eßplatz, Garten, \nSchwimmbad\nGarage', 'Rosenecknah, dicht Blaus-Weiss-Tennisclub, Bus, Einkaufsmöglichkeiten, Grunewald, Schulen und Kitas sind in fußläufiger Nähe erreichbar; nur wenige Fahrminuten bis zum Halensee', 'Besichtigung : \nFrau Natalia Perazic 0172 396 53 33']";4;showqualicontactform;;120;2014;;;;;
2020-05-24 21:22:39.360591;Berlin;gas_heating;true;ONE_YEAR_FREE;362872;n;n;https://pictures.immobilienscout24.de/listings/f88bbf52-9741-4e98-80f4-20fb972f6456-1346519568.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;11.48;40 MBit/s;telekom_layer_magenta_l;über VDSL;1901;REGULAR;11.48;111758112;;gas;n;true;MagentaZuhause L;y;Berlin;n;5;1;128.69;54;energy_required;7.14;47.94;Berlin;10249;fully_renovated;no_information;false;100 MBit/s;no_information;"Ebertystra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Ebertystraße;no_information;10249;1;149.2;n;2,active;true;Deutschland;schaufenster;100 MBit/s;wohnung_kauf;y;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.362872;221200;profile0;;1;true;n;n;n;Friedrichshain_Friedrichshain;3144/WE2;2;Berlin;/expose/111758112;['Dank der abgeschlossenen Renovierungsarbeiten profitiert der 4-geschossige Altbau aus dem Jahr 1901 von einer umfassenden Aufwertung: die Fassade hat einen neuen Anstrich erhalten, die Holzfenster als auch die Treppenhäuser inklusive der Wand- und Deckenleuchten sowie der Eingangstüren wurden überarbeitet und die Außenanlagen wurden umgestaltet. So wurden u.a. Fahrradstellplätze in das Außenkonzept integriert. Abschließend wurden Balkone im Hinterhaus angebracht.\n\nDie Wohneinheit befindet sich im Erdgeschoss des Vorderhauses und ist aufgrund ihres kompakten Grundrisses vor allem für Singles attraktiv. Das Tageslichtbad mit Badewanne und die geräumige Küche mit Blick in den Innenhof sorgen für Wohlfühlkomfort, das großzügige Zimmer bietet Platz zum Wohnen und Schlafen.', 'Mehrfamilienhaus aus dem Jahr 1901\nRenovierung des Gemeinschaftseigentums\ngespachtelte Wände \nTageslichtbad mit Badewanne\nFahrradstellplatz\n', 'Im Norden von Friedrichshain, in einer ruhigen Seitenstraße der Landsberger Allee gelegen, befindet sich das Objekt nur unweit des gleichnamigen Volksparks entfernt. Ob Joggen im Park, Erholung auf einer der weitläufigen Grünflächen oder Familienausflüge zu einer der vielen Spiel- und Sportplätze – in dieser beliebten Freizeitoase kommen sowohl Groß und Klein auf ihre Kosten. Auch das nähere Umfeld bietet neben einer guten Nahversorgung mit einladenden Cafés und Restaurants ein abwechslungsreiches Angebot und ist bei jungen Berlinern wie bei Alteingesessenen Anwohnern gleichermaßen beliebt. Dank der exzellenten Verkehrsanbindung über Tram und S-Bahn (Ringbahn Landsberger Allee) sind die pulsierenden Kieze der Stadt schnell erreicht. Mit dem Velodrom – einer der größten Veranstaltungshallen Berlins mit Schwimmhalle und Radrennbahn – sowie dem Freiluftkino Friedrichshain befinden sich zudem zwei beliebte Attraktionen in der Nähe, die eine vielseitige Freizeitgestaltung ermöglichen. Mehrere Schulen und Kindergärten sowie ein Spiel- und Sportplatz machen die Lage ebenfalls sehr familienfreundlich. '];;showqualicontactform;E;;;disabled;;;;
2020-05-24 21:22:39.783049;Berlin;central_heating;;ONE_YEAR_FREE;16683622;n;n;https://pictures.immobilienscout24.de/listings/cec1f95d-76df-4c3d-baf1-67194e7a5fc0-1297658726.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;3;15.51;2,4 MBit/s;telekom_layer_magenta_m_hybrid2;über Hybrid;1994;WITH_HYBRID;15.51;108371493;1;gas;y;true;MagentaZuhause M Hybrid (2);y;Berlin;y;7;5;398.91;no_information;energy_consumption;8.41;88.09;Berlin;10715;well_kept;normal;false;16 MBit/s;underground_garage;no_information;y;https://padlock.link/mmh2sa;https://padlock.link/mmhy2;no_information;apartment;10715;3;145;n;2,active;true;Deutschland;top;50 MBit/s;wohnung_kauf;y;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd;true;002.01007505384;350000;profile0;6;3;true;n;n;n;Wilmersdorf_Wilmersdorf;43080107-00101;4;Berlin;/expose/108371493;['Die angebotene Wohnung befindet sich im 1994 errichteten Gebäudeteil einer gepflegten Wohnanlage mit 31 Wohneinheiten. Sie ist im ersten 1. Obergeschoss gelegen und verfügt über einen nach Süden ausgerichteten Wintergarten, der von zwei Zimmern aus erreichbar ist. Ein moderner, funktional gut geschnittener Grundriss und ein Tiefgaragenstellplatz unterstreichen die Qualität dieses Wohnungsangebotes.\r\n\r\n\r\n360°-Besichtigung\r\n\r\nDamit Sie einen umfassenden Eindruck von der Immobilie gewinnen können, haben wir für Sie eine virtuelle 360°-Besichtigungstour eingerichtet. Gerne können Sie diese nach Anfrage mit vollständigen Kontaktdaten und entsprechender Legitimierung ansehen.', 'Barrierefreier Wohnungszugang, beheizter Wintergarten, teilweise bodentiefe Fenster und verglaste Zimmertüren, Küche mit Essbereich', 'Die Wohnung liegt unweit des Volksparks Wilmersdorf in der Nähe des Bundesplatzes. Schulen, Einkaufsmöglichkeiten und öffentliche Verkehrsmittel sind vor Ort vorhanden und in wenigen Minuten zu Fuß erreichbar.', 'Gerne stehen wir für weitere Informationen zur Verfügung oder vereinbaren mit Ihnen bei Interesse einen individuellen Besichtigungstermin.\r\n\r\nAuf Wunsch erstellen die Finanzierungsexperten der Postbank Ihnen ein unverbindliches Finanzierungsangebot.\r\n\r\nBitte haben Sie Verständnis dafür, dass wir im Sinne unserer Auftraggeber nur nach Übermittlung Ihrer vollständigen Kontaktdaten weitere Informationen bereitstellen oder Besichtigungstermine nach Legitimation vereinbaren können. Die enthaltenen Angaben stammen vom Eigentümer und Auftraggeber, es wird keinerlei Gewähr oder Haftung übernommen.'];;showqualicontactform;;;;;10 MBit/s;50 MBit/s;;
2020-05-24 21:22:40.247545;Berlin;district_heating;;ONE_YEAR_FREE;97549;n;n;https://pictures.immobilienscout24.de/listings/a2765905-57e1-4c80-9fdf-6f6b8b39d2f1-1296957508.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;6;11.73;40 MBit/s;telekom_layer_magenta_l;über VDSL;1926;REGULAR;11.73;111721307;;no_information;n;false;MagentaZuhause L;y;Berlin;n;7;1;;18 A;;5.75;74;Berlin;12157;no_information;no_information;false;100 MBit/s;no_information;"Sch&ouml;nhauser Stra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Schönhauser_Straße;apartment;12157;3;;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.97549;329000;profile0;;3;true;n;n;n;Steglitz_Steglitz;Schönhauser18-6;3;Berlin;/expose/111721307;['Der denkmalgeschützte Altbau ist gepflegt.', '- Bad mit Fenster\n- vermietet\n- 1. Obergeschoss', 'Unweit vom Objekt befindet sich der Insulaner mit mehreren Freizeitangeboten, der Walther-Schreiber-Platz und die Schloßstraße die mit allem ausgestattet ist was die Shoppingwelt zu bieten hat.\nIn der unmittelbaren Umgebung gibt es Schulen und auch zur Uni ist es nicht weit.', 'Die monatliche Nettokaltmiete beträgt 536,76 €.'];0;showqualicontactform;;;;;;;;
2020-05-24 21:22:40.613277;Berlin;district_heating;;ONE_YEAR_FREE;97549;n;n;https://pictures.immobilienscout24.de/listings/5c21ad70-920e-4f92-bf9d-a787a191049b-1296964802.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;6;11.73;40 MBit/s;telekom_layer_magenta_l;über VDSL;1926;REGULAR;11.73;111721881;;no_information;n;false;MagentaZuhause L;y;Berlin;n;7;1;;18 A;;5.75;80.51;Berlin;12157;no_information;no_information;false;100 MBit/s;no_information;"Sch&ouml;nhauser Stra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Schönhauser_Straße;apartment;12157;3;;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.97549;379000;profile0;;3;true;n;n;n;Steglitz_Steglitz;Schönhauser18-8;3;Berlin;/expose/111721881;['Der denkmalgeschützte Altbau ist gepflegt.', '- Bad mit Fenster\n- vermietet\n- 2. Obergeschoss', 'Unweit vom Objekt befindet sich der Insulaner mit mehreren Freizeitangeboten, der Walther-Schreiber-Platz und die Schloßstraße die mit allem ausgestattet ist was die Shoppingwelt zu bieten hat.\nIn der unmittelbaren Umgebung gibt es Schulen und auch zur Uni ist es nicht weit.', 'Die monatliche Nettokaltmiete beträgt 649 €.'];0;showqualicontactform;;;;;;;;
2020-05-24 21:22:40.982788;Berlin;central_heating;;ONE_YEAR_FREE;462306;n;n;https://pictures.immobilienscout24.de/listings/759a9898-83c0-4403-8db9-0b47fa679bb0-1363536804.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;6;10.73;40 MBit/s;telekom_layer_magenta_l;über VDSL;1995;REGULAR;10.73;111753196;;gas;n;false;MagentaZuhause L;y;Berlin;y;2;5;166;no_information;energy_consumption;4.8;28.99;Berlin;12524;well_kept;no_information;false;100 MBit/s;underground_garage;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;no_information;12524;1;77;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.462306;98500;profile0;;1;true;y;n;n;Altglienicke_Treptow;0-5360;1;Berlin;/expose/111753196;['Ansprechende Wohnanlage auf einem großen Eckgrundstück errichtet, bestehend aus zwei Gebäuden mit vier Aufgängen und insgesamt 131 Einheiten sowie 66 Tiefgaragenplätzen. Zum Verkauf steht auch ein TG-Platz einer Vierplatzhubgarage mit eigenem Grundbuch. Aktuell ist dieser nicht vermietet, kann aber lt. Hausverwaltung monatlich 30,- EUR Mietertrag erzielen. Zusätzliche Wohnqualität bietet der parkähnliche Gemeinschaftsgarten. Insgesamt augenscheinlich ordentlicher Instandhaltungs- und Pflegezustand. Das vermietete Einzimmerapartment gefällt mit modernem Grundriss, angenehmen Lichtverhältnissen und ruhiger Ausrichtung. Vom Mieter seit 2014 gern bewohnt beträgt seit dem die Nettokaltmiete 300,00 EUR zzgl. 80,00 EUR Betriebs- und Heizkosten monatlich. Vom Eingangsflur mit praktischer Staunische geht rechterhand das innenliegende Duschbad mit Lüftung und zeitgemäßer Ausstattungsgüte ab. An das großzügig bemaßte Zimmer mit Laminatboden schließt ein kleiner, offen gestalteter Küchenbereich mit Einbaumöbeln, E-Herd und Spüle an. Auf ca. 18,0 m² Fläche im Wohnraum lassen sich bei einer beachtlichen Deckenhöhe von ca. 3,75 m ideal die Lebensbereiche Wohnen und Schlafen, und sogar ein Arbeitsplatz, vereinen. Der Einbau einer Schlafebene erscheint problemlos möglich und würde zusätzlichen Wohnkomfort bringen. Zwei große Fensterelemente, die Lage im 3. Stock und der schöne Weitblick in die durchgrünte Nachbarschaft, erzeugen ein angenehmes Wohnklima. Moderne Kapitalanlage in lebenswerter Lage mit gutem Vermietungspotenzial. Weitere Details übersenden wir Ihnen gern in unserem ausführlichen Exposé.\n\n\nAnbieter-Objektnummer: 4501a', 'Durchgrünte Nebenstraße in beliebter Stadtrandlage im Südosten Berlins mit alltagsfreundlicher Infrastruktur und komfortabler ÖPNV-Anbindung. In einem Radius von ca. zehn Fußminuten verkehren mehrere Busse (163, 263, 363) und S-Bahnlinien (S8, 45, 46, 85) am nahen S-Bahnhof Grünau. Dadurch gute Cityanbindung (z. B. ca. 40 Minuten zum Alex). Diverse Einkaufsmöglichkeiten des täglichen Bedarfs bieten in gleicher Entfernung eine praktische Nahversorgung. Durch die nahen S-Bahnhöfe besteht zudem eine perfekte Erreichbarkeit des Medien- und Wissenschaftsstandortes Adlershof (nur eine Station) und zum Flughafengelände Schönefeld, was das Vermietungspotential steigert. Auch mit dem Auto sind Sie bestens unterwegs. A113 und 117 sowie B96a und B 179 liegen in unmittelbarer Umgebung und ermöglichen einen hervorragenden Transfer in alle Richtungen. So z. B. ca. 35 Minuten Fahrzeit zur City-Ost. Das lebenswerte Standortprofil wird durch die Nähe zu den beliebten Ausflugszielen des Nachbarbezirkes Köpenick, wie Müggelsee und Dahme, abgerundet. Ruhe, viel Grün, guter Anschluss und komfortable Nahversorgung. Weitere Details übersenden wir Ihnen gern in unserem ausführlichen Exposé.\n\n'];;;C;;;disabled;;;;
2020-05-24 21:22:41.316472;Berlin;central_heating;;ONE_YEAR_FREE;17174552;n;y;https://pictures.immobilienscout24.de/listings/9d4875c2-eccd-41aa-a24c-01ddcefc34b3-1361062537.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;5;13.06;40 MBit/s;telekom_layer_magenta_l;über VDSL;1967;REGULAR;13.06;111659577;;gas;n;true;MagentaZuhause L;n;Berlin;n;4;2;;no_information;energy_consumption;6.49;64.8;Berlin;13409;well_kept;no_information;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;13409;2;127;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;4;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01007947300;185000;profile0;4;2;true;n;n;n;Reinickendorf_Reinickendorf;498943;3;Berlin;/expose/111659577;"['PROVISIONSFREI ! \r\nUnter 3.000 €/m² !\r\n\r\nDie 20 Wohneinheiten setzen sich aus 2- und 3-Zimmer-Wohnungen zusammen. Alle Wohnungen verfügen über eine Loggia und ein Kellerabteil. Die Wohnungen sind zwischen 58 m2 und 83 m2 groß und bieten Paaren und Familien viel Platz. Der Bezirk Reinickendorf soll zwischen 2015 und 2030 laut Bevölkerungsprognosen um 9,4 % wachsen – und liegt damit sogar über dem Wert, der für Gesamt-Berlin vorausgesagt wird. Insbesondere Paare, junge Familien aber auch Senioren interessieren sich für den von Wäldern und Gewässern geprägten Bezirk. Wo urig auf modern und Alt-Berliner auf Kosmopolit trifft, da ist der Reinickendorfer zu Hause. Aber nicht nur Letzterer liebt seinen Bezirk. Berliner aus allen Teilen der Stadt zieht es regelmäßig in den schönen Nordosten, wo viel Natur mit allerlei Freizeitmöglichkeiten lockt.\r\n\r\nDie 2–3-Zimmer-Wohnungen in der Reginhardstraße bieten das, was diese Zielgruppen sich wünschen:\r\nRuhiges Wohnen mit guter Infrastruktur und vielen Naherholungsangeboten. Hier lohnt es sich, zu investieren!', '• Baujahr 1967 bzw. 1992 \r\n• 2-Zimmer-Wohnungen\r\n\n• Ca. 64,8 m²\r\n• Loggia\r\n\n• Keller\n\r\n• Außenstellplätze (optional)', 'Dinge des täglichen Bedarfs sind hier schnell besorgt: Supermärkte wie Rewe, Edeka und Penny liegen in der Nachbarschaft und Bankfilialen, Ärzte, Apotheken, Drogeriemärkte uvm. finden sich an der Residenzstraße, fußläufig in zehn Minuten erreichbar. Auch Kitas, Grund- und Oberschulen (wie z. B. das Europäische Gymnasium Bertha-von-Suttner) befinden sich in der unmittelbaren Umgebung.\r\n\r\nAuch mit der Anbindung an den öffentlichen Nahverkehr kann die Lage punkten: zu den U-Bahn-Stationen ""Residenzstraße"" und ""Franz-Neumann-Platz"" läuft man lediglich ca. 10 Minuten, und mit der U8 ist der Alexanderplatz in 13 Minuten erreicht. Die S-Bahn-Station ""Schönholz"" ist zehn Gehminuten entfernt – die S1 bringt einen in 20 Minuten zum Potsdamer Platz, und mit den Pendlerbahnen ist jede Arbeitsstelle nur einen Katzensprung entfernt.']";20;showqualicontactform;;;;disabled;;;;
