timestamp;obj_regio1;obj_heatingType;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_yearConstructed;obj_telekomInternetType;obj_galleryAd;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_rentSubsidy;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;obj_energyEfficiencyClass;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_groupnumber;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_floor;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_numberOfFloors;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;evt_count_pm_sig;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_noParkSpaces;obj_lastRefurbish;obj_telekomHybridUploadSpeed;obj_telekomHybridDownloadSpeed;obj_usableArea;ga_cd_developer_virtualreality
2020-05-30 19:23:52.275076;Berlin;central_heating;ONE_YEAR_FREE;17076257;n;n;https://pictures.immobilienscout24.de/listings/f083a35a-c93d-439e-91e9-f62bf0407f0f-1369914823.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;8;16.54;40 MBit/s;telekom_layer_magenta_l;über VDSL;1900;REGULAR;disabled;16.54;118494483;district_heating;n;false;MagentaZuhause L;y;Berlin;y;5;1;310.16;39;energy_consumption;8.84;55.4;Berlin;12051;need_of_renovation;normal;F;false;100 MBit/s;no_information;"Silbersteinstra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Silbersteinstraße;apartment;12051;2;190;n;12345;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01007851690;210000;profile0;4;2;true;n;showqualicontactform;n;n;Neukölln_Neukölln;SIHE-08;2;Berlin;/expose/118494483;"['In der Silbersteinstraße, Ecke Hertastraße, bieten wir eine bezugsfreie 3-Zimmer-Wohnung im Erdgeschoss an.', 'WE 08:\n\n● 3.OG im Vorderhaus\n● Balkon\n● bezugsfrei\n● 2 Zimmer-Wohnung \n● Holzfenster', 'Im bunten Treiben des In-Bezirks Neukölln finden sich eine Vielzahl an Restaurants und Bars, ebenso wie Cafés, in der nahen Umgebung. \nGeschäfte des täglichen Bedarfs sind wie die Anschlüsse an den ÖPNV fußläufig zu erreichen. Der Körnerpark bietet in Laufnähe einen Platz zur Erholung im Grünen.\n\nÖPNV:\nS+U Hermannstraße (S41, S42, S46, S47 + U8) 5 Minuten Fußweg\nBus 246, 370 ""S+U Hermannstr./Silbersteinstr."" 3 Minuten Fußweg']";;;;;;
2020-05-30 19:23:52.592175;Berlin;no_information;ONE_YEAR_FREE;174522;n;y;https://pictures.immobilienscout24.de/listings/4abd97c8-57a6-41f8-9e26-6aa47edf44ea-1371170554.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;11;11.73;40 MBit/s;telekom_layer_magenta_l;über VDSL;;REGULAR;disabled;11.73;118749740;;y;true;MagentaZuhause L;y;Berlin;n;9;;;no_information;;5.75;110;Berlin;12165;no_information;no_information;;false;100 MBit/s;underground_garage;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;12165;4;;n;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.174522;649000;profile0;;4;true;n;showqualicontactform;n;n;Steglitz_Steglitz;118749740;5;Berlin;/expose/118749740;['Diese Wohnung fasziniert mit einer familienfreundlichen und teilweise offenen Raumstruktur. Das Entree geht in den Wohn- und Essbereich über, der sich der großen Einbauküche und Loggia öffnet. Daneben hat das große Badezimmer neben dem Schlafzimmer eine ideale Grundrissposition für die Eltern. Durch eine kleine Diele vom Wohn- und Essbereich abgetrennt eignet sich der Seitentrakt aus zwei Zimmern und Bad sehr gut für Kinder. Oder aber hier werden Gäste untergebracht und ein Arbeitszimmer eingerichtet. Charaktervolle Akzente gehen von den durchgängig verlegten Holzböden aus.\nDie zeitgemäße Küche und gepflegten Bäder wurden mit weißen Fliesen klassisch gestaltet. Das größere Badezimmer enthält u.a. eine Wanne. Inklusive Personenaufzug und zwei Tiefgaragenplätzen ist diese Wohnung bestens für das Familienleben, aber auch Senioren ausgestattet.\nDie architektonische Aufmachung dieser Wohnung verdient Lob. Hier können Sie auf großzügiger und lichtdurchfluteter Fläche wohnen sowie die vielfältige Attraktivität des Steglitzer Zentrums bequem ausschöpfen. \n\nEin Energieausweis ist nicht vorhanden.', 'Sie möchten den Marktwert Ihrer Immobilie wissen oder Ihre Immobilie verkaufen? Wir sind seit 1995 erfolgreich im Verkauf von Immobilien in Berlin, Potsdam und Umgebung tätig. Unsere exzellenten Eigentümerbewertungen sprechen für sich.\n\n•\tOftmals haben wir schon den richtigen Käufer für Ihre Immobilie in unserer Kartei\n•\tWir sind Bellevue Best Property Agent und Mitglied in den Verbänden IVD & FIABCI\n•\tWir benötigen keinen schriftlichen Alleinauftrag\n•\tKosten entstehen Ihnen bei uns keine\n•\tUnsere Spezialisten stehen Ihnen gerne für ein erstes – für Sie unverbindliches - Gespräch zur Verfügung\n\nWir freuen uns über Ihre Kontaktaufnahme unter einkauf@immoberlin.de oder (030) 895 72 20.\nBitte besuchen Sie auch unsere Website: \nhttps://www.immoberlin.de'];1;;;;;
2020-05-30 19:23:52.930663;Berlin;central_heating;ONE_YEAR_FREE;17579682;n;y;https://pictures.immobilienscout24.de/listings/0a285f98-1ab9-4e36-b46f-5cc5fd7cb13d-1371171381.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;13;7.89;40 MBit/s;telekom_layer_magenta_l;über VDSL;1989;REGULAR;;7.89;118749852;oil;y;false;MagentaZuhause L;y;Berlin;y;8;4;359;no_information;energy_required;3.38;110;Berlin;10711;well_kept;normal;;false;100 MBit/s;underground_garage;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10711;3;113;n;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01008304369;419000;profile0;5;3;true;n;showqualicontactform;y;n;Grunewald_Wilmersdorf;43090104-04909;5;Berlin;/expose/118749852;"['Online-Besichtigung jederzeit möglich !\r\n\r\nQual. Alleinauftrag.\r\n\r\nEs handelt sich um eine gepflegte Eigentumswohnung, welche Bestandteil einer WEG mit insgesamt 14 Wohneinheiten ist. Die Anlage wird regelmäßig instand gehalten und präsentiert sich in einem guten Gesamtzustand.\r\n\r\nDie Wohnung befindet sich im 2. Obergeschoss, welche bequem mit dem Fahrstuhl zu erreichen ist.\r\n\r\nRaumaufteilung:\r\n\r\nEingang / Diele mit einem Einbauschrank, Gäste-WC, großes Wohnzimmer mit Zugang zur Loggia, offene Einbauküche mit angrenzendem Essbereich, kleiner Flur, Schlafzimmer mit Zugang zum Balkon, Kinderzimmer, Duschbad \r\n\r\nEin ebenerdiger Garagenstellplatz, welcher im Kaufpreis inkludiert ist, rundet dieses Angebot ab.', 'Die Wohnung verfügt über einen praktischen Grundriss, die vorhandene Loggia kann problemlos als Arbeitszimmer genutzt werden. Die vorhandene Fußbodenheizung und die Klimaanlage  (Schlafzimmer) werten die Wohnung spürbar auf. Die Wohnung an sich macht einen gepflegten Eindruck, jedoch bedarf es einer Renovierung und einer Erneuerung des Parkett-Fußboden.\r\n\r\nDie Wohnung wäre sofort bezugsfrei.', 'Die Wohnung liegt sehr zentral, quasi am ""Kopfe des Ku\'damm"". Die Infrastruktur inkl. Einkaufsmöglichkeiten dürfen daher zurecht als ideal bezeichnet werden. Öffentliche Verkehrsmittel sind ebenfalls unmittelbar vor der Haustür vorhanden.', 'Weitere Informationen und Bildansichten entnehmen Sie bitte unserem Exposé, welches wir Ihnen gerne nach einer vollständig ausgefüllten Kontaktanfrage zur Verfügung zu mailen.\r\n\r\nHINWEIS: Alle Informationen, Bilder und Dateien im Exposé beruhen auf den Informationen und übergebenen Unterlagen der Verkäufer bzw. Dritter. Eine Haftung für die Angaben im Exposé kann deshalb durch uns nicht übernommen werden. Unsere Angebote sind freibleibend und unverbindlich. Zwischenverkauf und Preisänderungen bleiben ausdrücklich vorbehalten.\r\n\r\nAKTUELL: Gerne lassen wir ein auf Ihre Bedürfnisse ausgerichtetes Finanzierungskonzept durch unsere Postbank Finanzierungsspezialisten erstellen. Sprechen Sie uns einfach an.\r\n\r\nVERKAUFSWUNSCH / UNVERBINDLICHE WERTSCHÄTZUNG: Möchten Sie Ihre Immobilie verkaufen? Oder wünschen Sie eine nachhaltige, marktorientierte & kostenlose Wertschätzung? \r\nDann sind wir als kompetenter Bankenmakler Ihr erster Ansprechpartner. Lernen Sie uns kennen, wir freuen uns auf Sie. Gerne stehen wir Ihnen für ein persönliches Kennenlern-Gespräch jederzeit zur Verfügung.']";1;;;;;
2020-05-30 19:23:53.285207;Berlin;central_heating;ONE_YEAR_FREE;174522;n;y;https://pictures.immobilienscout24.de/listings/213058c1-710c-43cf-92af-ce882300e7b6-1371148179.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;14;10.99;40 MBit/s;telekom_layer_magenta_l;über VDSL;1905;REGULAR;disabled;10.99;118746545;natural_gas_light;y;true;MagentaZuhause L;y;Berlin;n;9;1;;no_information;energy_consumption;5.59;145;Berlin;13581;no_information;no_information;D;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;13581;5;121.6;n;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.174522;545000;profile0;;5;true;n;showqualicontactform;n;n;Spandau_Spandau;118746545;6;Berlin;/expose/118746545;['Diese stattliche Quadratmeterzahl teilt sich in fünf große Zimmer, zwei Bäder und eine einladende Wohnküche auf.  Wie überall wurde auf eine sensible Kombination von historischen Elementen und Neueinbauten geachtet. Bereits in den zwei Fluren ist die Hingabe zur Erhaltung der klassischen Bauelemente zu erkennen. Präzise renovierte Holzprofiltüren und Dielenböden können von modernen Downlights belichtet werden. Wohin auch diese repräsentativen Flure führen, jedes Zimmer begeistert mit einem speziellen Charme. Neben der rein geometrischen Großzügigkeit, aufgrund großer Flächen und hoher Decken, faszinieren schöne Details, wie z.B. Holzdielenböden, originale Kastenfenster und Stuckdekore.\nDas Ambiente in allen Zimmern ist auf eine leichte Weise nobel – helle Zimmer mit kultiviertem Interieur für exquisite Stimmungen. Das Ambiente ist auch im großen Bad ansprechend, zumal es taghell und geräumig ist. Zwei Waschbecken und eine Wanne gehören zu der durch-gehend weißen Sanitärausstattung. Sehr zweckmäßig ist, dass es ein Gäste-WC gibt, und dieses obendrein mit einer Dusche ausgestattet ist.  \nVor allem die Bäder sowie die großzügige und gastliche, 2016 neu eingerichtete Küche und zeigen sich innerhalb der charaktervollen Altbauwohnung gelungen integriert. Die Einbauküche ist u.a. mit einem Tresen inklusive Induktions-Kochfeld, einem Backofen, einer Mikrowelle von Siemens und einem Einbauwaschtrockner von AEG ausgestattet. Installiert ist ein Smarthome-System von Innogy, zu dem u.a. zwei Bewegungs- und Rauch-/Alarmmelder sowie vier Unterputz-Dimmer gehören. An allen Heizungen sind intelligente Thermostate montiert.\nEs besteht die Möglichkeit, in der Nähe einen Tiefgaragenstellplatz bzw. einen Pkw-Stellplatz zu mieten.\nDie liebevoll renovierten Zimmer und der sehr gepflegte Zustand ergeben eine äußerst sympathische Wohnung.', 'Sie möchten den Marktwert Ihrer Immobilie wissen oder Ihre Immobilie verkaufen? Wir sind seit 1995 erfolgreich im Verkauf von Immobilien in Berlin, Potsdam und Umgebung tätig. Unsere exzellenten Eigentümerbewertungen sprechen für sich.\n\n•\tOftmals haben wir schon den richtigen Käufer für Ihre Immobilie in unserer Kartei\n•\tWir sind Bellevue Best Property Agent und Mitglied in den Verbänden IVD & FIABCI\n•\tWir benötigen keinen schriftlichen Alleinauftrag\n•\tKosten entstehen Ihnen bei uns keine\n•\tUnsere Spezialisten stehen Ihnen gerne für ein erstes – für Sie unverbindliches - Gespräch zur Verfügung\n\nWir freuen uns über Ihre Kontaktaufnahme unter einkauf@immoberlin.de oder (030) 895 72 20.\nBitte besuchen Sie auch unsere Website: \nhttps://www.immoberlin.de'];;;;;;
2020-05-30 19:23:53.803831;Berlin;no_information;ONE_YEAR_FREE;174522;n;n;https://pictures.immobilienscout24.de/listings/3c0193b8-cd9c-46b6-98d0-f60253baf7ae-1371168606.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;15;10.77;40 MBit/s;telekom_layer_magenta_l;über VDSL;;REGULAR;disabled;10.77;118749406;;n;true;MagentaZuhause L;y;Berlin;n;7;;;no_information;;5.67;48;Berlin;10115;no_information;no_information;;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10115;2;;n;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.174522;312000;profile0;;2;true;n;showqualicontactform;n;n;Mitte_Mitte;118749406;2;Berlin;/expose/118749406;['Diese äußerst adrette, denn vollständig renovierte Wohnung profitiert von der massiven Bausubstanz des Gebäudes sowie der sonnigen Ausrichtung. Das größte Zimmer weist zum baumreichen rückwärtigen Grundstücksbereich. Die geflieste Küche und das kleinere Zimmer haben Fenster zur ruhigen Straße, in der es auch viele Bäume gibt. Das geflieste Badezimmer ist u.a. mit einer Wanne ausgestattet. Die letzten Modernisierungen in der Wohnung erfolgten 2014. Das Gebäude wurde in den Jahren 1998/1999 aufwendig saniert.\nIn wohnlicher Situation in eine reichhaltige Infrastruktur eingebettet sein, das zeugt von einer gefragten Stadtlage.\nEin Energieausweis ist nicht vorhanden.', 'Sie möchten den Marktwert Ihrer Immobilie wissen oder Ihre Immobilie verkaufen? Wir sind seit 1995 erfolgreich im Verkauf von Immobilien in Berlin, Potsdam und Umgebung tätig. Unsere exzellenten Eigentümerbewertungen sprechen für sich.\n\n•\tOftmals haben wir schon den richtigen Käufer für Ihre Immobilie in unserer Kartei\n•\tWir sind Bellevue Best Property Agent und Mitglied in den Verbänden IVD & FIABCI\n•\tWir benötigen keinen schriftlichen Alleinauftrag\n•\tKosten entstehen Ihnen bei uns keine\n•\tUnsere Spezialisten stehen Ihnen gerne für ein erstes – für Sie unverbindliches - Gespräch zur Verfügung\n\nWir freuen uns über Ihre Kontaktaufnahme unter einkauf@immoberlin.de oder (030) 895 72 20.\nBitte besuchen Sie auch unsere Website: \nhttps://www.immoberlin.de'];;;;;;
2020-05-30 19:23:54.270185;Berlin;no_information;ONE_YEAR_FREE;174522;n;n;https://pictures.immobilienscout24.de/listings/a8a598f8-42c9-4aa7-9d7c-8cecb5e4402d-1371170145.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;11;10.99;40 MBit/s;telekom_layer_magenta_l;über VDSL;;REGULAR;disabled;10.99;118749668;;y;true;MagentaZuhause L;y;Berlin;y;6;;;no_information;;5.59;91;Berlin;13585;no_information;no_information;;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;13585;3;;n;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.174522;300000;profile0;;3;true;n;showqualicontactform;n;n;Spandau_Spandau;118749668;4;Berlin;/expose/118749668;['Im rückwärtigen Gartenhaus können Sie in dieser Wohnung eine sehr ruhige Lage genießen. Angenehm ist auch die Besonnung: Das größte Zimmer, ein kleineres Zimmer und die Küche haben Isolierfenster in den Süden. Das renovierungsbedürftige Badezimmer mit Wanne ist ebenfalls taghell. Eine Küchenausstattung gehört nicht zum Kaufumfang. Schön ist, dass in beide Richtungen der Blick auf Bäume in den Innenhöfen fällt. Für die Wärmeversorgung ist eine Gasetagenheizung zuständig.\nDieser Wohnung ist ein Kellerraum zugeordnet.\nMit ihren geräumigen Zimmerdimensionen und anregenden Tageshelligkeit bildet diese Wohnung eine exzellente Basis, um sich auf einfache Weise behaglich einrichten zu können, in einer attraktiven Spandauer Lage. \nEin Energieausweis ist nicht vorhanden.', 'Sie möchten den Marktwert Ihrer Immobilie wissen oder Ihre Immobilie verkaufen? Wir sind seit 1995 erfolgreich im Verkauf von Immobilien in Berlin, Potsdam und Umgebung tätig. Unsere exzellenten Eigentümerbewertungen sprechen für sich.\n\n•\tOftmals haben wir schon den richtigen Käufer für Ihre Immobilie in unserer Kartei\n•\tWir sind Bellevue Best Property Agent und Mitglied in den Verbänden IVD & FIABCI\n•\tWir benötigen keinen schriftlichen Alleinauftrag\n•\tKosten entstehen Ihnen bei uns keine\n•\tUnsere Spezialisten stehen Ihnen gerne für ein erstes – für Sie unverbindliches - Gespräch zur Verfügung\n\nWir freuen uns über Ihre Kontaktaufnahme unter einkauf@immoberlin.de oder (030) 895 72 20.\nBitte besuchen Sie auch unsere Website: \nhttps://www.immoberlin.de'];;;;;;
2020-05-30 19:23:54.622659;Berlin;no_information;ONE_YEAR_FREE;174522;n;y;https://pictures.immobilienscout24.de/listings/8349c5be-cf14-493e-80b0-deb0973e96ad-1371169711.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;16.54;40 MBit/s;telekom_layer_magenta_l;über VDSL;;REGULAR;disabled;16.54;118749596;;n;true;MagentaZuhause L;y;Berlin;n;8;;;no_information;;8.84;80;Berlin;12051;no_information;no_information;;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;12051;3;;n;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.174522;449000;profile0;;3;true;n;showqualicontactform;n;n;Neukölln_Neukölln;118749596;3;Berlin;/expose/118749596;['Diese kernsanierte Altbauwohnung wurde sinnvoll umgebaut und mit viel Liebe zum Detail kreativ gestaltet. Der Flur wurde zur Küche geöffnet, wodurch eine ansprechende Fläche für einen groß-zügigen Wohn-, Koch- und Essbereich entstand. Frappant ist die kolorierte Verglasung zwischen diesem einladenden Wohn-, Koch- und Essbereich und dem Badezimmer. Sowohl der Kochbereich als auch das Bad faszinieren mit neuen individuellen Design-ausstattungen und Fenstern in Südlage. Beachtenswert sind u.a. die Kochinsel mit Gasherd und Waschsäulen. Der Wohn-, Koch- und Essbereich befindet sich im sogenannten „Berliner Zimmer“, das ein generöses Durchgangs-zimmer zwischen dem Wohn-zimmer im Vorderhaus und dem Seitenflügel ist. Das Wohnzimmer führt weiter auf die Loggia, die zur hübschen Straße einen angenehmen Aufenthalt bietet. Zur anderen Seite ist das Schlaf-zimmer durch zwei Türen zugänglich. Dieses behagliche Zimmer ist mit seinem Fenster in die Morgensonne zum Hof ausgerichtet. Akzentuiert wird das sehr wohnliche Ambiente in den beiden Zimmern und dem Wohn-, Koch- und Essbereich von markanten Holzdielenböden, die sehr gut renoviert wurden. Auch die originalen Holzprofiltüren wirken auf die exzellente Raumästhetik  ein.\nWer ein Altbauambiente mit komfortablen Räumlichkeiten sucht, geschickt garniert mit stilvollen modernen Designelementen, der sollte auf diese Wohnung aufmerksam werden.\nIn Zusammenhang mit der stark nachgefragten Lage wird ein erstklassiges Kaufangebot in sehr wohnlicher Lage geboten.\n\nEin Energieausweis ist nicht vorhanden.', 'Sie möchten den Marktwert Ihrer Immobilie wissen oder Ihre Immobilie verkaufen? Wir sind seit 1995 erfolgreich im Verkauf von Immobilien in Berlin, Potsdam und Umgebung tätig. Unsere exzellenten Eigentümerbewertungen sprechen für sich.\n\n•\tOftmals haben wir schon den richtigen Käufer für Ihre Immobilie in unserer Kartei\n•\tWir sind Bellevue Best Property Agent und Mitglied in den Verbänden IVD & FIABCI\n•\tWir benötigen keinen schriftlichen Alleinauftrag\n•\tKosten entstehen Ihnen bei uns keine\n•\tUnsere Spezialisten stehen Ihnen gerne für ein erstes – für Sie unverbindliches - Gespräch zur Verfügung\n\nWir freuen uns über Ihre Kontaktaufnahme unter einkauf@immoberlin.de oder (030) 895 72 20.\nBitte besuchen Sie auch unsere Website: \nhttps://www.immoberlin.de'];;;;;;
2020-05-30 19:23:54.979490;Berlin;central_heating;ONE_YEAR_FREE;16720656;n;n;https://pictures.immobilienscout24.de/listings/13e33320-16a4-4aec-ae24-d546e75f0ece-1371142668.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;21;11.48;40 MBit/s;telekom_layer_magenta_l;über VDSL;1900;REGULAR;disabled;11.48;118745412;gas;n;false;MagentaZuhause L;y;Berlin;y;5;1;201;no_information;energy_consumption;7.14;52;Berlin;10247;well_kept;normal;C;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10247;1;95.6;n;;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.1111dc90-5c18-412c-99eb-ca2047caf30d;246000;profile0;4;1;true;n;;n;n;Friedrichshain_Friedrichshain;I6MSTR2W;2;Berlin;/expose/118745412;['• Verkauft wird eine komplett modernisierte Eigentumswohnung.\r\n• Der Wohnraum ist circa 30 Quadratmeter groß. \r\n• Erst kürzlich wurde der Boden mit neuem Parkett ausgelegt.\r\n• Es wurden alle Räume komplett neu tapeziert. \r\n• Im Zuge der Renovierung wurden auch die Armaturen im Bad erneuert.\r\n• Das Bad ist ausgestattet mit einer Badewanne.\r\n• Die in Holz gerahmten Fenster sind doppelt verglast.\r\n• Abgerundet wird das Angebot durch ein eigenes Kellerabteil und einen Fahrradkeller.\r\n\r\n', 'Die angebotene Wohnung befindet sich in einer sehr gefragten Lage im Samariterviertel von Friedrichshain. In nur wenigen Minuten erreichen Sie diverse öffentliche Verkehrsmittel. Einkaufsmöglichkeiten, Restaurants, Cafés. Schule und Kita befinden sich ebenfalls in der Nähe.\r\n\r\nAnbindung ÖPNV:\r\nTram | James-Hobrecht-Str. (ca. 3 Gehminuten)\r\nU-Bahn | Samariterstr. | (ca. 5 Gehminuten)\r\n', 'Auch in Zeiten des Coronavirus sind wir für Sie da. Unsere Makler beraten Sie gerne persönlich per Telefon oder Videokonferenz. Schicken Sie uns einfach eine Anfrage über Immobilienscout24 und registrieren Sie sich auf unserer Kundenplattform myHomeday. Einen Link zu myHomeday erhalten Sie automatisch nach Ihrer Anfrage per E-Mail. Dort können Sie die Adresse und alle Dokumente der Immobilie freischalten sowie direkt einen Beratungstermin buchen.'];0;2000;;;;
2020-05-30 19:23:55.347899;Berlin;no_information;ONE_YEAR_FREE;43448;n;n;https://pictures.immobilienscout24.de/listings/34191068-c6c2-47b9-87d6-01af2e0beafa-1371165974.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;11.14;40 MBit/s;telekom_layer_magenta_l;über VDSL;1908;REGULAR;;11.14;118748851;gas;y;false;MagentaZuhause L;y;Berlin;y;7;1;208;72;energy_consumption;6.17;80;Berlin;10439;modernized;sophisticated;D;false;100 MBit/s;no_information;"Bornholmer Stra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Bornholmer_Straße;apartment;10439;2;115;n;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.43448;399900;profile0;6;2;true;n;showqualicontactform;n;n;Prenzlauer_Berg_Prenzlauer_Berg;118748851;3;Berlin;/expose/118748851;['Diese schöne helle Wohnung liegt im 1. OG des Seitenflügels eines 6-Stöckigen Wohn- und Geschäftshauses. die 80m² verteilen sich über ein Schlafzimmer mit Einbauschränken die aktuell als Raumteilung genutzt werden, Eine Großzügige Wohnküche mit Einbauküche, ein Badezimmer mit Dusche, Badewanne und Handtuchheizkörpern sowie einen kleinen Abstellraum. Die Wohnung wurde 2017 vollständig modernisiert.', '- große Wohnküche inkl. Einbauküche\n- Vollbad mit Fenster\n- Parkettboden\n- Holzfenster\n- hohe Decken\n- Handtuchheizkörper im Bad\n- Gasetagenheizung\n- Einbauschränke\n- Kellerraum\n- begrünter Innenhof\n- gute Lage - zentral\n- gepflegte Wohnanlage', 'exzellente Verkehrsanbindung U / S-Bhf. Bornholmer Str. und Tram in 2 min. zu Fuß erreichbar.\nSchulen und Kindergärten in unmittel-barer Nähe. Cafés, Restaurants und Bars und Sons-tige Kultur in der Nachbarschaft.', 'Anschauen lohnt sich!\nLassen Sie sich von uns beraten! Grundrisse und weiter Informationen erhalten Sie von uns auf Anfrage.\nUnsere telefonische Erreichbarkeit:\nmontags bis donnerstags 9:30 bis 19:00 Uhr.\nfreitags und samstags 10:00 bis 17:00 Uhr\n\nReservieren Sie am besten heute noch einen persönlichen Besichtigungstermin!'];;2017;;;;
2020-05-30 19:23:55.678720;Berlin;district_heating;ONE_YEAR_FREE;18492745;n;y;https://pictures.immobilienscout24.de/listings/e0bd9271-36c0-4be7-8240-20fc5eeaac70-1371171210.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;11;40 MBit/s;telekom_layer_magenta_l;über VDSL;2000;REGULAR;;11;118749660;steam_district_heating;y;false;MagentaZuhause L;n;Berlin;y;7;5;;no_information;energy_consumption;6.41;88;Berlin;13127;well_kept;normal;;false;100 MBit/s;underground_garage;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;no_information;13127;3;80;n;;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01009366216;339000;profile0;4;3;true;n;showqualicontactform;y;n;Französisch_Buchholz_Pankow;118749660;4;Berlin;/expose/118749660;['Modernes Stadthaus mit 17 Wohneinheiten,  helle und freundliche Wohnungen in guter Nachbarschaft, viel Grün, mit guter Anbindung an die City und das Umfeld', 'Großzügige 3-Zimmer- Wohnung mit Balkon,  Bodentiefe Fenster, viel Nebengelass und Stellflächen.  Einbauküche mit Fenster.  Tiefgaragenplatz ist im Preis enthalten.', 'Im Norden Berlins, Französisch Buchholz. Sehr gute Anbindung an den ÖPNV. Schule, Kindertagesstätte und viele Supermärkte in fußläufiger Nähe. Der nächste Autobahnanschluss ist 5 min weg. Die BVG bringt Sie in 30 min nach Pankow, in die Schönauer Allee und weiter zum Alexanderplatz.', 'Gute Mietrendite von über 2,5 %. \nHinweis: Individuelle Ausführen mit Mundschutz, nach Absprache.'];1;;;;;
