timestamp;obj_regio1;obj_heatingType;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_yearConstructed;obj_telekomInternetType;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_houseNumber;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_assistedLiving;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_floor;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_numberOfFloors;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;evt_count_pm_sig;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;ga_cd_developer_virtualreality;obj_rentSubsidy;obj_usableArea;obj_energyType;obj_thermalChar;obj_groupnumber;obj_lastRefurbish;obj_telekomHybridUploadSpeed;obj_project_id;obj_noParkSpaces;obj_energyEfficiencyClass;obj_telekomHybridDownloadSpeed;obj_nbp
2020-05-30 19:24:17.702972;Berlin;self_contained_central_heating;ONE_YEAR_FREE;13178302;n;y;https://pictures.immobilienscout24.de/listings/d9072126-7df5-4adb-bdf9-f9b16f098f5d-1370991763.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;18;11.49;40 MBit/s;telekom_layer_magenta_l;über VDSL;1967;REGULAR;11.49;118708120;electricity;y;false;MagentaZuhause L;n;Berlin;y;6;2;116 a;5.14;76.46;Berlin;12349;well_kept;sophisticated;false;100 MBit/s;no_information;Marienfelder Chaussee;y;https://padlock.link/ioml;https://padlock.link/ml;Marienfelder_Chaussee;apartment;12349;2;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;7;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.13178302;300000;profile0;13;2;true;n;showqualicontactform;n;n;Buckow_Neukölln;fbbdbc34-1bb0-44aa-84ad-5e4217e558ca;3;Berlin;/expose/118708120;"['Die zum Verkauf stehende Eigentumswohnung liegt in Stadtrandlage in Berlin-Buckow. Einkaufsmöglichkeiten, Ärzte, Banken, Schulen sowie öffentliche und soziale Einrichtungen sind in unmittelbarer Nähe vorhanden. Öffentliche Verkehrsmittel können in wenigen Gehminuten erreicht werden.\nDas Gebäude wurde im Jahr 1967 errichtet und bisher laufend instandgehalten und modernisiert.\nGroßflächige gärtnerisch gepflegte Grünanlagen ermöglichen ein individuelles Wohnen in einem angenehmen Wohnumfeld unweit des ""Britzer Gartens"". Ein Spielplatz für die kleinen Bewohner ist ebenfalls vorhanden.\nDie sehr gepflegte Wohnung selbst befindet sich im 7. OG des Gebäudes und verspricht einen grandiosen Ausblick vom Balkon.\nDie Wohnfläche von 76,46 qm ist aufgeteilt in eine geräumige Küche, ein Bad mit Dusche, ein separates WC, ein Wohnzimmer, ein Schlafzimmer sowie ein Kinderzimmer. Die hochwertigen Küchenmöbel sind im Kaufpreis enthalten.\nAuf dem Flur befindet sich ein großer Spiegelschrank sowie eine Garderobe.\nDer große Balkon ist sowohl vom Wohnzimmer las auch von der Küche aus erreichbar.\nIm Keller befindet sich ein zur Wohnung gehörender Kellerraum.\nDie monatlichen Nebenkosten belaufen sich auf ca. 300,00 Euro, wobei hier auch schon die Kosten für die Hausverwaltung enthalten sind.\nDer auf den Fotos zu sehende Parkplatz gehört nicht zu diesem Angebot. Er kann aber für 30.000 EUR erworben werden. Befahren wird der Parkplatz nur durch die Eigentümer durch eine elektrisch bedienbare Schranke.\nDer Verkauf der Wohnung erfolgt provisionsfrei!\nWir bitten aller Makler, von Anfragen abzusehen.\nBei ernst gemeintem Interesse, Rückfragen bzw. Vereinbarung eines Besichtigungstermins stehe ich gerne unter Tel.: 0177-5900095 zur Verfügung.']";;;;;;;;;;;;;
2020-05-30 19:24:18.039361;Berlin;self_contained_central_heating;ONE_YEAR_FREE;16047295;n;y;https://pictures.immobilienscout24.de/listings/b6a6a461-87a5-4b84-bbd1-5a982303e6f3-1370953907.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;14;12.19;40 MBit/s;telekom_layer_magenta_l;über VDSL;1900;REGULAR;12.19;118696658;gas;y;false;MagentaZuhause L;y;Berlin;n;9;1;76;7.44;97.58;Berlin;10965;well_kept;sophisticated;false;100 MBit/s;no_information;"Kreuzbergstra&szlig;e";y;https://padlock.link/ioml;https://padlock.link/ml;Kreuzbergstraße;apartment;10965;3;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.15850309;650000;profile0;4;3;true;n;;n;n;Kreuzberg_Kreuzberg;E0570-KE-Kre-76-10965-ETW-97.58-17.03.2020e;4;Berlin;/expose/118696658;['Die Etagenwohnung in der Kreuzbergstraße 76 in 10965 Berlin liegt im Vorderhaus eines Mehrfamilienhauses. Die 3-Zimmer-Wohnung im 2.OG ist ca. 98 m² groß. Die Etagenwohnung liegt in Nord-West-Ausrichtung. Die Eigentumswohnung befindet sich in Kreuzberg.\n\n\nThe apartment at Kreuzbergstraße 76 in 10965 Berlin is located in the front building of an apartment building. The 3-room apartment on the 2nd floor is approx. 98 m² in size. The apartment is located in north-west orientation. The freehold flat is located in Kreuzberg.', 'Einbauküche ist inkl.', 'Die Kreuzbergstraße ist die verlängerte Bergmannstraße und liegt im Bezirk Kreuzberg. In dieser Gegend rund um den Viktoriapark herrscht eine angenehme und entspannte Kreuzberger Atmosphäre. Zum bekannten Bergmannkiez oder Park am Gleisdreieck ist es nicht weit. Durch die zentrale Lage ist Schöneberg, Tempelhof oder Neukölln in kurzer Zeit erreichbar.\n\n\nKreuzbergstrasse is the extended Bergmannstrasse and is located in the Kreuzberg district. In this area around the Viktoriapark there is a pleasant and relaxed Kreuzberg atmosphere. The famous Bergmannkiez or Park am Gleisdreieck is not far away. Due to its central location, Schöneberg, Tempelhof or Neukölln can be reached in a short time.', 'Einzelbesichtigung: Nach Vereinbarung'];true;176.35;;;;;;;;;;;
2020-05-30 19:24:18.440909;Berlin;self_contained_central_heating;ONE_YEAR_FREE;527905;n;y;https://pictures.immobilienscout24.de/listings/1b9e6783-b99c-4eb5-882e-f473fe830999-1370973144.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;3;12.19;40 MBit/s;telekom_layer_magenta_l;über VDSL;1900;REGULAR;12.19;118700168;natural_gas_light;n;false;MagentaZuhause L;y;Berlin;n;10;1;no_information;7.44;100;Berlin;10999;need_of_renovation;no_information;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;roof_storey;10999;3;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;4;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.527905;950000;profile0;5;3;true;n;showqualicontactform;n;n;Kreuzberg_Kreuzberg;118700168;4;Berlin;/expose/118700168;['Altbauwohnung in einem guten, historischen Bestandsobjekt - 4-Zimmer-Wohnung ca 100 m² mit Küche und Bad + optional Dachboden ca. 26 m² zum Selbstausbau', 'Gerne senden wir Ihnen ein ausführliches Exposé - fragen Sie uns', 'Berlin-Kreuzberg - Landwehrkanal'];;;126;energy_required;157.5;1;;;;;;;
2020-05-30 19:24:18.867365;Berlin;district_heating;ONE_YEAR_FREE;527905;n;y;https://pictures.immobilienscout24.de/listings/446b967c-ec0f-473b-a6f2-052613c4c885-1370971870.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;6;12.41;40 MBit/s;telekom_layer_magenta_l;über VDSL;1920;REGULAR;12.41;118699842;district_heating;n;false;MagentaZuhause L;y;Berlin;y;10;1;no_information;6.33;260;Berlin;12101;need_of_renovation;simple;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;loft;12101;6;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;0;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.527905;965000;profile0;5;5;true;n;showqualicontactform;y;n;Tempelhof_Tempelhof;118699842;7;Berlin;/expose/118699842;['Gewerbeeinheit zum loftigen Wohnen oder gewerblicher Nutzung.\n\nUmnutzung in Atelier/Praxis/Wohnen möglich.\n \nDie Raumhöhe beträgt 4,20 m\n\n\nDie Gesamtfläche setzt sich aus ca. 246 m² im Parterre und ca. 123 m² Kellergeschoss zusammen.  Außenflächen wurden hier nicht eingerechnet.', 'Inklusive sehr großer Keller (ca. 123 m²)\n\nGartenterrrasse und straßenseitige Terrasse', 'wenige Minuten vom Bergmannkiez', 'Renovierungskosten round about 100.000 €\n\nFotos stammen aus einem von uns bereits verkauften Objekt. welches ähnliche Attribute ausweist'];;500;400;;;1;2009;;;;;;
2020-05-30 19:24:19.212385;Berlin;central_heating;ONE_YEAR_FREE;15614422;n;y;https://pictures.immobilienscout24.de/listings/93db2b8f-adf2-482b-91c6-3d2d9bac5c3c-1371730623.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;19;11.48;40 MBit/s;telekom_layer_magenta_l;über VDSL;1918;REGULAR;11.48;118705700;gas;y;false;MagentaZuhause L;y;Berlin;n;7;1;64;7.14;66;Berlin;10247;well_kept;normal;false;100 MBit/s;no_information;Rigaer Str.;n;https://padlock.link/ioml;https://padlock.link/ml;Rigaer_Str.;apartment;10247;2;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01002847056;314900;profile0;5;2;true;n;showqualicontactform;n;n;Friedrichshain_Friedrichshain;5984;3;Berlin;/expose/118705700;['++Folgende Möglichkeiten der Besichtigung gibt es und sind zulässig: +++\n\n- Einzelbesichtigungen \n- 2 Personen aus dem gleichen Haustand (z.B. Ehepaare und Lebenspartner)\n\n**Natürlich bieten wir auch Live- (Face Time oder WhatsApp) oder Videobesichtigungen an **\n\nTrotz der zentralen Kiezlage ist diese Wohnung ruhig, bedingt durch die Lage im Seitenflügel.\n\nDas Objekt in der Rigaer Str. wurde 1918 gebaut und im Jahr 2005 umfassend saniert.\n\nÜber den Wohnungseingang erreichen Sie den Flur der Wohnung, rechts davon abgehend befindet sich die Küche mit einer optimalen Größe.  Geradaus gelangt in den großen Wohnbereich - dieser bildet zugleich den zentralen Punkt der Wohnung.\nRechts abgehend befindet sich das Schlafzimmer und gerade aus erreichen Sie das innenliegende Wannenbad.\n\nEin wirkliches Highligt ist der Eckbalkon, dieser ist sowohl vom Wohn- als auch vom Schlafbereich erreichbar (große bodentiefe Fensterelemente) und ist nach Südosten ausgerichtet.', '+ ruhige Lage im Seitenflügel\n+ die Wohnung ist nach Südosten ausgerichtet\n+ 2. Etage\n+ 2 Zimmer\n+ 66 qm Wohnfläche\n+ schöner Eckbalkon (jeweils vom Wohnzimmer und Schlafzimmer begehbar)\n+ großes Wohnzimmer (Durchgangszimmer)\n+ innenliegendes Wannenbad\n+ schöne Küche mit angenehmer Größe\n+ Flur mit genug Platz für Garderobe\n+ abgeschliffene Holzdielen in den Wohnräumen\n+ kleine Einbauzeile in der Küche\n+ bodentiefe Fensterelemente\n+ abgeschlossener Müll- und Fahrradraum', 'Familienfreundlich, lebendig, abwechslungsreich! Friedrichshain bietet viel Wohnqualität für Jung und Alt und ist gerade hier der Kiez um die Rigaer Straße reich an Möglichkeiten für ein entspanntes, schönes und facettenreiches Leben. Hier locken viele Bars, Restaurants und originelle Läden ein lebensfrohes Publikum - nicht nur aus der Nachbarschaft. Das kleine Bisschen Grün für die Seele findet man nicht nur in den von Bäumen gesäumten Straßen und kleinen Parks des Kiezes. \n\nWer hier einmal sein Zuhause gefunden hat, der will nicht mehr weg!'];;240;;energy_consumption;112;1000;2005;;;;;;
2020-05-30 19:24:19.584485;Berlin;district_heating;ONE_YEAR_FREE;18664677;n;y;https://pictures.immobilienscout24.de/listings/a9da6801-45bf-40f8-9f80-c52c2257fe6b-1370969618.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;11.19;40 MBit/s;telekom_layer_magenta_l;über VDSL;1936;REGULAR;11.19;118699483;no_information;n;false;MagentaZuhause L;n;Berlin;y;4;1;no_information;5.36;56;Berlin;13509;need_of_renovation;no_information;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;13509;3;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.38c8da93-d11c-498b-be03-047bf1f3ff03;199000;profile0;3;3;true;n;;n;n;Wittenau_Reinickendorf;c8cb575e-b1e9-4a40-b2ae-663ffae52802;2;Berlin;/expose/118699483;['Die Wohnung Baujahr 1936, befindet sich in einem 3 - stöckigen Haus im 1. Stock, mit insgesamt 7 Parteien und gehört zu einem Ensemble (Holzhauserstrasse, Klinnerweg, Ernststrasse, Miraustrasse) aus zwei großen Karrees. Innerhalb der Anlage befinden sich neben den allgemein zu nutzenden Grünflächen auch über 80 Gartensondernutzungsflächen, die von den Eigentümern kleingärtnerisch genutzt werden. Bei Interesse kann ein Garten, direkt hinter dem Haus, zusätzlich erworben und/oder gepachtet werden.\n\nDie sehr gut geschnittene und praktisch aufgeteilte Wohnung liegt direkt an der Ernststraße. Wohn- und Schlafzimmer können je nach Bedarf getauscht werden: beide Räume haben einen eigenen Zugang zum Südbalkon.', 'Die Wohnung verfügt über Zentralheizung (Fernwärme) und Kunststoff-Fenster mit Wärmeschutzverglasung. Die ursprünglichen Holzdielen sind in der gesamten Wohnung erhalten, ebenso die Holzkassetten-Türen. Es steht ein Kellerraum zur Verfügung. ', 'Ruhige Lage und Umgebung. Gute Parkplatzsituation, Einkaufsmöglichkeiten und  Verkehrsanbindung. '];;250;;;;;;;;;;;
2020-05-30 19:24:19.999088;Berlin;district_heating;ONE_YEAR_FREE;15824119;n;y;https://pictures.immobilienscout24.de/listings/9317692f-1c6b-4c44-9d5e-1163d4bbc592-1370966136.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;24;12.78;2,4 MBit/s;telekom_layer_magenta_m_hybrid2;über Hybrid;;WITH_HYBRID;12.78;118697492;district_heating;n;false;MagentaZuhause M Hybrid (2);n;Berlin;y;8;;no_information;7.23;60;Berlin;10785;first_time_use;sophisticated;false;16 MBit/s;underground_garage;no_information;y;https://padlock.link/mmh2sa;https://padlock.link/mmhy2;no_information;no_information;10785;3;n;2,active;true;Deutschland;top;50 MBit/s;wohnung_kauf;n;4;web,email,bank,music,dl-ul,game,sd,mltstr,hd;true;002.01004261345;495000;profile0;6;3;true;n;showqualicontactform;y;n;Tiergarten_Tiergarten;118697492;2;Berlin;/expose/118697492;['Weitere Informationen unter:\n\nhttps://www.potsdamer72.com/the-site1.html\n\n +491632511055 \n\noder \n\nvertrieb@dcasa.de\n\nWeitere  Grundrisse und Wohnungsgrößen im \nObjekt verfügbar:https://www.potsdamer72.com/', 'Privilegierte Lage mitten in Berlin\nÜberragende Infrastruktur und Wohnqualität\nPerfekt für Selbstnutzung, als eine Investition oder als Zweitwohnsitz in Berlin\nAufwendige Sanierung der Gesamtanlage \nNeubau vom Seitenflügel (Haus B)\nOptional: 43 PKW-Tiefgaragen-Stellplätze \nLichtdurchflutete Räume dank großer Fensterflächen\nAufzug in alle Etagen und direkt in die Tiefgarage \nNeue, hocheffiziente Fußbodenheizung\nModerne Bäder mit begehbarer Dusche\nQualitätsfliesen und moderne Sanitärausstattung \nNeue Holzfenster\nNeue Holzparkettböden\nhohe Decken', 'Das Wohn- und Geschäftshaus Potsdamer Strasse 72 befindet sich in erstklassiger Lage in Laufnähe zum  Tiergarten und dem beliebten Gleisdreieckpark, zwischen dem berühmten KaDeWe und dem Potsdamer Platz, mitten zwischen City-West und City-Ost und bietet alle Vorzüge einer Innenstadtlage mit dem Vorteil kurzer Wege. \n\nDie Potsdamer Straße befindet sich im Wandel zu einer der beliebtesten Adressen Berlins. Dies ist vorallem der Ansiedlung namhafter Galerien zu verdanken. In deren Folge sich Modelabels und Büromieter die zentrale und geschichtsträchtige Lage zu eigen gemacht haben. Mit dem Restaurant und Café Villa Einstein befindet sich ein renommiertes Restaurant in Laufnähe.\n\n290 m zu der Neuen Nationalgalerie\n600 m zu Berliner Philarmonie\n750 m zur U-Bahn Mendelssohn-Bartholdy Park\n800 m zum Potsdamer Platz\n1.000 m zur S-Bahn Potsdamer Platz\n1.000 m zum Park am Gleisdreieck\n1.000 m zum Tiergarten\n2.000 m zum KaDeWe\n2.000 m zu Brandenburger Tor und Reichstag\n3,3 km zum Hauptbahnhof\n9,6 km Flughafen Berlin Tegel', 'Alle in den Plänen und der Anzeige enthaltenen Angaben sind unverbindlich. Änderungen vorbehalten.'];;;60;energy_required;85;;;10 MBit/s;62351;1;NO_INFORMATION;50 MBit/s;true
2020-05-30 19:24:20.543642;Berlin;self_contained_central_heating;ONE_YEAR_FREE;527905;n;y;https://pictures.immobilienscout24.de/listings/b7906e02-37d0-49a8-afda-c1563f96b60b-1370972592.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;4;12.19;40 MBit/s;telekom_layer_magenta_l;über VDSL;;REGULAR;12.19;118699961;;n;false;MagentaZuhause L;y;Berlin;n;7;;no_information;7.44;57;Berlin;10999;refurbished;sophisticated;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;ground_floor;10999;2;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;0;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.527905;399000;profile0;5;2;true;y;showqualicontactform;n;n;Kreuzberg_Kreuzberg;118699961;2;Berlin;/expose/118699961;['Feine Erdgeschosswohnung ....gewerblich nutzbar, der davor liegende Garten gehört zu der Einheit', 'Holzböden', 'Erfragen Sie ein ausführliches Exposé.'];;220;100;;;1;2014;;;;;;
2020-05-30 19:24:21.044061;Berlin;gas_heating;ONE_YEAR_FREE;17128975;n;n;https://pictures.immobilienscout24.de/listings/9784b277-a7c8-44f4-8601-63c0d13fe1c7-1370978077.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;13;9.8;40 MBit/s;telekom_layer_magenta_l;über VDSL;1905;REGULAR;9.8;111605146;gas;y;false;MagentaZuhause L;n;Berlin;y;5;1;34;4.77;69;Berlin;13507;first_time_use_after_refurbishment;normal;false;100 MBit/s;no_information;Beckumer Str;n;https://padlock.link/ioml;https://padlock.link/ml;Beckumer_Str;apartment;13507;3;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;0;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.397f4fbd-0b4e-42e7-9c98-47ba9714b0eb;235000;profile0;5;3;true;n;showqualicontactform;n;n;Tegel_Reinickendorf;111605146;3;Berlin;/expose/111605146;['Das Mehrfamilienhaus befindet sich in einem TOP Zustand.\nInsgesamt enthält das Objekt 50 Wohnungen. 1984 wurde das Wohnhaus modernisiert und instandgesetzt ( neue Steigleitungen, Vollwärmeschutzfassade und Kunststoff-Isolierglasfenster ) und 2016 mit einer Gas-Zentralheizung versehen. Der Innenhof wurde Mitte der 90er Jahre neu gestaltet. Aufgänge im sehr gepflegten Zustand', 'Es handelt sich um eine sanierte 3 Zimmer Wohnung im Erdgeschoss mit Südausrichtung. Die Beheizung erfolgt durch die Zentralheizung, die Warmwasserbereitung durch einen 50 Liter Speicher. Alle Fenster und Balkontüren sind mit neuen Kunststofffenstern mit Sicherheitsverglasung A1  und Aufhebelsicherung ausgestattet. Die Wohnung wurde instand gesetzt. Es wurde ein neues Bad mit begehbarer Dusche, Waschbecken und WC und neuen Fliesen erstellt. Eine neue Einbauküche mit elektrischen Geräten, wird eventuell nach Wahl des Käufers montiert. Das Wohnzimmer und das Schlafzimmer sind mit Fertigparkett ausgestattet. Die Wohnung ist mit nur einer Stufe erreichbar.', 'Die Wohnung liegt in einer  begrünten ruhigen Seitenstraße im Norden Berlins.\nIn der Nähe gibt es diverse  Einkaufsmöglichkeiten des täglichen Bedarfs. Die Hallen am Borsigturm sind fußläufig zu erreichen. \nIn der näheren Umgebung befindet sich der Tegeler See, der Flughafen See und der Flughafen Tegel.\nDie U-Bahnhöfe Alt-Tegel und Borsigwerke, zahlreiche Buslinien sowie der S-Bahnhof Tegel sind fußläufig zu erreichen.'];;247.51;69;energy_consumption;113.6;;2020;;;;NO_INFORMATION;;
2020-05-30 19:24:21.529259;Berlin;central_heating;ONE_YEAR_FREE;16047295;n;y;https://pictures.immobilienscout24.de/listings/9e8bde66-0006-4b55-a028-c2cea32c95b9-1370952736.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;14;7.97;40 MBit/s;telekom_layer_magenta_l;über VDSL;1938;REGULAR;7.97;118696636;gas;y;false;MagentaZuhause L;y;Berlin;y;8;1;24;3.48;88;Berlin;14089;modernized;normal;false;100 MBit/s;outside;"Ferdinand-Magellan-Stra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Ferdinand-Magellan-Straße;raised_ground_floor;14089;3;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;0;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.15850309;412000;profile0;2;3;true;y;;n;n;Gatow_Spandau;E0593-KE-Fer-24-14089-HP-88.74-27.04.2020d;4;Berlin;/expose/118696636;"['Die 3-Zimmer-Hochparterre-Terrassenwohnung in der Ferdinand-Magellan-Straße 24 in 14089 Berlin-Gatow liegt in der linken Gebäudehälfte eines Mehrfamilienhauses und hat Fenster zur Nordost-, Südost- und Südwest-Seite des Gebäudes. Das Gebäude ist Teil des Denkmalbereichs „Flugplatz Gatow“ und wurde ursprünglich für die Nutzung von Flugoffizieren 1938 erbaut. Während der Besatzungszeit wurde die Anlage als Wohnanlage der Offiziere der Royal Air Force von Großbritannien genutzt. 2016 wurde das gesamte Gebäude umfangreich komplett entkernt und denkmalgerecht mit hochwertigen Baustoffen und Materialien umgebaut. Die Ausstattung, Dämmung und Technik haben einen neubauähnlichen, hochwertigen Standard. Ein Außenstellplatz sowie ein Keller-Abteil gehören mit zur Wohneinheit.\n\n\nThe 3-room mezzanine terrace apartment in Ferdinand-Magellan-Straße 24 in 14089 Berlin-Gatow is located in the left half of a multi-family house and has windows to the northeast, southeast and southwest side of the building. The building is part of the ""Gatow Airfield"" memorial area and was originally built for the use of flight officers in 1938. During the period of occupation, the complex was used as a residence for officers of the Royal Air Force of Great Britain. In 2016, the entire building was extensively gutted and rebuilt in accordance with the preservation order using high-quality building materials and materials. The equipment, insulation and technology are of a high standard similar to that of a new building. An outside parking space and a cellar compartment are part of the accommodation unit.', 'Parkettboden\nSüd-Terrasse mit Garten\nKeller\nModernes Badezimmer mit Badewanne\nGäste-WC mit Duschbad\nStellplatz\nKeller', ""Das Mehrfamilienhaus liegt in Spandau im Ortsteil Gatow. Die öffentlichen Verkehrsmittel sind über die Bushaltestellen: Christopf-Kolumbus-Straße und Breitehornweg erreichbar. Neben den Nachbarschaftszentren Kladow und Hohengatow ist das Zentrum Berlins in ca. 20 km erreichbar. Im direkten Umfeld befinden sich Einkaufsmöglichkeiten für den täglichen Bedarf und Restaurants. Die Havel und der Wannsee sind nur wenige Gehminuten entfernt. Viele Wälder in unmittelbarer Nähe laden zu Spaziergängen ein. Schulen und Kitas sind gut angebunden.\n\nThe apartment house is located in Spandau in the district of Gatow. The public transport is via bus stops: Christopf-Kolumbus-Straße and Breitehornweg. In addition to the neighbourhood centres of Kladow and Hohengatow, the centre of Berlin can be reached in about 20 km. In the direct vicinity there are shopping facilities for daily needs and restaurants. The Havel and Wannsee are only a few minutes' walk away. Many forests in the immediate vicinity invite you to go for a walk. Schools and day-care centres are well connected."", 'Einheit bewohnt\n\nBesichtigungstermin: Nach Vereinbarung']";;;;energy_required;82;;2016;;;1;;;
