timestamp;obj_regio1;obj_heatingType;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_yearConstructed;obj_telekomInternetType;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_rentSubsidy;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_floor;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_numberOfFloors;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;evt_count_pm_sig;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;ga_cd_via_qualified;obj_galleryAd;obj_groupnumber;obj_project_id;obj_noParkSpaces;obj_energyEfficiencyClass;obj_nbp;obj_telekomHybridUploadSpeed;obj_telekomHybridDownloadSpeed;obj_lastRefurbish
2020-05-30 19:29:58.727702;Berlin;central_heating;ONE_YEAR_FREE;17749348;n;n;https://pictures.immobilienscout24.de/listings/75996943-30ad-4d4d-b781-57aa4fbbf3ac-1368920993.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;15;11.48;40 MBit/s;telekom_layer_magenta_l;über VDSL;1905;REGULAR;11.48;118315939;district_heating;y;false;MagentaZuhause L;y;Berlin;y;5;1;240;no_information;energy_consumption;7.14;60;Berlin;10249;refurbished;normal;false;100 MBit/s;no_information;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10249;2;101.9;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.3c994d6b-0463-445d-951e-9b96b9d8a42b;249900;profile0;5;2;true;n;showqualicontactform;n;n;Friedrichshain_Friedrichshain;Mü1;2;Berlin;/expose/118315939;['Ruhige Altbauwohnung in Friedrichshain\n\nDie Wohnung befindet sich in der 1. Etage des Hinterhauses eines sanierten Mehrfamilienhauses aus der Jahrhundertwende. Sie ist praktisch geschnitten und bietet genügend Platz zum Leben und Arbeiten. \nHighlight der Wohnung ist sicher der großzügige, offene Wohnbereich mit integrierter Küche. Das Schlafzimmer bietet genügend Platz für ein großes Bett sowie Kleiderschränke. Aufgrund der Lage zum Innenhof ist die Wohnung komplett ruhig. Die Wohnung ist in einem gepflegten Zustand und könnte ohne großen Renovierungsaufwand bezogen werden.', '- ruhige Lage im Innenhof\n- offene Wohnküche\n- Aufzug\n- sanierte Gemeinschaftschaft\n- Keller', 'Der nördliche Friedrichshain hat in den letzten Jahren ein enormen Aufschwung erlebt. Der Kiez ist gleichermaßen beliebt bei Familien, Young Professionals sowie Studenten und bietet somit eine hervorragende Vermischung. Zahlreiche Cafes, Restaurants und kleinere Läden sind in der unmittelbaren Umgebung. Und die berühmten Szene-Kieze in der Simon-Dach-Straße oder am Boxhagener Platz sind mühelos per Fahrrad oder Straßenbahn zu erreichen.'];;;;;;;;;;
2020-05-30 19:29:59.198099;Berlin;self_contained_central_heating;ONE_YEAR_FREE;1163286;n;y;https://pictures.immobilienscout24.de/listings/9bd539ae-ebb0-4e15-95dc-d9413c022e26-1368927353.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;11.37;40 MBit/s;telekom_layer_magenta_l;über VDSL;1910;REGULAR;11.37;118317410;gas;n;false;MagentaZuhause L;y;Berlin;y;7;1;174;no_information;;5.8;82;Berlin;12161;well_kept;normal;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;12161;3;;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.1163286;389000;profile0;4;3;true;n;;n;n;Wilmersdorf_Wilmersdorf;118317888;4;Berlin;/expose/118317410;['Weitere Angebote zu unseren Eigentumswohnungen finden Sie auf unserer Homepage: http://www.wohllebe-immobilien.de/etw.php\nDie vermietete Eigentumswohnung befindet sich im 2.OG im Vorderhaus in einem Altbaugebäude aus dem Jahre 1910. Das Gebäude hat keinen Personenaufzug.\nThe dwelling is located in the 2. floor in a building of 1910.', 'Die vermietete Eigentumswohnung hat 3 Zimmer mit Echtholzparkett bzw. Dielen ausgelegt. Die Wohnung hat einen Balkon. Die Küche hat Platz für einen Esstisch. Es gibt ein Wannenbad mit Fenster. Die Nettokaltmiete beträgt ca. 401 € pro Monat. Für ein ausführliches Expose geben Sie bitte Ihren Namen und Postadresse an.', 'Das Gebäude befindet sich in ruhiger Lage von Berlin Friedenau, nahe dem Rüdesheimer Platz. Die U-Bahn ist fußläufig erreichbar. In der näheren Umgebung befinden sich sämtliche Einkaufsmöglichkeiten und Dienstleistungen, die man für den täglichen Bedarf benötigt. Auch Schulen, Kitas und andere (öffentliche) Einrichtungen sind fußläufig erreichbar.\nThe building is in a street of Berlin Friedenau, near the Rüdesheimer Platz. The U-Bahn is reachable  in a walking distance. In the near region you have schools and shopping possibilities around.'];;;;;;;;;;
2020-05-30 19:29:59.577623;Berlin;self_contained_central_heating;;1163286;n;y;https://pictures.immobilienscout24.de/listings/43e760df-3680-4e27-a885-9bb28d484642-1368931093.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;10.87;;;;1910;;10.87;118317745;gas;n;false;;y;Berlin;y;5;1;111;no_information;;5.63;50;Berlin;12161;well_kept;normal;false;;no_information;no_information;n;;;no_information;apartment;12161;2;;n;2,active;;Deutschland;standard;;wohnung_kauf;y;1;;;001.1163286;239000;profile0;4;2;true;n;;n;n;Friedenau_Schöneberg;1183170028;2;Berlin;/expose/118317745;['Weitere Angebote zu unseren Eigentumswohnungen finden Sie auf unserer Homepage: http://www.wohllebe-immobilien.de/etw.php\nDie vermietete Eigentumswohnung befindet sich im 1.OG im Vorderhaus in einem Altbaugebäude aus dem Jahre 1910. Das Gebäude hat keinen Personenaufzug.\nThe dwelling is located in the 1. floor in a building of 1910.', 'Die vermietete Eigentumswohnung hat 2 Zimmer mit Echtholzparkett bzw. Dielen ausgelegt. Die Wohnung hat einen ruhigen Süd-Balkon. Die Küche hat Platz für einen Esstisch. Es gibt ein Wannenbad mit Fenster. Für ein ausführliches Expose geben Sie bitte Ihren Namen und Postadresse an.', 'Das Gebäude befindet sich in ruhiger Lage von Berlin Friedenau, nahe dem Rüdesheimer Platz. Die U-Bahn ist fußläufig erreichbar. In der näheren Umgebung befinden sich sämtliche Einkaufsmöglichkeiten und Dienstleistungen, die man für den täglichen Bedarf benötigt. Auch Schulen, Kitas und andere (öffentliche) Einrichtungen sind fußläufig erreichbar.\nThe building is in a street of Berlin Friedenau, near the Rüdesheimer Platz. The U-Bahn is reachable  in a walking distance. In the near region you have schools and shopping possibilities around.'];;;;;;;;;;
2020-05-30 19:29:59.926086;Berlin;central_heating;ONE_YEAR_FREE;1163286;n;y;https://pictures.immobilienscout24.de/listings/0dee040f-366c-4e69-bde3-8e8beb34f7ee-1368914416.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;11.37;40 MBit/s;telekom_layer_magenta_l;über VDSL;1905;REGULAR;11.37;118316082;oil;n;false;MagentaZuhause L;y;Berlin;n;8;1;281;no_information;energy_consumption;5.8;89;Berlin;10717;well_kept;normal;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10717;2;207.6;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.1163286;499000;profile0;5;2;true;n;;n;n;Wilmersdorf_Wilmersdorf;11831600;4;Berlin;/expose/118316082;['Weitere Angebote zu unseren Eigentumswohnungen finden Sie auf unserer Homepage: http://www.wohllebe-immobilien.de/etw.php\nDie vermietete Eigentumswohnung befindet sich im 1. OG im Vorderhaus in einem Altbaugebäude aus dem Jahre 1905. Das Gebäude hat keinen Personenaufzug.\nThe dwelling is located in the 1. floor in a building of 1905.', 'Die vermietete Eigentumswohnung hat 2 Zimmer mit Echtholzparkett bzw. Dielen ausgelegt. Die Wohnung hat einen Süd-Balkon. Es gibt ein Duschbad. Für ein ausführliches Expose geben Sie bitte Ihren Namen und Postadresse an.', 'Das Gebäude befindet sich in ruhiger Lage von Berlin Wilmersdorf, im Güntzelkiez. Die U-Bahn ist fußläufig erreichbar. In der näheren Umgebung befinden sich sämtliche Einkaufsmöglichkeiten und Dienstleistungen, die man für den täglichen Bedarf benötigt. Auch Schulen, Kitas und andere (öffentliche) Einrichtungen sind fußläufig erreichbar.\nThe building is in a street of Berlin Wilmersdorf. The U-Bahn is reachable  in a walking distance. In the near region you have schools and shopping possibilities around.'];;;;;;;;;;
2020-05-30 19:30:00.286522;Berlin;central_heating;ONE_YEAR_FREE;1163286;n;y;https://pictures.immobilienscout24.de/listings/0a63bc83-5f25-44ec-b011-6c6a147f877d-1368929772.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;11.48;40 MBit/s;telekom_layer_magenta_l;über VDSL;1900;REGULAR;11.48;118317644;gas;n;false;MagentaZuhause L;y;Berlin;y;7;1;272;no_information;energy_required;7.14;88;Berlin;10245;well_kept;normal;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10245;3;192;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.1163286;399000;profile0;5;3;true;n;;n;n;Friedrichshain_Friedrichshain;1183100888;4;Berlin;/expose/118317644;['Weitere Angebote zu unseren Eigentumswohnungen finden Sie auf unserer Homepage: http://www.wohllebe-immobilien.de/etw.php\nDie vermietete Eigentumswohnung befindet sich im 3. OG in einem Altbaugebäude aus dem Jahre 1900. \nThe dwelling is located in the 3. floor in a building of 1900.', 'Die vermietete Eigentumswohnung hat 3 Zimmer mit Dielenböden/Stuckdecken. Es gibt ein großzügiges Wannenbad mit Fenster. Die Küche hat Platz für einen Essplatz. Die Wohnung hat einen ruhigen Balkon. Für ein ausführliches Expose geben Sie bitte Ihren Namen und Postadresse an. \nThe dwelling has 3 rooms with wooden floor and a bathromm with a bath tub. If you whant more information with fotos, groundplan etc. please send us your name and your post adress.', 'Das Gebäude befindet sich in klassischer Lage Berlin Friedrichshain, nahe dem Boxhagener Platz. Die S -Bahn ist fußläufig erreichbar. In der näheren Umgebung befinden sich sämtliche Einkaufsmöglichkeiten und Dienstleistungen, die man für den täglichen Bedarf benötigt. Auch Schulen, Kitas und andere (öffentliche) Einrichtungen sind fußläufig erreichbar.'];;;;;;;;;;
2020-05-30 19:30:00.598951;Berlin;central_heating;ONE_YEAR_FREE;1163286;n;y;https://pictures.immobilienscout24.de/listings/00613867-7434-4ef8-a75e-042782f98e67-1368922377.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;3;11.73;40 MBit/s;telekom_layer_magenta_l;über VDSL;1890;REGULAR;11.73;118316930;oil;n;false;MagentaZuhause L;y;Berlin;y;9;1;296;no_information;energy_consumption;5.75;135;Berlin;12165;well_kept;normal;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;roof_storey;12165;3;109;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;4;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.1163286;639000;profile0;4;3;true;n;;n;n;Steglitz_Steglitz;11831888;6;Berlin;/expose/118316930;['Weitere Angebote zu unseren Eigentumswohnungen finden Sie auf unserer Homepage: http://www.wohllebe-immobilien.de/etw.php\nDie bezugsfreie Eigentumswohnung liegt in einem Altbaugebäude aus dem Jahre ca. 1890 im 4. OG im ruhigen Vorderhaus. \nThe apartment is located in the 4. floor in a building of ca.1890.', 'Die bezugsfreie Eigentumswohnung hat 3 Zimmer, sowie ein großzügiges Wannenbad mit Dusche und Fenster. Die Küche hat Platz für einen Eßtisch. Die Terrasse ist nach Süd-Westen ausgerichtet. \nThe dwelling has 3 rooms  directed to the south-west. The bathroom has a buth tub. If you whant more information with fotos, groundplan etc. please send us your name and your mailing address.', 'Das Gebäude befindet sich in gefragter Lage Berlin Steglitz, nahe dem Botanischen Garten und der Schloßstraße. Zahlreiche Busverbindungen sind fußläufig erreichbar. In der näheren Umgebung befinden sich sämtliche Einkaufsmöglichkeiten und Dienstleistungen, die man für den täglichen Bedarf benötigt. Auch Schulen, Kitas und andere (öffentliche) Einrichtungen sind fußläufig erreichbar. \nThe building is located in Berlin Steglitz. In the near region you have schools and shopping possibilities around.'];;;;;;;;;;
2020-05-30 19:30:01.371442;Berlin;central_heating;ONE_YEAR_FREE;1163286;n;y;https://pictures.immobilienscout24.de/listings/f9261ebc-98b8-4cb6-bcb6-de9ea4ca1402-1368934372.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;12.24;40 MBit/s;telekom_layer_magenta_l;über VDSL;1918;REGULAR;12.24;118318079;oil;n;false;MagentaZuhause L;y;Berlin;y;9;1;342;no_information;energy_required;6.53;149;Berlin;10823;well_kept;normal;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10823;4.5;125.8;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.1163286;669000;profile0;5;4;true;n;;n;n;Schöneberg_Schöneberg;1183114;6;Berlin;/expose/118318079;['Weitere Angebote zu unseren Eigentumswohnungen finden Sie auf unserer Homepage: http://www.wohllebe-immobilien.de/etw.php\nDie vermietete Eigentumswohnung befindet sich im 2. OG im Vorderhaus in einem Altbaugebäude aus dem Jahre 1918. Das Gebäude hat keinen Personenaufzug.\nThe dwelling is located in the 2. floor in a building of 1918.', 'Die Bruttomiete beträgt ca. 905€ pro Monat. Die vermietete Eigentumswohnung hat 4,5 Zimmer mit Dielen und ein Wannenbad mit Fenster, sowie ein Duschbad. Die Wohnung hat einen ruhigen Balkon. Für ein ausführliches Expose geben Sie bitte Ihren Namen und Postadresse an.\nThe dwelling has 4,5 rooms with wooden floor and a balcony to the west. If you whant more information with fotos, groundplan etc. please send us your name and your post adress.', 'Das Gebäude befindet sich in klassischer Lage Berlin Schöneberg, Akazienkiez. Die U-Bahn ist fußläufig erreichbar. In der näheren Umgebung befinden sich sämtliche Einkaufsmöglichkeiten und Dienstleistungen, die man für den täglichen Bedarf benötigt. Auch Schulen, Kitas und andere (öffentliche) Einrichtungen sind fußläufig erreichbar.\nThe building is in a quiet street of Schöneberg. The U/S-Bahn is reachable  in a walking distance. In the near region you have schools and shopping possibilities around.'];;;;;;;;;;
2020-05-30 19:30:01.714909;Berlin;no_information;ONE_YEAR_FREE;174522;n;n;https://pictures.immobilienscout24.de/listings/7b88aec9-bf4d-4131-9bf6-b061a4ef7351-1368922637.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;15;12.19;40 MBit/s;telekom_layer_magenta_l;über VDSL;;REGULAR;12.19;118317009;;n;true;MagentaZuhause L;y;Berlin;y;9;;;no_information;;7.44;151;Berlin;10967;no_information;no_information;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10967;5;;n;2,active;true;Deutschland;premium;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.174522;650000;profile0;;5;true;n;showqualicontactform;n;n;Kreuzberg_Kreuzberg;118317009;7;Berlin;/expose/118317009;['Diese Wohnung erstreckt sich auf großzügiger Fläche vom Vorderhaus in den Seitenflügel. Attraktiv sind die mögliche separate Nutzung eines rückwärtigen Apartments sowie die drei Zugänge. Der größere vordere Wohnungsteil ist direkt von der Straße vom Haupt- und Seitenflügeltreppenhaus zugänglich. Das Apartment – u.a. mit Einbauküche, Duschbad, separater Gastherme und abgeschliffenen Holzdielen – besitzt einen eigenen Zugang vom Seiten-flügeltreppenhaus. Die größere Wohnung bietet vier generöse Zimmer unter hohen Decken, einen leerstehenden Küchenraum, sowie ein gefliestes Bad mit Dusche und Wanne.  \nZur Ausstattung gehören u.a. abgeschliffene Holzdielenböden und eine Gasetagenheizung. Diese Wohnung ist für ein nicht störendes Gewerbe gut denkbar, z.B. für ein Büro oder Geschäft. Beide Wohnungen haben Fenster in Westrichtung mit Rollläden, hin zum beschaulichen Hof. Denkbar ist eine für beide Wohnungen gemeinsame Eingangstür. \nErgänzt wird das Raumspektrum von zwei Abstellräumen und Kellerabteilen. Das prächtige Haus mit repräsentativen, von Stuck und Marmor dekorierten Treppenhäusern ist in einem sehr guten Zustand und wird von einem Hausmeister betreut.\nIn dieser begehrten Kiezlage ist eine derartige Wohn-/Nutz-flexibilität inklusive angenehmer Hofidylle sehr attraktiv.\n\nEin Energieausweis ist nicht vorhanden.', 'Sie möchten den Marktwert Ihrer Immobilie wissen oder Ihre Immobilie verkaufen? Wir sind seit 1995 erfolgreich im Verkauf von Immobilien in Berlin, Potsdam und Umgebung tätig. Unsere exzellenten Eigentümerbewertungen sprechen für sich.\n\n•\tOftmals haben wir schon den richtigen Käufer für Ihre Immobilie in unserer Kartei\n•\tWir sind Bellevue Best Property Agent und Mitglied in den Verbänden IVD & FIABCI\n•\tWir benötigen keinen schriftlichen Alleinauftrag\n•\tKosten entstehen Ihnen bei uns keine\n•\tUnsere Spezialisten stehen Ihnen gerne für ein erstes – für Sie unverbindliches - Gespräch zur Verfügung\n\nWir freuen uns über Ihre Kontaktaufnahme unter einkauf@immoberlin.de oder (030) 895 72 20.\nBitte besuchen Sie auch unsere Website: \nhttps://www.immoberlin.de'];true;disabled;;;;;;;;
2020-05-30 19:30:02.305399;Berlin;;ONE_YEAR_FREE;16105520;n;y;https://pictures.immobilienscout24.de/listings/54a50db7-b8e7-475a-8fbd-c4b044deb0a2-1372314298.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;5;11.13;40 MBit/s;telekom_layer_magenta_l;über VDSL;;REGULAR;11.13;118317556;no_information;y;false;MagentaZuhause L;y;Berlin;y;6;;;no_information;;5.02;85;Berlin;12249;no_information;no_information;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;12249;3;;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01006382082;299000;profile0;;3;true;n;showqualicontactform;n;n;Lankwitz_Steglitz;165006;4;Berlin;/expose/118317556;['Diese Hochparterre Wohnung bietet idealen Wohnkomfort für ein Paar oder eine kleine Familie. Die Räume sind ideal geschnitten, ein großes Wohnzimmer und zwei weitere großzügige Schlafzimmer, eine separate Küche und ein Tageslichtbad. Die Wohnung wird spätestens zum Ende 2021 bezugsfrei durch den Eigentümer.\n\n- perfekte Infrastruktur mit Schulen und Geschäften\r\n- sonniger, großzügiger Westbalkon \r\n- ideale Raumaufteilung\r\n- Großzügiges Tageslichtbad\r\n- Naherholung Gemeindepark Lankwitz\r\n- Garantiert Bezugsfrei zum Sommer 2021, möglicherweise früher\r\n- und, und, und...\n\nDer Eigentümer wurde aufgefordert den Energieausweis vorzulegen', 'in direkter Nähe zum Gemeindepark Lankwitz'];;;1862381342;;;;;;;
2020-05-30 19:30:02.735434;Berlin;floor_heating;;33013;y;y;https://pictures.immobilienscout24.de/listings/25d2903b-56ca-4cfa-8fd7-64841b9765d3-1368910981.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;20;11.14;;;;2020;;11.14;118316012;gas;n;true;;y;Berlin;y;11;9;;no_information;energy_required;6.17;112.35;Berlin;10435;first_time_use;luxury;false;;underground_garage;no_information;n;;;no_information;apartment;10435;3;61;n;2,active;;Deutschland;schaufenster;;wohnung_kauf;n;2;;false;001.33013;1300000;profile0;6;3;true;n;showqualicontactform;y;n;Prenzlauer_Berg_Prenzlauer_Berg;186212-06;5;Berlin;/expose/118316012;['- Premium-Neubauprojekt des preisgekrönten Architekten Thomas Kröger\n\n- siebengeschossiges Gebäude bestehend aus Vorderhaus und Seitenflügel, einer Remise sowie einer Tiefgarage\n\n- prägnante Straßenfassade aus Klinkermauerwerk, horizontalen Sichtbeton-, sowie Bronze- und Glaselementen\n\n- spektakulärer begrünter Lichthof mit Aluminium-Fassadenbekleidung \n\n- aufwendig gestalteter Gartenhof als Begegnungsfläche für die Hausgemeinschaft\n\n- Tiefgarage mit 16 Stellplätzen (KP 30.000 - 59.000 EUR zzgl. Prov.), teilweise für E-Mobilität vorbereitet', '- Wohnung durchgesteckt\n\n- raumhohe Holzfenster mit Aluminiumkern, dreifach verglast, teils als große Schiebeelemente\n\n- zwei Balkone (zum idyllischen Hof und zur Straße)\n\n- Parkett aus geölter Räuchereiche, Natursteinböden Travertin (Mehrpreisoption)\n\n- Fußbodenheizung, zus. Wandheizung in den Bädern\n\n- stilsicheres Badezimmerdesign, Armaturen von Vola\n\n- separater Hauswirtschaftsraum mit Waschmaschinenanschluss', '- beste Lage an der Schnittstelle zwischen Mitte und Prenzlauer Berg \n\n- straßenseitig weiter Blick über gegenüber liegende Waldorf-Schule mit angrenzenden Grünflächen und in ruhige Gärten rückseitig\n\n- Straßenbild geprägt durch renovierte Stuckfassaden und architektonisch interessante Neubauten\n\n- verkehrsberuhigte Fahrrad- und Anwohnerstraße zwischen den belebten Achsen Kastanienallee und Schönhauser Allee\n\n- Lebensqualität pur durch ausgeprägte Kiezstruktur mit kleinen Boutiquen und Geschäften, Cafés und Restaurants, Galerien und Ateliers sowie Bürogemeinschaften und Praxen\n\n- mehrere gute Schulen und Kitas in Fußnähe\n\n- jährliches, von Anwohnern organisiertes Straßenfest\n\n- sehr gute Verkehrsanbindung dank U-Bahn Station Senefelder Platz (U2) sowie Tram-Linien M1 und M12', 'Die Provision in Höhe von 5,95% des Kaufpreises (inkl.19% MwSt.) wird vom Käufer getragen und ist verdient und zahlbar an die BBI Immobilien GmbH bei Kaufvertragsabschluss.\n\n\nWAS IST IHRE IMMOBILE WIRKLICH WERT?\nWir bieten eine kostenlose Einschätzung Ihrer eigenen Immobilie durch unsere Experten.\nAuf Wunsch sorgen wir für einen seriösen und zeitnahen Verkauf.\nSie erreichen uns auch am Wochenende unter: 030-3277340.\nUnser Büro am Kurfürstendamm ist 7 Tage in der Woche für Sie geöffnet.\n\n\nWeitere interessante, sowohl provisionspflichtige als auch provisionsfreie Angebote von Bauträgern, von Eigentumswohnungen über Einfamilienhäuser und Villen (Nutzung privat und gewerblich) bis hin zu renditeträchtigen Miethäusern für Investoren finden Sie unter www.bbi-immobilien.de'];;disabled;3;91337;1;B;true;;;
