timestamp;obj_regio1;obj_heatingType;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_yearConstructed;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;ga_cd_cxp_historicallisting;obj_parkingSpace;obj_street;obj_lift;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_ityp;geo_land;ga_cd_via;obj_immotype;obj_rented;obj_floor;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;evt_count_pm_sig;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_telekomTvOffer;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_telekomInternetType;obj_telekomInternetProductName;obj_telekomDownloadSpeed;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_telekomHdTelephone;obj_telekomInternet;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_numberOfFloors;obj_rentSubsidy;obj_energyEfficiencyClass;obj_lastRefurbish;obj_noParkSpaces;obj_groupnumber;obj_usableArea
2020-05-30 19:50:02.455320;Berlin;central_heating;14544073;n;y;https://pictures.immobilienscout24.de/listings/64381b6c-cd3d-4062-af99-6a7020a9ac7d-1349155993.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;11.12;1915;11.12;115592432;district_heating;y;false;y;Berlin;n;11;1;.;energy_required;6.13;200;Berlin;10719;fully_renovated;luxury;false;no_information;"Kurf&uuml;rstendamm";y;Kurfürstendamm;apartment;10719;4;80.5;n;2,active;Deutschland;standard;wohnung_kauf;n;1;002.01000690340;1800000;profile0;4;true;n;showqualicontactform;n;n;Charlottenburg_Charlottenburg;340+;7;Berlin;/expose/115592432;['Das Wohnhaus befindet sich nahe der Schaubühne.\n\nDiverse Einkaufsmögflichkeiten sind vorhanden.', '- Parkett\n- große offene Küche mit Einbauküche\n- Wannenbad\n- Duschbad\n- Balkon\n- Kellerraum', '- zum U-Bahnhof Adenauerplatz sind es ca. 3\nGehminuten'];;;;;;;;;;;;;;;;;;;;
2020-05-30 19:50:02.849297;Berlin;no_information;18439236;n;y;https://pictures.immobilienscout24.de/listings/a544d9f6-fe9a-4e40-8fe5-1e10abc56a7b-1349095516.png/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;11.35;;11.35;115587197;;n;false;y;Berlin;y;8;;no_information;;7.53;82;Berlin;10249;no_information;no_information;false;no_information;no_information;y;no_information;roof_storey;10249;3;;n;2,active;Deutschland;standard;wohnung_kauf;y;5;002.01009255342;449000;profile0;3;true;n;showqualicontactform;n;n;Friedrichshain_Friedrichshain;VK-19003_c;4;Berlin;/expose/115587197;['Die wunderschön geschnittene Dachgeschosswohnung befindet sich in einem Eckgebäude in einer ruhigen Seitenstraße in Berlin-Friedrichshain, unweit des Volksparks. Ob Joggen im Park, Erholung auf einer der weitläufigen Grünflächen oder Familienausflüge zu einer der vielen Spiel- und Sportplätze, all das befindet sich in unmittelbarer Umgebung der herrlichen Wohnung.\n\nDas nähere Umfeld bietet neben einer sehr guten Infrastruktur mit einladenden Cafés und Restaurants ein abwechslungsreiches Angebot und erfreut sich bei jungen Einwohnern sowie alteingesessenen Berlinern größter Beliebtheit.\n\nDurch die Anbindung an die Öffentlichen Verkehrsmittel über Tram und S-Bahn (Ringbahn Landsberger Allee) sind die umliegenden Kieze der Stadt schnell erreicht. \n\nMehrere Schulen und Kindergärten sowie ein Spiel- und Sportplatz machen darüber hinaus die Lage dieser Wohnung perfekt.\n\nNachdem Sie durch den Eingang des Hauses ins Treppenhaus gelangt sind, können Sie mit dem Aufzug zu Ihrer Wohnung gelangen.\n\nEin heller Flur verbindet alle Räume der Wohnung miteinander. Gleich zu Beginn auf der rechten Seite gelangen Sie in das Tageslicht-Bad, gefliest mit hellen Kacheln ausgestattet mit einer Dusche. Im Anschluss daran befindet sich ebenfalls auf der rechten Seite die Küche. Durch die verglaste Tür zur Dachterrasse erstrahlt die Küche im Tageslicht, insbesondere zur Mittagszeit. Mit wenigen Schritten über den gefliesten Küchenfußboden, können Sie auf die Dachterrasse austreten. Die südliche Ausrichtung bietet somit viel Licht und liegt ruhig in Richtung des Innenhofs.\n\nAm Ende des Flures, öffnet sich ein weiterer Raum, dieser kann beispielsweise als Arbeitszimmer genutzt werden. Das geräumige Wohnzimmer besticht durch seine Größe. Viel Platz für Möbel steht zur Verfügung, wodurch sich für jeden Bewohner ein charmantes Wohngefühl eröffnet. Jedes Zimmer wird durch direktes Tageslicht beleuchtet und lässt den Blick frei über die ruhige Seitenstraße. Durch die qualitativ hochwertigen Fenster wird die Geräusch-Kulisse, die auf den belebten Straßen Berlins entsteht, sehr gut abgeschirmt. Auch das Schlafzimmer ist sehr gut geschnitten und bietet viel Platz für Kleiderschränke. Die Wohnung ist ausschließlich mit Parkett ausgelegt, lediglich die Küche und das Badezimmer sind gefliest. Das Angebot wird durch ein Kellerabteil als Lagerfläche abgerundet.\n\n\nDie Wohnung befindet sich in einem vermieteten Zustand.', 'Die Wohnung liegt mitten im Herzen des jungen und belebten Szenebezirks Berlin-Friedrichshain. Das bekannte Wohnviertel in Berlin hat sich über die letzten Jahre als besonders gefragte Innenstadtlage bei Mietern und Investoren fest etabliert und überzeugt durch die gute und schnelle Anbindung an Berlin-Mitte im Westen, den Prenzlauer Berg im Norden, wie auch Kreuzberg und Neukölln im Süden.\n\nDie hochfrequentierte Durchmischung von einem hohen Anteil an gut erhaltenem Altbaubestand und einer stetig wachsenden Anzahl an Neubauten macht diesen Bezirk attraktiv und abwechslungsreich.\n\nFriedrichshain steht insbesondere für ein junges und frisches Leben. Nicht ohne Grund nennt man diesen Bezirk das Kneipen- und Restaurantviertel der Hauptstadt. Insbesondere rund um den Boxhagener Platz reihen sich eine Unzahl an Restaurants mit kulinarischen Spezialitäten aus aller Welt wie auch kleine Cafés.\nAn Samstagen finden verschiedene Wochenmärkte statt, zu dem eröffnet sich Ihnen zudem die Möglichkeit stets die frischesten und besten Produkte des Berliner Umlandes zu erwerben.\n\nMit dem sonntäglichen Flohmarkt am Boxhagener Platz findet sich hier ein weiteres unter den Bewohnern des Viertels beliebtes Spektakel. \n\nAuf der gegenüberliegenden Seite des Volksparks befindet sich das schöne „Bötzowviertel“ mit einem besonderen Bestand an Altbauten, wie auch den angrenzenden „Kollwitzkietz“.'];ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;5;;;;;;
2020-05-30 19:50:03.182519;Berlin;self_contained_central_heating;18573100;n;y;https://pictures.immobilienscout24.de/listings/d396e021-34b8-4fc2-b60e-4939f0b86a08-1349253076.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;8;10.95;1920;10.95;115601030;gas;y;false;n;Berlin;y;7;1;36;energy_consumption;6.54;57;Berlin;10435;well_kept;normal;false;no_information;Chorinerstrasse;n;Chorinerstrasse;apartment;10435;1.5;129;n;2,active;Deutschland;top;wohnung_kauf;n;3;009.ba792e0e-f7f8-4a15-ad3b-c69489f0c5bf;335000;profile0;1;true;n;showqualicontactform;n;n;Prenzlauer_Berg_Prenzlauer_Berg;60f041dc-ac24-4fc7-96c0-93cf85e2ccee;2;Berlin;/expose/115601030;"['Private (seller, no agency fees): \nVery charming Altbau appartment. 3rd floor with balcony giving on a green backyard. Quiet, friendly neighbours, in one of Berlin\'s best area (Kastanienallee) in Mitte. The flat used to be a two room flat with additional kitchen and we opened it into a 1,5 room flat (big bedroom with balcony + an opened kitchen-salon). The flat has a full kitchen in it (build in two years ago) with fridge/freezer, dishwasher and gas cooking. It has good light, even if orientated north-est.  It\'s very quiet and peaceful, while residing in the very center of the city. \n\nIt is sold privately by the owner (no additional 7,14% fees as usual in Berlin). Visits asap. The flat is vacant from today and can be moved in as soon as wanted. The monthly expenses for the housing  (""Hausgeld"") are 161€/month which is low for Berlin. External renovation works (of the building) were recently made and there are no further investments planned. The building is clealry more a family orientated house, with good vibes, and the neighbours are all very friendly. \n\nDiese schöne Altbauwohnung im sehr beliebten Berliner Mitte liegt in einer ruhigen Seitenstraße parallel zur Kastanienallee. Das Objekt wurde um 2008 saniert. Gute Anbindungen an U-Bahn und Tram. Die Wohnung bietet einen guten Schnitt in denen sich die ca. 57 qm optimal nutzen lassen. Die Wohnung befindet sich im dritten Obergeschoss mit Balkon der auf einen ruhigen und grünen Hinterhof-Park gibt. Perfekt für Singles oder Pärchen geeignet. Die Wohnung ist leerstehend und kann ab sofort bewohnt werden. Besichtigungen ab heute. \n\n\n', 'The flat has a complete kitchen with dishwasher and american fridge and also a washmachine. All of this is two years old. Some basic furniture (double bed, kitchen table and chairs) can remain in the flat if wanted.\n\nDie Wohnung hat eine komplette Küche (Spülmachine, Gas-Herd und Ofen, Waschmachine und grosser Kühlschrank) was alles vor zwei Jahren eingebaut wurde. Die Arbeitsfläche (in Bamboo holz) könnte neu geschliffen/lackiert werden, ansonsten ist der genereller Zustand gut mit Kleinigkeiten die man sanieren könnte. ', ""Chorinerstrasse is a reduced traffic street, parallel to Kastanienalle, in the heart of Mitte-Prenzlauer Berg's alive area. It is known for its family living atmosphere and still transmits the cultural beat of this historical part of the town. The street is very quiet and peaceful even if you are in the heart of its center. "", 'one balcony\none cellar \n\nBalkon und Keller, und nette Nachbarn :)']";ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;5;161;D;2018;;;
2020-05-30 19:50:03.554543;Berlin;central_heating;14544073;n;y;https://pictures.immobilienscout24.de/listings/b7fc092a-7e33-49c7-aae7-9766385b7dbb-1349168647.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;11.12;1920;11.12;115593545;district_heating;n;false;y;Berlin;n;11;1;.;energy_required;6.13;246.52;Berlin;14057;no_information;no_information;false;no_information;Kaiserdamm;y;Kaiserdamm;roof_storey;14057;6;101.5;n;2,active;Deutschland;standard;wohnung_kauf;n;5;002.01000690340;1585200;profile0;5;true;n;showqualicontactform;n;n;Charlottenburg_Charlottenburg;362+;7;Berlin;/expose/115593545;['Das Wohnhaus befindet sich in einem gepflegtem Zustand.\n\nDer Rohling ist mit allen Versorgungsleitungen versehen.\n\nDiverse Einkaufsmöglichkeiten sind vor Ort vorhanden.', '- 2 Terrassen', '- wenige Minuten mit dem Bus zum U-Bahnhof Kaiserdamm'];;;;;;;;;;;;;;;;;;;;
2020-05-30 19:50:03.926868;Berlin;central_heating;14544073;n;y;https://pictures.immobilienscout24.de/listings/3b363001-272e-4d7b-a62d-d9a13ea53eed-1349169873.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;11.35;1912;11.35;115593696;gas;n;false;y;Berlin;y;7;1;.;energy_required;7.53;62;Berlin;10245;need_of_renovation;no_information;false;no_information;"Modersohnstra&szlig;e";n;Modersohnstraße;apartment;10245;2;145.7;n;2,active;Deutschland;standard;wohnung_kauf;n;3;002.01000690340;372000;profile0;2;true;n;showqualicontactform;n;n;Friedrichshain_Friedrichshain;224+;3;Berlin;/expose/115593696;['Das Wohnhaus befindet sich nahe dem Rudofplatz.\n\nDiverse Einkaufsmöglichkeiten sind in der Umgebung vorhanden.', '- Naturdielen\n- Wannenbad\n- Balkon \n- Kellerraum', '- der S-U-Bahnhof Warschauer Straße ist ca. 10 Minuten entfernt'];;;;;;;;;;;;;;;;;;;;
2020-05-30 19:50:04.310742;Berlin;self_contained_central_heating;14544073;n;y;https://pictures.immobilienscout24.de/listings/21e1dc07-3baf-48cb-8794-b199ef3b93fa-1349167258.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;7.75;1990;7.75;115593466;gas;n;false;y;Berlin;n;8;4;.;energy_required;3.57;93;Berlin;14193;fully_renovated;no_information;false;no_information;"Trabener Stra&szlig;e";n;Trabener_Straße;maisonette;14193;3;125.5;n;2,active;Deutschland;standard;wohnung_kauf;n;0;002.01000690340;480000;profile0;3;true;n;showqualicontactform;n;n;Grunewald_Wilmersdorf;201;4;Berlin;/expose/115593466;['Das Wohnhaus befindet sich nahe der Niersteiner Straße in ruhiger Lage, im schönen Ortsteil Grunewald.\n\nDie Wohnung ersteckt sich vom Erdgeschoss ins helle Untergeschoss zur ebener Erde zur Terrasse (moderne Bauweise).\n\nDer Kurfürstendamm mit den vielen Restaurants, kleinen Läden und Bars sowie dem umfangreichen Kulturangebot laden zum Bummeln ein.', '- Parkett\n- 2 Wannenbäder\n- Süd-Ost-Terrasse', '- in ca. 8 Minuten zm Kurfürstendamm und Anschlussstelle A 100\n\n- mit dem Bus zum S-Bahnhof Halensee'];;;;;;;;;;;;;;;420;;;;;
2020-05-30 19:50:04.883880;Berlin;central_heating;14544073;n;n;https://pictures.immobilienscout24.de/listings/ccb32dbb-4d01-4969-bdab-c5129078fc3b-1349165355.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;12.7;1912;12.7;115593302;;n;false;y;Berlin;y;6;1;.;energy_consumption;7.58;60.45;Berlin;10559;need_of_renovation;no_information;false;no_information;"Rathenower Stra&szlig;e";y;Rathenower_Straße;apartment;10559;2;106.8;n;2,active;Deutschland;standard;wohnung_kauf;n;3;002.01000690340;284000;profile0;2;true;n;showqualicontactform;n;n;Tiergarten_Tiergarten;247+;2;Berlin;/expose/115593302;['Das Wohnhaus befindet sich in einer Nebentraße der Perleberger Straße nahe Stendaler Straße.\n\nDiverse Einkaufsmöglichkeiten sind in der nahen Umgebung vorhanden.', '- Deckenhöhe ca. 3,25 m\n- Naturdielen\n- Wannenbad \n- Kellerraum', '- mit dem Bus in ca. 5 Minuten zum U-Bahnhof Turmstraße'];;;;;;;;;;;;;;;;;;;;
2020-05-30 19:50:05.216064;Berlin;central_heating;164338;n;n;https://pictures.immobilienscout24.de/listings/970739c4-6659-492f-8ac0-6970c0947021-1356723300.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;12.78;1880;12.78;115590625;no_information;y;false;y;Berlin;n;8;1;no_information;energy_consumption;7.23;66;Berlin;10785;first_time_use;luxury;false;no_information;no_information;n;no_information;apartment;10785;2;243;n;2,active;Deutschland;standard;wohnung_kauf;n;;001.164338;499000;profile0;2;true;y;showqualicontactform;n;n;Tiergarten_Tiergarten;AIB12796;3;Berlin;/expose/115590625;"['Es handelt sich um eine repräsentative Garten-Residenz mit ca. 66qm herrschaftlicher Wohnfläche im einzigartigen viergeschossigen Stadtpalais, welches im Jahre 1880 vom Maurermeister Paul Garnn und Otto Krantz errichtet wurde. \r\rDie Wohnungen wären bis Sommer 2020 sofort bezugsfertig. \r\rDas Objekt wird zurzeit bis Sommer 2020 umfangreich modernisiert. \r\rFür das Erdgeschoß existiert eine gewerbliche Genehmigung, d.h. man könnte die Räume im Erdgeschoss gewerblich an Feriengäste, Berlin-Besucher oder langfristig an air- bnb vermieten und somit 30 bis 35 € pro QM erzielen. Somit könnte man 5 bis 6 % Rendite erzielen. \r\rDie Wohnungen oder Gewerbeeinheiten wären auch zusammenlegbar. \r\rDas Objekt verfügt über viele alte originale Stilelemente und Stuckverzierungen aus dem Jahre 1880.\r\rWeitere Details teilen wir Ihnen gerne auf Nachfrage mit!', 'Eine attraktive Adresse in alter Wohnlage von Mitte / Tiergarten – fast direkt am Potsdamer Platz!', 'Unser Service für Eigentümer\rWir stehen Ihnen bei dem Verkauf Ihrer Immobilie vom Anfang bis zum fertigen Abschluss diskret und kompetent zur Verfügung. \rJeder Schritt erfolgt nach Absprache mit Ihnen. \rSie entscheiden über die Verkaufsstrategie Ihres Objektes, ob diskret und ""off-market"" oder eine qualifizierte Vermarktung in Print- sowie Onlinemedien. \rWir verfügen immer über den richtigen Käufer. \rZudem bewerten wir Ihre Immobilie kostenfrei, entsprechend dem aktuellen Marktwert.\rGerne beraten wir Sie kostenlos persönlich in unserem Büro, per Telefon oder per E-Mail!\rWir freuen uns von Ihnen zu hören!\rwww.immo-boerse24.de']";ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;4;;;2020;;;
2020-05-30 19:50:05.794403;Berlin;central_heating;17984017;n;n;https://pictures.immobilienscout24.de/listings/38dc4e4f-fd28-4c62-ab68-bf4eb865d10a-1349161085.png/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;3;11.12;1960;11.12;115592714;district_heating;y;false;y;Berlin;y;3;2;no_information;energy_required;6.13;36;Berlin;10625;well_kept;normal;false;no_information;no_information;y;no_information;roof_storey;10625;1;121;n;2,active;Deutschland;top;wohnung_kauf;n;6;009.4eebdd57-ba44-4752-b4dd-5eba8ebf65a6;150000;profile0;1;true;n;showqualicontactform;n;n;Charlottenburg_Charlottenburg;B-20191019;1;Berlin;/expose/115592714;['Den Feierabend über den Dächern der Haupstadt mit einem guten Wein genießen - hier bekommt man Lebensqualität. Diese Wohnung befindet sich im nachträglich aufgestockten Dachgeschoss und lässt sich bequem über den Fahrstuhl erreichen. Am Fuße des Hauses befindet sich ein attraktiver \n Gründerzeitkiez mit perfekter Anbindung an sämtliche Bezirke. Ein Stellplatz wäre optional anmietbar. \n\nHereinspaziert! Einmal in der Wohnung, empfängt Sie der helle und freundliche Flur, von dem idealerweise alle Zimmer einzeln abgehen. Kein Quadratmeter wird hier verschwendet. Ganz im Gegenteil. Das Zimmer ist das Highlight der Wohnung. Mit Blick über Berlin besticht es durch seine Helligkeit und sorgt für klare Gedanken. \n\nEin besonders durchdachter Grundriss! Sowohl die Küche als auch das Badezimmer sind hofseitig angeordnet. Minimale Lautstärke und maximales Wohlfühlen - jeder Raum verfügt über ein Fenster und hat perfekte Proportionen.', '• Bad mit Fenster und Badewanne\n• Einbauküche\n• Fliesenboden und Laminat\n• zusätzlicher Kelleranteil\n• Personenaufzug\n• vermietet seit dem 01.06.2009', 'Eingebettet zwischen der Bismarckstraße und dem Ernst-Reuter-Platz liegt das Objekt nahe der Technischen Universität Berlin im Herzen Charlottenburgs. Durch die optimale Infrastruktur erreichen Sie in nur wenigen Gehminuten die U-Bahnhöfe der Bismarckstraße oder des Ernst-Reuter-Platzes sowie unterschiedliche Bushaltestellen der Linien M45, 101, 245, X9, N2. In einem pulsierenden Umfeld können Sie Ihre Freizeit je nach Belieben gestalten. In unmittelbarer Nähe laden das Schiller und Renaissance Theater oder die Deutsche Oper zu einer bunten Auswahl an Veranstaltungen ein. Neben nahe gelegenen Fitness- und Sportvereinen bieten das Schloss Charlottenburg mit seiner wunderschönen Parkanlage oder die Uferpromenaden der Spree eine ansprechende Alternative, um etwas Ruhe vom Alltag zu genießen. Abgerundet wird das Ganze durch eine Vielzahl an Shoppingmöglichkeiten und Restaurants im direkten Umfeld.', 'Wir haben Ihr Interesse geweckt? Zögern Sie nicht uns zu kontaktieren. Wir freuen uns Sie kennen zu lernen!'];ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;6;;D;;;;
2020-05-30 19:50:06.132498;Berlin;central_heating;14544073;n;y;https://pictures.immobilienscout24.de/listings/9fafec59-07c0-4f71-b050-7200038ba91d-1349168388.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;11.12;1920;11.12;115593518;district_heating;n;false;y;Berlin;n;10;1;.;energy_required;6.13;120.65;Berlin;14057;no_information;no_information;false;no_information;Kaiserdamm;y;Kaiserdamm;roof_storey;14057;3;101.5;n;2,active;Deutschland;standard;wohnung_kauf;n;5;002.01000690340;769300;profile0;3;true;n;showqualicontactform;n;n;Charlottenburg_Charlottenburg;305+;5;Berlin;/expose/115593518;['Das Wohnhaus befindet sich in einem gepflegtem Zustand.\n\nDer Rohling ist mit allen Versorgungsleitungen versehen.\n\nDiverse Einkaufsmöglichkeiten sind vor Ort vorhanden.', '- Terrasse', '- wenige Minuten mit dem Bus zum U-Bahnhof Kaiserdamm'];;;;;;;;;;;;;;;;;;;;
