timestamp;obj_regio1;obj_heatingType;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_yearConstructed;obj_telekomInternetType;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_houseNumber;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_assistedLiving;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_usableArea;obj_project_id;obj_floor;obj_nbp;obj_numberOfFloors;evt_count_pm_sig;obj_galleryAd;obj_energyType;obj_thermalChar;obj_energyEfficiencyClass;obj_groupnumber;obj_rentSubsidy;obj_telekomHybridUploadSpeed;obj_telekomHybridDownloadSpeed;ga_cd_via_qualified;obj_noParkSpaces
2020-05-30 20:01:47.476970;Berlin;gas_heating;ONE_YEAR_FREE;15775007;n;n;https://pictures.immobilienscout24.de/listings/679df423-431c-4a51-b2b5-f614f7887a6f-1330306723.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;5;7.89;40 MBit/s;telekom_layer_magenta_l;über VDSL;1930;REGULAR;7.89;110792781;gas;n;false;MagentaZuhause L;y;Berlin;n;10;1;no_information;3.38;145;Berlin;14193;no_information;no_information;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;no_information;14193;5;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.15667404;890000;profile0;5;true;n;n;n;Grunewald_Wilmersdorf;110792781;6;Berlin;/expose/110792781;['EXPOSE AUF ANFRAGE !', 'Die Wohnung verfügt über ein großes Wohnzimmer mit ca. 2,80 m Deckenhöhe. Des Weiteren befinden sich ein Gäste-WC, ein großzügiges Elternschlafzimmer, zwei gut geschnittene Kinderzimmer ein geräumiges Gästezimmer und ein großes Badezimmer in der Wohnung. Die gut geschnittene  Küche, ein Balkon, Parkettböden, und ein Gäste-WC mit einer Dusche gehört ebenfalls zur hochwertigen Ausstattung.  \n\nWeitere Unterlagen oder Besichtigung bitte auf Anfrage!', 'Leben in Berlin-Grunewald, bedeutet ruhiges und grünes Wohnen bei gleichzeitiger Anbindung an die Stadt. Öffentliche Verkehrsmittel sowie Einkaufsmöglichkeiten befinden sich in unmittelbarer Nähe.', 'Südwest Immobilien ist auf die Vermittlung von hochwertigen Villen, Einfamilienhäusern, Grundstücken sowie Eigentumswohnungen spezialisiert.\n\n\nIn den letzten Jahren ist es uns durch stetige Marktbeobachtung gelungen, den schnell wachsenden Berliner Markt zu erschließen und ein breites Spektrum an Anlageimmobilien anbieten zu können. Unser Kundenklientel besteht vor allem aus Privatpersonen, u.a. auch Personen des öffentlichen Lebens.\n\n\nDa wir international aufgestellt sind, können wir auch französisch, englisch-sprechende und vor allem russische Kunden individuell ansprechen und betreuen.\n\n\nVertrieb ist für uns mehr als nur Verkaufen. Wir sind es gewohnt, unsere Kunden individuell anzusprechen und partnerschaftlich langfristig mit ihnen zusammenzuarbeiten. Im Vordergrund steht für uns stets die Suche nach dem Mehrwert für beide Partner.'];;;;;;;;;;;;;;;;
2020-05-30 20:01:47.844525;Berlin;floor_heating;ONE_YEAR_FREE;17154247;n;y;https://pictures.immobilienscout24.de/listings/fb7a8a23-038b-4a83-9e71-f302b81805c0-1285345590.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;4;10.06;40 MBit/s;telekom_layer_magenta_l;über VDSL;2018;REGULAR;10.06;110041509;no_information;n;false;MagentaZuhause L;n;Berlin;y;9;9;no_information;5.29;143.8;Berlin;13156;first_time_use;sophisticated;false;100 MBit/s;underground_garage;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;ground_floor;13156;5;n;2,active;true;Deutschland;premium;100 MBit/s;wohnung_kauf;n;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01007915155;745900;profile0;5;true;y;n;n;Niederschönhausen_Pankow;104337448;6;Berlin;/expose/110041509;['Das Wohnensemble aus 9 Eigentumswohnungen und einem Gartenatelier entsteht in mitten des Ortsteils Niederschönhausen in einer attraktiven und grünen Lage innerhalb eines gewachsenen Umfelds. \nNeben einem nur für Anwohner nutzbaren Spielplatz, entstehen auf dem Grundstück repräsentativ gestaltete Grünzonen, die geschmackvoll mit heimischen Bäumen, Büschen und Ziergräsern bepflanzt werden. Die lichtdurchfluteten Wohnungen und die grüne Wohnanlage bieten alles, was das Leben leicht und schön macht.', '- Lichtdurchflutete Räume mit offener Wohnraumgestaltung\n- Ausreichend Fahrradabstellplätze\n- Alle Fenster aus Aluminium mit Isolierverglasung, nach Vorgabe des Architekten\n- Eicheparkett in allen Wohn- und Schlafräumen\n- Angenehme Fußbodenheizung\n- Erdgeschosswohnung + Gartenatelier mit eigenem Gartenanteil\n- Großzügige Terrassen, Balkone oder Dachterrassen in allen Wohnungen\n- Moderne Badausstattung mit Markenfabrikaten\n- Heizungsart: Zentralheizung mit Luft-/Wasser-Wärmepumpe und zusätzlicher Gas-Brennwerttherme\n- 9 Tiefgaragen-Stellplätze optional je 37.500 €', 'Zu Recht gilt Niederschönhausen als einer der vielseitigsten Lebensräume Berlins. Ob Restaurants und Einkaufsmöglichkeiten, Schulen und Arbeitsplätze, sportliche Freizeitaktivitäten und medizinische Versorgung, Sie erreichen alles mühelos und unkompliziert in wenigen Minuten zu Fuß oder mit dem Fahrrad. Gleichzeitig treffen Sie auf viele, liebevoll angelegte Parks und Grünanlagen. Und sollten Sie doch einmal in die Berliner Innenstadt wollen, profitieren Sie vom gut ausgebauten, öffentlichen Nahverkehr, der Sie bequem und schnell an Ihr Ziel bringt. Im Ortsteil befinden sich als attraktive und umweltschonende Alternative für viele Wege mehrere Tram-Haltestationen und zwei Omnibuslinien.', 'Der Energieausweis ist noch nicht vorhanden, da das Gebäude noch nicht erstellt ist.'];8;79693;0;true;5;showqualicontactform;;;;;;;;;;
2020-05-30 20:01:48.295407;Berlin;floor_heating;ONE_YEAR_FREE;17154247;n;y;https://pictures.immobilienscout24.de/listings/60af23db-4dfe-4071-8544-396a7f4a77ca-1285347282.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;4;10.06;40 MBit/s;telekom_layer_magenta_l;über VDSL;2018;REGULAR;10.06;110041507;no_information;n;false;MagentaZuhause L;n;Berlin;y;9;9;5;5.29;130.7;Berlin;13156;first_time_use;sophisticated;false;100 MBit/s;underground_garage;Am Iderfenngraben;y;https://padlock.link/ioml;https://padlock.link/ml;Am_Iderfenngraben;apartment;13156;5;n;2,active;true;Deutschland;schaufenster;100 MBit/s;wohnung_kauf;n;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01007915155;732000;profile0;5;true;n;n;n;Niederschönhausen_Pankow;104339062;6;Berlin;/expose/110041507;['Das Wohnensemble aus 9 Eigentumswohnungen und einem Gartenatelier entsteht in mitten des Ortsteils Niederschönhausen in einer attraktiven und grünen Lage innerhalb eines gewachsenen Umfelds. \nNeben einem nur für Anwohner nutzbaren Spielplatz, entstehen auf dem Grundstück repräsentativ gestaltete Grünzonen, die geschmackvoll mit heimischen Bäumen, Büschen und Ziergräsern bepflanzt werden. Die lichtdurchfluteten Wohnungen und die grüne Wohnanlage bieten alles, was das Leben leicht und schön macht.', '- Lichtdurchflutete Räume mit offener Wohnraumgestaltung\n- Ausreichend Fahrradabstellplätze\n- Alle Fenster aus Aluminium mit Isolierverglasung, nach Vorgabe des Architekten\n- Eicheparkett in allen Wohn- und Schlafräumen\n- Angenehme Fußbodenheizung\n- Erdgeschosswohnung + Gartenatelier mit eigenem Gartenanteil\n- Großzügige Terrassen, Balkone oder Dachterrassen in allen Wohnungen\n- Moderne Badausstattung mit Markenfabrikaten\n- Heizungsart: Zentralheizung mit Luft-/Wasser-Wärmepumpe und zusätzlicher Gas-Brennwerttherme\n- 9 Tiefgaragen-Stellplätze optional je 37.500 €', 'Zu Recht gilt Niederschönhausen als einer der vielseitigsten Lebensräume Berlins. Ob Restaurants und Einkaufsmöglichkeiten, Schulen und Arbeitsplätze, sportliche Freizeitaktivitäten und medizinische Versorgung, Sie erreichen alles mühelos und unkompliziert in wenigen Minuten zu Fuß oder mit dem Fahrrad. Gleichzeitig treffen Sie auf viele, liebevoll angelegte Parks und Grünanlagen. Und sollten Sie doch einmal in die Berliner Innenstadt wollen, profitieren Sie vom gut ausgebauten, öffentlichen Nahverkehr, der Sie bequem und schnell an Ihr Ziel bringt. Im Ortsteil befinden sich als attraktive und umweltschonende Alternative für viele Wege mehrere Tram-Haltestationen und zwei Omnibuslinien.', 'Der Energieausweis ist noch nicht vorhanden, da das Gebäude noch nicht erstellt ist.'];8;79693;2;true;5;showqualicontactform;;;;;;;;;;
2020-05-30 20:01:48.642150;Berlin;self_contained_central_heating;ONE_YEAR_FREE;15754699;n;n;https://pictures.immobilienscout24.de/listings/712bef65-b9a0-4128-a2a0-93896c35e9e8-1314226984.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;21;10.47;40 MBit/s;telekom_layer_magenta_l;über VDSL;1905;REGULAR;10.47;110968499;gas;n;false;MagentaZuhause L;y;Berlin;n;10;1;9;6.36;200.18;Berlin;13187;no_information;no_information;false;100 MBit/s;no_information;"Ossietzkystra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Ossietzkystraße;apartment;13187;6;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.15650116;899000;profile0;5;true;n;n;n;Pankow_Pankow;6051;7;Berlin;/expose/110968499;['Das Altbaugebäude in der Ossietzkystraße ist ein gepflegtes Eckhaus aus dem 19. Jahrhundert, und erstreckt sich bis in die Wolfshagener Straße 60.   \nDie Immobilie ist nur einige Gehminuten vom Rathaus Pankow und dem gegenüberliegendem Rathaus-Center Pankow entfernt.\nTypisch für das Altbaugebäude sind Wohneinheiten mit hohen Decken und hübschen Altbaudetails, \nsowie der ansehnlich dekorierte Hauseingang aus dem 19. Jahrhundert. \nIn dem Gebäude befinden sich insgesamt 8 Wohneinheiten, die größtenteils vermietet sind und ein kleiner Innenhof mit Sitzgelegenheit.\nDie hier angebotene Wohnung befindet sich im 1. Obergeschoss und besteht aus sechs Durchgangszimmern, einer Küche mit Speisekammer, einem Bad und einem separaten WC. Eine Loggia ist eben vorhanden.\nAlle Räume haben hohe Decken, einige sogar mit Stuckelementen. \n\nSeit 1985 ist die Wohnung vermietet und wird als Kapitalanlage verkauft. Eine Eigenbedarfskündigung ist für die nächsten 10 Jahre ausgeschlossen.\nDie Wohnung erwirtschaftet eine jährliche Nettokaltmiete in Höhe von \n8.912,04-- EUR.\n\n', 'Die Gegend rund um die Ossietzkystraße ist ein freundlicher Kiez in Pankow mit vielen kleinen Läden für den alltäglichen Bedarf und originellen Shops. Die wunderschöne Pfarrkirche Pankow befindet sich in unmittelbarer Nähe. \nPankow steht für kosmopolitisch, kreativ und entspannt und ist der perfekte Ort für Familien, Künstler, Neugierige und Nachtschwärmer.\n\nTrams (M1/M50) und Busse (155/ 250 / 255) sind in Kürze zu erreichen und bieten eine optimale Verkehrsanbindung.\n\n\n'];;;1;;;;disabled;energy_required;102;;;;;;;
2020-05-30 20:01:49.009410;Berlin;self_contained_central_heating;ONE_YEAR_FREE;97549;n;y;https://pictures.immobilienscout24.de/listings/072824e8-8b1b-4932-9ac2-67741ddc9330-1289123493.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;7;10.47;40 MBit/s;telekom_layer_magenta_l;über VDSL;1905;REGULAR;10.47;111083466;gas;n;false;MagentaZuhause L;y;Berlin;n;9;1;9;6.36;153.35;Berlin;13187;no_information;no_information;false;100 MBit/s;no_information;"Ossietzkystra&szlig;e";y;https://padlock.link/ioml;https://padlock.link/ml;Ossietzkystraße;apartment;13187;5;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.97549;689000;profile0;5;true;n;n;n;Pankow_Pankow;Ossietzky9-7;7;Berlin;/expose/111083466;['Der Altbau wurde ca. 1905 erbaut.\n\nDie Wärmeversorgung erfolgt mit Gasetagenheizungen.', '- Stuck\n- Parkett\n- Loggia, Erker\n- 3. Obergeschoss mit Aufzug\n- Altbautüren und Altbaufenster\n- Originalöfen\n- Tageslichtbad mit Wanne\n- vermietet', 'Die S-Bahn- und U-Bahn-Station „Pankow“ ist zu Fuß erreichbar.\n\nIm Umfeld gibt es diverse Geschäfte sowie Restaurants und Cafés.\nUnweit befinden sich die Volkshochschule Pankow, ein Krankenhaus, der Schlosspark mit dem Sommerbad Pankow sowie der Bürgerpark Pankow.', 'Die monatliche Nettokaltmiete beträgt ca. 520,88 €.'];;;3;;;showqualicontactform;;energy_required;102;D;0;;;;;
2020-05-30 20:01:49.344517;Berlin;;ONE_YEAR_FREE;16273579;n;n;https://pictures.immobilienscout24.de/listings/60a7cab4-a453-4c66-8ec1-23312bf3c21b-1286546409.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;11.35;40 MBit/s;telekom_layer_magenta_l;über VDSL;1910;REGULAR;11.35;110861246;gas;n;false;MagentaZuhause L;y;Berlin;n;5;1;no_information;7.53;48.61;Berlin;10245;no_information;no_information;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10245;2;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.15952887;219000;profile0;2;true;n;n;n;Friedrichshain_Friedrichshain;353-22;2;Berlin;/expose/110861246;['Die Wohnung befindet sich im 3. Obergeschoss im Vorderhaus eines wunderschön sanierten Stilaltbaus von 1900. Die helle Fassade mit ihren beiden imposanten, halbrunden Erkern ist größtenteils mit Efeu umrankt, der einen weithin sichtbaren, markanten Eindruck hinterlässt.', 'Vom Treppenhaus des Vorderhauses gelangt man zunächst in die geräumige Diele, von der aus zwei der Zimmer sowie Küche und Bad erreicht werden. Der begrünte Hof mit Baumbestand wurde liebevoll angelegt, ebenso die Treppenhäuser, deren traditionelle Holzgeländer und Eingangstüren erhalten wurden. In den großzügig geschnittenen Wohnungen finden sich noch Stuckverzierungen.\n\nDie gesamte Knorrpromenade ist geprägt von gut erhaltenen und sanierten Stilaltbauten der vorletzten Jahrhundertwende mit ihren markanten, teils verzierten bzw. begrünten Fassaden, den einladenden Hauseingängen und kleinen Terrassengärten sowie dem Baumbestand, welcher der ruhigen Seitenstraße einen Allee-Charakter verleiht.', 'Die Knorrpromenade ist eine ruhige Seitenstraße im Herzen des Stadtteils Friedrichshain in der Nähe des begrünten Boxhagener Platzes, einem der beliebtesten Viertel ganz Berlins. Nicht weniger als 20 Cafés und Restaurants für jeden Geschmack sind direkt um den Boxhagener Platz gruppiert. Ebenso sind Bankfilialen und Apotheken in unmittelbarer Nähe. Eine der größten Einkaufspassagen Berlins, in denen sich zahlreiche Geschäfte mit Waren des täglichen Bedarfs aneinanderreihen, das Plaza Frankfurter Allee, ist in ca. zwölf Minuten zu Fuß erreichbar, weitere Ladenpassagen befinden sich im jeweils 15 Minuten entfernten Ring Center und im Bahnhof Ostkreuz, der als S- und Fernbahnhof einen zentralen Verkehrsknotenpunkt Berlins darstellt. Noch schneller gelangt man zu einer der zahlreichen Bushaltestellen und U-Bahnstationen südlich und nördlich des Boxhagener Viertels. In der Nachbarschaft befinden sind auch mehrere Kinos, Clubs, Diskotheken und andere Entertainmentangebote sowie Kindertagesstätten bzw. Kinderfreizeiteinrichtungen.', 'Mit dem Mieter ist eine Nettokaltmiete von € 7,15 pro m², entsprechend einer monatlichen Miete von € 347,56, vereinbart. Die monatlichen Vorauszahlungen auf die Betriebskosten belaufen sich auf € 96,83, das Wohngeld beträgt € 159,30. \n\nBitte beachten Sie, dass es sich um eine vermietete Wohnung handelt. Daher veröffentlichen wir hier keine Bilder vom Inneren der Wohnung. Eine Besichtigung ist nach Abstimmung mit dem Mieter möglich.\n\nAlle Angaben beruhen auf den Auskünften des Eigentümers, wir übernehmen dafür keine Gewähr. Zwischenverkauf / Änderung / Irrtum vorbehalten.'];;;3;;4;;;energy_required;192;;;159.3;;;;
2020-05-30 20:01:49.683227;Berlin;central_heating;ONE_YEAR_FREE;16225148;n;n;https://pictures.immobilienscout24.de/listings/3911e1be-d039-447a-9cc2-56604a62a4cf-1287657378.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;8;11.35;2,4 MBit/s;telekom_layer_magenta_m_hybrid2;über Hybrid;1900;WITH_HYBRID;11.35;110915181;natural_gas_light;n;false;MagentaZuhause M Hybrid (2);y;Berlin;n;8;1;no_information;7.53;128.82;Berlin;10245;no_information;no_information;false;16 MBit/s;no_information;no_information;n;https://padlock.link/mmh2sa;https://padlock.link/mmhy2;no_information;apartment;10245;4;n;2,active;true;Deutschland;standard;50 MBit/s;wohnung_kauf;n;web,email,bank,music,dl-ul,game,sd,mltstr,hd;true;001.15930480;499000;profile0;4;true;n;n;n;Friedrichshain_Friedrichshain;686;6;Berlin;/expose/110915181;['Die 4-Zimmer-Wohnung befindet sich im 3. Obergeschoss des Vorderhauses eines wunderschönes Altbaus aus der Gründerzeit. Es wurde 1905 erbaut, wurde außen wie innen aufwendig saniert und befindet sich in einem sehr guten Zustand. \nDas Haus unterteilt sich in Vorderhaus, Seitenflügel und Gartenhaus. \nDie Wohnung ist aktuell sehr gut vermietet.\n\n\n', 'Der Rudolfkiez liegt am südlichen Ende von Friedrichshain, die Oberbaumcity,  Mediaspree und Stralau mit der Rummelsburger Bucht und dem Treptower Park grenzen diesen Anfang des 20. Jahrhunderts enstandenen Bezirk ein. \n\nDie Simon-Dach-Straße, Revaler Straße, East-Side-Gallery und das angenzende Kreuzberg sind die bekannten Hotspots in der Nähe mit vielen Bars, Clubs und Restaurants und fußläufig erreichbar. \n\nDie öffentlichen Nahverkehrsanbindungen mit den Knotenpunkten\nWarschauer Straße und Ostkreuz sowie die B96 sind ein Garant für Mobilität. Einkaufsmöglichkeiten, Kitas und Schulen sind ebenso in unmittelbarer Nähe.'];;;3;;;showqualicontactform;disabled;energy_required;118;D;;;10 MBit/s;50 MBit/s;;
2020-05-30 20:01:50.119367;Berlin;central_heating;ONE_YEAR_FREE;15333187;n;n;https://pictures.immobilienscout24.de/listings/4af41b72-4aba-467d-ba7e-794ced635788-1310781669.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;11.35;2,4 MBit/s;telekom_layer_magenta_m_hybrid2;über Hybrid;1905;WITH_HYBRID;11.35;110964130;gas;n;false;MagentaZuhause M Hybrid (2);y;Berlin;n;8;1;14;7.53;128.82;Berlin;10249;well_kept;no_information;false;16 MBit/s;no_information;Danneckerstr.;n;https://padlock.link/mmh2sa;https://padlock.link/mmhy2;Danneckerstr.;apartment;10249;4;n;2,active;true;Deutschland;top;50 MBit/s;wohnung_kauf;y;web,email,bank,music,dl-ul,game,sd,mltstr,hd;true;001.15281088;499000;profile0;4;true;n;n;n;Friedrichshain_Friedrichshain;5706;6;Berlin;/expose/110964130;['Bei diesem Objekt handelt es sich um eine 3 Zimmer-Altbauwohnung  in einem um 1905 errichteten 5-geschossigen Gebäudes bestehend aus Vorderhaus, einem Seitenflügel sowie einem Hinterhaus.\nDas Gebäude verfügt über 27 Einheiten. \n', 'Es handelt sich hierbei um eine sehr gepflegte, helle, ruhig gelegene, vermietete 3 Zimmerwohnung im 3. Obergeschoss des Vorderhauses. Die Wohnung hat Dielenböden und Stuck an den Decken. Die Beheizung erfolgt über eine moderne Erdgas-Zentralheizung.\nEin genaueres Bild können sie sich gern bei einer Besichtigung machen.\n\n', 'Der Rudolfkiez liegt direkt zwischen Boxhagener- und Wrangelkiez und gehört zu den (Noch-) Geheimtipps der Hauptstadt.\nHier wohnt man sehr zentral. Mit Mediaspree und der Oberbaumcity residieren wichtige Arbeitgeber der Hauptstadt direkt nebenan und man hat trotzdem ein beschaulich, nachbarschaftliches Umfeld ohne breite Touristenströme. Dafür fließt die Spree gleich nebenan. ', 'Für weitere Informationen oder Terminvereinbarungen steht Ihnen das Team der MAKSIM gerne telefonisch oder per E-Mail zur Verfügung.\n\nEine Gewähr für die Richtigkeit kann durch die Firma Maksim Immobiliengesellschaft mbH nicht übernommen werden.'];;;3;;5;;;energy_required;118;;;334.16;10 MBit/s;50 MBit/s;;
2020-05-30 20:01:50.448467;Berlin;central_heating;ONE_YEAR_FREE;18052783;n;y;https://pictures.immobilienscout24.de/listings/239b7b86-0ecc-494d-a98e-396a2099d92f-1371672982.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;11.48;40 MBit/s;telekom_layer_magenta_l;über VDSL;1904;REGULAR;11.48;110774773;district_heating;n;false;MagentaZuhause L;n;Berlin;y;8;1;2b;7.14;117.51;Berlin;10247;well_kept;no_information;false;100 MBit/s;no_information;"Pettenkofer Stra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Pettenkofer_Straße;apartment;10247;4;n;2,active;true;Deutschland;premium;100 MBit/s;wohnung_kauf;y;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01008679649;469000;profile0;4;true;n;n;n;Friedrichshain_Friedrichshain;498079;5;Berlin;/expose/110774773;['INVESTIEREN UND LEBEN IM TRENDVIERTEL\r\nDer schöne Altbau aus dem Jahr 1904 besteht aus 41 Wohn- und drei Gewerbeeinheiten, die sich im Vorderhaus und den Seitenflügeln auf insgesamt 5 Geschosse verteilen. Die gut geschnittenen 1 – 4- Zimmer-Wohnungen sind ca. 29 – 123 m² groß und teilweise mit Balkon oder Loggia ausgestattet. Zu fast allen Einheiten gehört ein Kellerraum. Die Wohnungen werden provisionsfrei verkauft.', 'Die Wohnung verfügt über folgende Ausstattung\r\n\r\n- Balkon\r\n- toller Grundriß \r\n- Stuck \r\n- Parkett- und Laminatböden\r\n- Modern gefliestes Bad mit Wanne \r\n- Gäste WC\r\n- Keller', 'Junge und urbane Lebensqualität sind hier zu Hause. Alles, was Ihr Herz begehrt, finden Sie im direkten\r\nUmkreis Friedrichshain ist das Viertel der jungen Leute.  Seit der Wende erlebt der Szenekiez einen Boom und\r\nmit einem Durchschnittsalter von etwa 37 Jahren ist er der Bezirk mit der jüngsten Bevölkerung überhaupt.\r\nDer Bezirk verändert sich stetig: Große Unternehmen wie Universal, Coca-Cola und BASF sind schon seit\r\nlängerem nahe der Oberbaumbrücke angesiedelt, und in den letzten Jahren zieht es die junge Kreativszene\r\nund viele Start-ups nach Friedrichshain – aber auch das neue, schicke Viertel rund um den Mercedes-Platz an\r\nder Spree mit East Side Mall, Kinowelt bringt neue Impulse in den Bezirk.\r\nFriedrichshain hat sich zu dem Vergnügungsviertel der Hauptstadt entwickelt: Ob Restaurants, Bars, Cafés,\r\nClubs – hier wird Vielfalt ohne Ende geboten. So zum Beispiel das Berghain, das RAW-Areal oder der\r\nHolzmarkt – die beliebtesten Clubs Berlins, und berühmt weit über die Stadtgrenzen hinaus.\r\nWer es etwas ruhiger angehen will, kann es sich am Forckenbeckplatz, im Blankensteinpark oder im Stadtpark Lichtenberg gut gehen lassen. Auch die Anbindung der Pettenkoferstraße an die öffentlichen Verkehrsmittel ist bestens. So lässt sich beispielsweise die U- und S-Bahn-Station Frankfurter Allee gut zu Fuß erreichen.'];;;3;;4;showqualicontactform;;energy_required;215.3;;;353.04;;;true;
2020-05-30 20:01:50.802671;Berlin;oil_heating;ONE_YEAR_FREE;18052783;n;y;https://pictures.immobilienscout24.de/listings/55d55a3e-b16a-47f5-ab66-8358acac268e-1358309146.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;7;15.27;40 MBit/s;telekom_layer_magenta_l;über VDSL;1972;REGULAR;15.27;108000910;oil;n;false;MagentaZuhause L;n;Berlin;y;4;3;9;9.28;57.2;Berlin;12163;well_kept;normal;false;100 MBit/s;no_information;"Forststra&szlig;e";y;https://padlock.link/ioml;https://padlock.link/ml;Forststraße;apartment;12163;2;n;2,active;true;Deutschland;premium;100 MBit/s;wohnung_kauf;y;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01008679649;198000;profile0;2;true;n;n;n;Steglitz_Steglitz;497967;2;Berlin;/expose/108000910;['Stattliche Altbauten schaffen den eleganten Rahmen für das Wohngebäude aus den 70er-Jahren mit seinen markanten roten Balkonen. Ein gepflegter\r\nHofgarten sowie eine Tiefgarage unterstreichen die hohe Wohnqualität. Das hübsche Wohnhaus mit 21 Einheiten in der Forststraße wurde 1972 errichtet und präsentiert sich insgesamt in einem hervorragenden Zustand.', '+ Aufzug bis in den Keller und in die Tiefgarage\r\n+ Alle Wohnungen mit Balkon und Keller\r\n+ Aufzug\r\n+ Baujahr 1972 (Gemeinschaftsflächen in hervorragendem Zustand)\r\n+ 1 bis 3 Zimmer mit 30 bis 70 m²\r\n+ Die Mieter haben 10 Jahre Kündigungsschutz', 'Die Forststraße in Steglitz besteht zum größten Teil aus wunderschönen und meist modernisierten Altbauten mit den typischen Verzierungen und Stuckelementen an den Fassaden. Direkt vor der Haustür befindet sich eine Bushaltestelle. Die Wohnungen sind zudem nur 9 Gehminuten von der bekannten Shopping-Meile Schloßstraße entfernt. Mit den Shopping-Centern Boulevard Berlin, Das Schloss, Forum Steglitz und SSC bietet die Mikrolage perfekte Bedingungen zum Shoppen. Vom U-Bahnhof Schloßstraße sind es dann auch nur 24 Minuten mit dem Bus zum Potsdamer Platz. Der Campus Benjamin Franklin der Charité ist mit dem Bus von der Schloßstraße in nur 10 Minuten erreichbar. Mit der U9 fahren Sie in etwa 10 Minuten bis zum Kurfürstendamm oder zum Zoologischen Garten. Wer mit dem Auto fährt, ist in nur 3 Minuten auf dem Autobahnzubringer A103. Zur Naherholung bieten sich der nahe gelegene Botanische Garten oder der Stadtpark Steglitz an.'];59;;0;;4;showqualicontactform;;energy_required;136.8;;;229.81;;;true;
